date,hall,model,daban,G,BB,RB,samai,deri,gousei,bb_bunbo,rb_bunbo
2026-03-09,island_akiba,,600,3753,13,0,-1768,84.3,289,289,
2026-03-09,island_akiba,,601,5833,22,0,3767,121.5,265,265,
2026-03-09,island_akiba,,602,1140,3,0,-1047,69.4,380,380,
2026-03-09,island_akiba,,603,1839,6,0,-1628,70.5,307,307,
2026-03-09,island_akiba,,605,5375,25,0,2883,117.9,215,215,
2026-03-09,island_akiba,,606,4360,22,0,-1489,88.6,198,198,
2026-03-09,island_akiba,,607,7717,34,0,3906,116.9,227,227,
2026-03-09,island_akiba,,608,4961,25,0,-2094,85.9,198,198,
2026-03-09,island_akiba,,610,7640,34,0,2558,111.2,225,225,
2026-03-09,island_akiba,,611,6872,39,0,1395,106.8,176,176,
2026-03-09,island_akiba,,612,4194,12,0,-1489,88.2,350,350,
2026-03-09,island_akiba,,613,5285,12,0,302,101.9,440,440,
2026-03-09,island_akiba,,615,7016,16,0,5488,126.1,439,439,
2026-03-09,island_akiba,,616,2601,9,0,-1349,82.7,289,289,
2026-03-09,island_akiba,,617,7271,25,0,-884,95.9,291,291,
2026-03-09,island_akiba,,618,7355,20,0,3627,116.4,368,368,
2026-03-09,island_akiba,,620,6244,14,0,2883,115.4,446,446,
2026-03-09,island_akiba,,621,3832,11,0,1651,114.4,348,348,
2026-03-09,island_akiba,,622,5330,18,0,-2233,86,296,296,
2026-03-09,island_akiba,戦国コレクション５,623,6519,0,0,4116,121,,,
2026-03-09,island_akiba,この素晴らしい世界に祝福を！,625,9181,0,21,1813,106.6,437,,437
2026-03-09,island_akiba,パチスロ　戦姫絶唱シンフォギア　勇気の歌,626,3559,0,15,-745,93,237,,237
2026-03-09,island_akiba,パチスロ　アイドルマスター　ミリオンライブ！,627,8347,0,39,1372,105.5,214,,214
2026-03-09,island_akiba,パチスロ戦国恋姫,628,5718,14,13,-2094,87.8,212,408,440
2026-03-09,island_akiba,,630,2319,6,0,-1187,82.9,387,387,
2026-03-09,island_akiba,,631,5695,35,0,4255,124.9,163,163,
2026-03-09,island_akiba,,632,5745,74,0,1069,106.2,78,78,
2026-03-09,island_akiba,,633,1179,2,0,-1187,66.4,590,590,
2026-03-09,island_akiba,,635,4789,0,5,7534,152.4,958,,958
2026-03-09,island_akiba,,636,5723,0,12,5162,130.1,477,,477
2026-03-09,island_akiba,,637,5569,0,17,186,101.1,328,,328
2026-03-09,island_akiba,,638,6973,0,23,2558,112.2,303,,303
2026-03-09,island_akiba,,650,4109,15,3,-3256,73.6,228,274,1370
2026-03-09,island_akiba,,651,4347,28,4,-884,93.2,136,155,1087
2026-03-09,island_akiba,,652,4168,28,4,-1349,89.2,130,149,1042
2026-03-09,island_akiba,,653,3491,13,4,-1187,88.7,205,269,873
2026-03-09,island_akiba,,655,3871,12,4,-2977,74.4,242,323,968
2026-03-09,island_akiba,,656,4605,17,3,-2512,81.8,230,271,1535
2026-03-09,island_akiba,,657,2810,10,2,-884,89.5,234,281,1405
2026-03-09,island_akiba,,658,6560,69,3,2744,113.9,91,95,2187
2026-03-09,island_akiba,,660,3766,24,1,-884,92.2,151,157,3766
2026-03-09,island_akiba,,661,5710,53,3,1209,107.1,102,108,1903
2026-03-09,island_akiba,,662,3104,11,1,-1187,87.3,259,282,3104
2026-03-09,island_akiba,,663,2123,11,1,0,100,177,193,2123
2026-03-09,island_akiba,,665,2920,3,2,-3256,62.8,584,973,1460
2026-03-09,island_akiba,,666,8083,95,6,7441,130.7,80,85,1347
2026-03-09,island_akiba,,667,5727,38,3,325,101.9,140,151,1909
2026-03-09,island_akiba,,668,3221,7,2,-1791,81.5,358,460,1611
2026-03-09,island_akiba,,670,2701,7,2,-2233,72.4,300,386,1351
2026-03-09,island_akiba,,671,2670,13,1,-1047,86.9,191,205,2670
2026-03-09,island_akiba,,672,9574,0,28,790,102.8,342,,342
2026-03-09,island_akiba,,673,8594,0,22,-2838,89,391,,391
2026-03-09,island_akiba,,675,9287,0,29,-1628,94.2,320,,320
2026-03-09,island_akiba,,676,8483,0,27,-4884,80.8,314,,314
2026-03-09,island_akiba,,677,8632,0,24,2558,109.9,360,,360
2026-03-09,island_akiba,,678,8994,0,22,767,102.8,409,,409
2026-03-09,island_akiba,,680,8592,0,24,-4466,82.7,358,,358
