date,hall,model,avg_samai,avg_G,win,total_dai,deri
2026-04-19,island_akiba,L虚構推理,3976,8951,5/5,5,114.8
2026-04-19,island_akiba,真打 吉宗,1848,7866,5/10,10,107.8
2026-04-19,island_akiba,スマスロモンキーターンV,1827,7006,6/7,7,108.7
2026-04-19,island_akiba,Lパチスロガールズ＆パンツァー 最終章,1697,4203,5/9,9,113.5
2026-04-19,island_akiba,Lパチスロ炎炎ノ消防隊2,1669,6101,10/14,14,109.1
2026-04-19,island_akiba,Lパチスロ革命機ヴァルヴレイヴ2,1503,7431,10/17,17,106.7
2026-04-19,island_akiba,スマスロとある科学の超電磁砲2,1324,6396,7/15,15,106.9
2026-04-19,island_akiba,L ToLOVEるダークネス,1324,7211,21/42,42,106.1
2026-04-19,island_akiba,Lソードアート・オンライン,1239,7226,11/20,20,105.7
2026-04-19,island_akiba,スマスロ 甲鉄城のカバネリ 海門決戦,800,8512,7/14,14,103.1
2026-04-19,island_akiba,スマスロ化物語,610,7648,7/17,17,102.7
2026-04-19,island_akiba,スマスロ スーパーブラックジャック,541,6648,8/14,14,102.7
2026-04-19,island_akiba,スマスロヨルムンガンド,529,7470,5/8,8,102.4
2026-04-19,island_akiba,マイジャグラーV,475,5899,6/10,10,102.7
2026-04-19,island_akiba,Lパチスロ戦姫絶唱シンフォギア 正義の歌,465,5457,1/2,2,102.8
2026-04-19,island_akiba,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,386,6807,22/43,43,101.9
2026-04-19,island_akiba,スマスロ シャーマンキング,348,4407,1/2,2,102.6
2026-04-19,island_akiba,L戦国乙女４　戦乱に閃く炯眼の軍師,296,5025,11/26,26,102
2026-04-19,island_akiba,Lアズールレーン THE ANIMATION,282,5592,2/8,8,101.7
2026-04-19,island_akiba,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,172,5028,3/5,5,101.1
2026-04-19,island_akiba,スマスロ鉄拳6,163,4929,1/2,2,101.1
2026-04-19,island_akiba,スマスロ 七つの魔剣が支配する,81,4975,1/2,2,100.5
2026-04-19,island_akiba,L少女☆歌劇 レヴュースタァライト -The SLOT-,37,4639,4/8,8,100.3
2026-04-19,island_akiba,ネオアイムジャグラーEX,-82,4561,2/5,5,99.4
2026-04-19,island_akiba,Lバンドリ！,-132,6245,4/11,11,99.3
2026-04-19,island_akiba,スマスロ 攻殻機動隊,-294,6984,1/5,5,98.6
2026-04-19,island_akiba,L東京喰種,-418,7411,8/17,17,98.1
2026-04-19,island_akiba,スマスロ北斗の拳 転生の章2,-675,6041,2/5,5,96.3
2026-04-19,island_akiba,Lパチスロうみねこのなく頃に2,-852,6968,1/4,4,95.9
2026-04-19,island_akiba,Lパチスロ かぐや様は告らせたい,-909,4934,4/14,14,93.9
2026-04-19,island_akiba,スロット ゾンビランドサガ,-1006,4298,1/6,6,92.2
2026-04-19,island_akiba,Lダーリン・イン・ザ・フランキス,-1675,5213,0/2,2,89.3
2026-04-19,island_akiba,スマスロ ゴッドイーター リザレクション,-1680,6702,2/5,5,91.6
2026-04-19,island_akiba,回胴式遊技機グランベルム,-2071,6001,0/2,2,88.5
2026-04-19,island_akiba,L無職転生～異世界行ったら本気だす～,-2599,5564,0/8,8,84.4
