date,hall,model,avg_samai,avg_G,win,total_dai,deri
2026-05-09,espace_akiba,プリズムナナ,2306,6543,4/5,5,111.7
2026-05-09,espace_akiba,スロット ゾンビランドサガ,1611,5937,2/4,4,109
2026-05-09,espace_akiba,スマスロ サンダーV,1200,6504,1/2,2,106.1
2026-05-09,espace_akiba,スマスロ ミリオンゴッド-神々の軌跡-,1050,7922,7/17,17,104.4
2026-05-09,espace_akiba,Lバンドリ！,953,5397,5/10,10,105.9
2026-05-09,espace_akiba,Lスマスロとある魔術の禁書目録,927,6636,2/4,4,104.7
2026-05-09,espace_akiba,L ToLOVEるダークネス TRANCE ver.8.7,868,7874,15/30,30,103.7
2026-05-09,espace_akiba,Lパチスロうみねこのなく頃に2,786,6580,3/5,5,104
2026-05-09,espace_akiba,L戦国乙女４　戦乱に閃く炯眼の軍師,731,5834,14/32,32,104.2
2026-05-09,espace_akiba,スマスロ 甲鉄城のカバネリ 海門決戦,695,6259,10/20,20,103.7
2026-05-09,espace_akiba,スマスロ北斗の拳 転生の章2,580,5234,3/11,11,103.7
2026-05-09,espace_akiba,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,347,4665,23/50,50,102.5
2026-05-09,espace_akiba,A-SLOT+ ディスクアップ ULTRAREMIX,314,4793,1/2,2,102.2
2026-05-09,espace_akiba,回胴式遊技機グランベルム,186,4987,3/7,7,101.2
2026-05-09,espace_akiba,ネオアイムジャグラーEX,127,5420,3/5,5,100.8
2026-05-09,espace_akiba,スマスロ スーパーブラックジャック,99,5685,1/3,3,100.6
2026-05-09,espace_akiba,パチスロひぐらしのなく頃に祭２,76,3615,1/4,4,100.7
2026-05-09,espace_akiba,スマスロ モンスターハンターライズ,68,5694,1/3,3,100.4
2026-05-09,espace_akiba,パチスロ　マクロスデルタ,10,6628,1/2,2,100
2026-05-09,espace_akiba,スマスロモンキーターンV,8,2643,5/11,11,100.1
2026-05-09,espace_akiba,マイジャグラーV,-10,5990,13/27,27,99.9
2026-05-09,espace_akiba,ファンキージャグラー２ＫＴ,-93,5307,5/9,9,99.4
2026-05-09,espace_akiba,真打 吉宗,-109,6151,4/10,10,99.4
2026-05-09,espace_akiba,L少女☆歌劇 レヴュースタァライト -The SLOT-,-109,4844,4/6,6,99.3
2026-05-09,espace_akiba,L虚構推理,-119,7841,2/5,5,99.5
2026-05-09,espace_akiba,Lパチスロ戦姫絶唱シンフォギア 正義の歌,-121,5499,2/4,4,99.3
2026-05-09,espace_akiba,ハッピージャグラーＶＩＩＩ,-191,4213,1/2,2,98.5
2026-05-09,espace_akiba,Lソードアート・オンライン,-211,6311,6/18,18,98.9
2026-05-09,espace_akiba,パチスロ戦国恋姫,-243,5272,2/4,4,98.5
2026-05-09,espace_akiba,L無職転生～異世界行ったら本気だす～,-295,6430,3/6,6,98.5
2026-05-09,espace_akiba,L東京喰種,-304,5891,9/28,28,98.3
2026-05-09,espace_akiba,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,-494,3778,1/5,5,95.6
2026-05-09,espace_akiba,ジャグラーガールズSS,-545,5430,2/4,4,96.7
2026-05-09,espace_akiba,Lパチスロ革命機ヴァルヴレイヴ2,-555,6082,4/10,10,97
2026-05-09,espace_akiba,スマスロ化物語,-567,5925,10/30,30,96.8
2026-05-09,espace_akiba,スマスロ ゴッドイーター リザレクション,-574,3654,2/4,4,94.8
2026-05-09,espace_akiba,ゴーゴージャグラー３,-595,4870,1/6,6,95.9
2026-05-09,espace_akiba,スマスロとある科学の超電磁砲2,-612,5718,2/6,6,96.4
2026-05-09,espace_akiba,スマスロ ハナビ,-618,3864,1/4,4,94.7
2026-05-09,espace_akiba,ウルトラミラクルジャグラー,-651,4645,0/2,2,95.3
2026-05-09,espace_akiba,A-SLOT+異世界かるてっとBT,-695,5723,1/4,4,96
2026-05-09,espace_akiba,スマスロ 攻殻機動隊,-759,5732,2/7,7,95.6
2026-05-09,espace_akiba,スマスロヨルムンガンド,-825,4192,1/7,7,93.4
2026-05-09,espace_akiba,Lパチスロ 機動戦士ガンダムユニコーン 覚醒DRIVE,-883,3505,2/10,10,91.6
2026-05-09,espace_akiba,Lパチスロ かぐや様は告らせたい,-897,5340,2/6,6,94.4
2026-05-09,espace_akiba,この素晴らしい世界に祝福を！,-996,5033,2/5,5,93.4
2026-05-09,espace_akiba,Lパチスロガールズ＆パンツァー 最終章,-1029,4513,2/6,6,92.4
2026-05-09,espace_akiba,Lパチスロ炎炎ノ消防隊2,-1034,5769,3/15,15,94
2026-05-09,espace_akiba,パチスロ　戦姫絶唱シンフォギア　勇気の歌,-1046,4133,0/2,2,91.6
2026-05-09,espace_akiba,パチスロ　甲鉄城のカバネリ,-1221,2568,1/4,4,84.2
2026-05-09,espace_akiba,Lアズールレーン THE ANIMATION,-1367,5335,1/11,11,91.5
2026-05-09,espace_akiba,スマスロ 東京リベンジャーズ,-1401,6095,0/2,2,92.3
2026-05-09,espace_akiba,Lパチスロからくりサーカス,-1424,4151,0/3,3,88.6
2026-05-09,espace_akiba,スマスロ シャーマンキング,-2358,4907,0/3,3,84
2026-05-09,espace_akiba,Lアクダマドライブ,-3635,6663,0/2,2,81.8
