date,hall,model,daban,G,BB,RB,samai,deri,gousei,bb_bunbo,rb_bunbo
2026-06-14,shinkan,ハッピージャグラーＶＩＩＩ,2001,7988,33,26,709,103,135,242,307
2026-06-14,shinkan,ハッピージャグラーＶＩＩＩ,2002,3684,15,5,-190,98.3,184,246,737
2026-06-14,shinkan,ハッピージャグラーＶＩＩＩ,2003,6244,19,17,-1196,93.6,173,329,367
2026-06-14,shinkan,ハッピージャグラーＶＩＩＩ,2004,5997,26,12,302,101.7,158,231,500
2026-06-14,shinkan,ハッピージャグラーＶＩＩＩ,2005,8924,44,25,2307,108.6,129,203,357
2026-06-14,shinkan,ハッピージャグラーＶＩＩＩ,2006,3942,14,6,-702,94.1,197,282,657
2026-06-14,shinkan,ハッピージャグラーＶＩＩＩ,2007,7158,19,24,-1597,92.6,166,377,298
2026-06-14,shinkan,ネオアイムジャグラーEX,2008,7379,23,19,-1085,95.1,176,321,388
2026-06-14,shinkan,ネオアイムジャグラーEX,2009,5798,19,18,-199,98.9,157,305,322
2026-06-14,shinkan,ネオアイムジャグラーEX,2010,5897,10,13,-3906,77.9,256,590,454
2026-06-14,shinkan,ネオアイムジャグラーEX,2011,8238,34,28,1210,104.9,133,242,294
2026-06-14,shinkan,ネオアイムジャグラーEX,2012,8239,31,36,1201,104.9,123,266,229
2026-06-14,shinkan,ネオアイムジャグラーEX,2013,7534,28,26,112,100.5,140,269,290
2026-06-14,shinkan,マイジャグラーV,2014,5931,17,15,-1298,92.7,185,349,395
2026-06-14,shinkan,マイジャグラーV,2015,8488,37,18,1011,104,154,229,472
2026-06-14,shinkan,マイジャグラーV,2016,7708,37,16,1702,107.4,145,208,482
2026-06-14,shinkan,マイジャグラーV,2017,6156,19,16,-993,94.6,176,324,385
2026-06-14,shinkan,マイジャグラーV,2018,8314,36,27,1608,106.4,132,231,308
2026-06-14,shinkan,マイジャグラーV,2019,6199,26,16,407,102.2,148,238,387
2026-06-14,shinkan,マイジャグラーV,2020,5023,17,7,-1092,92.8,209,295,718
2026-06-14,shinkan,マイジャグラーV,2021,7296,27,25,199,100.9,140,270,292
2026-06-14,shinkan,マイジャグラーV,2022,8313,49,28,5019,120.1,108,170,297
2026-06-14,shinkan,マイジャグラーV,2023,7109,18,27,-1086,94.9,158,395,263
2026-06-14,shinkan,マイジャグラーV,2024,7980,36,25,2295,109.6,131,222,319
2026-06-14,shinkan,マイジャグラーV,2025,6826,25,17,-97,99.5,163,273,402
2026-06-14,shinkan,マイジャグラーV,2026,7050,34,20,2302,110.9,131,207,353
2026-06-14,shinkan,マイジャグラーV,2027,8674,19,31,-2210,91.5,173,457,280
2026-06-14,shinkan,マイジャグラーV,2028,7490,26,23,-191,99.1,153,288,326
2026-06-14,shinkan,マイジャグラーV,2029,8123,26,23,-705,97.1,166,312,353
2026-06-14,shinkan,マイジャグラーV,2030,5808,17,19,-591,96.6,161,342,306
2026-06-14,shinkan,マイジャグラーV,2031,8502,36,29,2215,108.7,131,236,293
2026-06-14,shinkan,ゴーゴージャグラー３,2032,6815,18,21,-1987,90.3,175,379,325
2026-06-14,shinkan,ゴーゴージャグラー３,2033,6038,17,16,-2084,88.5,183,355,377
2026-06-14,shinkan,ゴーゴージャグラー３,2034,5595,21,15,-305,98.2,155,266,373
2026-06-14,shinkan,ゴーゴージャグラー３,2035,8776,36,34,1308,105,125,244,258
2026-06-14,shinkan,ファンキージャグラー２ＫＴ,2036,4630,16,10,-1000,92.8,178,289,463
2026-06-14,shinkan,ファンキージャグラー２ＫＴ,2037,7313,33,16,904,104.1,149,222,457
2026-06-14,shinkan,ファンキージャグラー２ＫＴ,2038,4600,17,10,-299,97.8,170,271,460
2026-06-14,shinkan,ファンキージャグラー２ＫＴ,2039,7468,26,23,114,100.5,152,287,325
2026-06-14,shinkan,ファンキージャグラー２ＫＴ,2040,6342,29,15,509,102.7,144,219,423
2026-06-14,shinkan,ミスタージャグラー,2041,5533,28,15,1916,111.5,129,198,369
2026-06-14,shinkan,ミスタージャグラー,2042,6582,24,18,115,100.6,157,274,366
2026-06-14,shinkan,ミスタージャグラー,2043,8504,42,24,2795,111,129,202,354
2026-06-14,shinkan,ウルトラミラクルジャグラー,2044,7684,33,16,796,103.5,157,233,480
2026-06-14,shinkan,ウルトラミラクルジャグラー,2045,4068,15,10,-302,97.5,163,271,407
2026-06-14,shinkan,ウルトラミラクルジャグラー,2046,5551,17,19,-592,96.4,154,327,292
2026-06-14,shinkan,ジャグラーガールズSS,2047,8014,44,24,2808,111.7,118,182,334
