date,hall,model,avg_samai,avg_G,win,total_dai,deri
2026-06-19,shinkan,スロット ソードアート・オンラインⅡ,2576,9069,4/8,8,109.5
2026-06-19,shinkan,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,1802,6497,4/7,7,109.2
2026-06-19,shinkan,スマスロ 攻殻機動隊,959,1933,1/4,4,116.5
2026-06-19,shinkan,スマスロ シャーマンキング,859,682,1/2,2,142
2026-06-19,shinkan,スマスロ スーパーリオエース2,786,3786,3/5,5,106.9
2026-06-19,shinkan,スマスロヨルムンガンド,757,2300,1/2,2,111
2026-06-19,shinkan,スマスロ ゴッドイーター リザレクション,708,1130,3/4,4,120.9
2026-06-19,shinkan,L戦国乙女5 業火を穿つ宿焔の双刃,575,7859,4/8,8,102.4
2026-06-19,shinkan,沖ドキ!ゴージャス 30Φ,536,2462,2/3,3,107.3
2026-06-19,shinkan,スマスロとある科学の超電磁砲2,515,874,2/2,2,119.7
2026-06-19,shinkan,A-SLOT+ ディスクアップ ULTRAREMIX,457,2474,1/2,2,106.2
2026-06-19,shinkan,スマスロ北斗の拳 転生の章2,444,3222,4/13,13,104.6
2026-06-19,shinkan,新ハナビ,411,2848,2/2,2,104.8
2026-06-19,shinkan,スマスロBIRDIE WING-Golf Girls’ Story-,357,3362,1/2,2,103.5
2026-06-19,shinkan,Lパチスロ炎炎ノ消防隊2,346,2649,3/8,8,104.3
2026-06-19,shinkan,バーサスリヴァイズ,337,3013,1/3,3,103.7
2026-06-19,shinkan,マイジャグラーV,320,5022,23/43,43,102.1
2026-06-19,shinkan,スマスロ 沖ドキ!DUO アンコール,275,3800,2/4,4,102.4
2026-06-19,shinkan,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,205,1979,1/4,4,103.5
2026-06-19,shinkan,プリズムナナ,204,598,1/2,2,111.4
2026-06-19,shinkan,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,109,900,1/2,2,104
2026-06-19,shinkan,Lパチスロうみねこのなく頃に2,106,1292,1/2,2,102.7
2026-06-19,shinkan,いざ！番長,104,429,1/3,3,108.1
2026-06-19,shinkan,スマスロ モンスターハンターライズ,55,3061,2/4,4,100.6
2026-06-19,shinkan,スマスロ 甲鉄城のカバネリ 海門決戦,49,1833,7/16,16,100.9
2026-06-19,shinkan,Lアズールレーン THE ANIMATION,38,2033,1/3,3,100.6
2026-06-19,shinkan,スマスロ ハナビ,7,2265,2/4,4,100.1
2026-06-19,shinkan,スマスロ鉄拳6,-52,1683,1/2,2,99
2026-06-19,shinkan,スマスロ 東京リベンジャーズ,-73,2567,2/4,4,99.1
2026-06-19,shinkan,L無職転生～異世界行ったら本気だす～,-93,945,1/2,2,96.7
2026-06-19,shinkan,パチスロ　甲鉄城のカバネリ,-99,352,0/2,2,90.7
2026-06-19,shinkan,ネオアイムジャグラーEX,-111,3430,14/33,33,98.9
2026-06-19,shinkan,Lスマスロ北斗の拳,-175,2306,2/6,6,97.5
2026-06-19,shinkan,スマスロ バイオハザードRE:3,-179,1041,2/7,7,94.3
2026-06-19,shinkan,スマスロモンキーターンV,-197,3888,4/11,11,98.3
2026-06-19,shinkan,アレックス ブライト,-219,2691,2/4,4,97.3
2026-06-19,shinkan,ウルトラミラクルジャグラー,-263,4072,2/3,3,97.8
2026-06-19,shinkan,クランキークレスト,-293,539,0/2,2,81.9
2026-06-19,shinkan,ジャグラーガールズSS,-300,2709,0/5,5,96.3
2026-06-19,shinkan,この素晴らしい世界に祝福を！,-329,1052,1/3,3,89.6
2026-06-19,shinkan,沖ドキ！ＧＯＬＤ-30,-329,2232,6/9,9,95.1
2026-06-19,shinkan,ファンキージャグラー２ＫＴ,-392,2257,1/5,5,94.2
2026-06-19,shinkan,ハッピージャグラーＶＩＩＩ,-425,2566,1/7,7,94.5
2026-06-19,shinkan,L東京喰種,-464,3741,6/16,16,95.9
2026-06-19,shinkan,Lソードアート・オンライン,-476,709,0/4,4,77.6
2026-06-19,shinkan,Lパチスロ革命機ヴァルヴレイヴ2,-495,2124,1/5,5,92.2
2026-06-19,shinkan,パチスロ　ディスクアップ２,-577,2811,2/5,5,93.2
2026-06-19,shinkan,ゴーゴージャグラー３,-595,2598,0/10,10,92.4
2026-06-19,shinkan,スマスロ サンダーV,-601,2978,0/2,2,93.3
2026-06-19,shinkan,スマスロ新鬼武者3,-628,2665,1/3,3,92.1
2026-06-19,shinkan,マジカルハロウィン　～Trick or Treat!～,-652,1025,0/2,2,78.8
2026-06-19,shinkan,ミスタージャグラー,-659,2988,0/3,3,92.6
2026-06-19,shinkan,スマスロ化物語,-699,2274,1/6,6,89.8
2026-06-19,shinkan,スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,-846,1441,0/2,2,80.4
2026-06-19,shinkan,スマスロ スーパーブラックジャック,-861,1818,0/3,3,84.2
2026-06-19,shinkan,L ＨＥＹ！エリートサラリーマン鏡,-961,860,0/3,3,62.7
2026-06-19,shinkan,スマート沖スロ ニューキングハナハナV,-964,989,0/3,3,67.5
2026-06-19,shinkan,A-SLOT+異世界かるてっとBT,-990,1200,0/2,2,72.5
2026-06-19,shinkan,L戦国乙女４　戦乱に閃く炯眼の軍師,-1017,1332,0/5,5,74.5
2026-06-19,shinkan,Lタクトオーパス デスティニー,-1096,4065,0/2,2,91
2026-06-19,shinkan,スマスロ ビッグドリーム THE GOLDEN PUSHER,-1302,1870,0/3,3,76.8
2026-06-19,shinkan,真打 吉宗,-1343,4270,3/6,6,89.5
2026-06-19,shinkan,スマスロ ミリオンゴッド-神々の軌跡-,-1524,5749,2/10,10,91.2
