date,hall,model,daban,G,BB,RB,samai,deri,gousei,bb_bunbo,rb_bunbo
2026-06-28,honkan,,2001,7745,31,25,1098,104.7,138,250,310
2026-06-28,honkan,,2002,4765,8,17,-1790,87.5,191,596,280
2026-06-28,honkan,,2003,5478,19,14,-705,95.7,166,288,391
2026-06-28,honkan,,2004,8073,33,20,909,103.8,152,245,404
2026-06-28,honkan,,2005,4566,14,8,-1387,89.9,208,326,571
2026-06-28,honkan,,2006,5158,14,13,-1684,89.1,191,368,397
2026-06-28,honkan,,2007,4076,14,5,-797,93.5,215,291,815
2026-06-28,honkan,,2008,8850,30,26,-405,98.5,158,295,340
2026-06-28,honkan,,2009,5148,23,8,504,103.3,166,224,644
2026-06-28,honkan,,2010,6347,29,18,1311,106.9,135,219,353
2026-06-28,honkan,,2011,6770,25,21,313,101.5,147,271,322
2026-06-28,honkan,,2012,3514,13,7,-698,93.4,176,270,502
2026-06-28,honkan,,2013,2341,6,6,-595,91.5,195,390,390
2026-06-28,honkan,,2014,7497,30,27,1205,105.4,132,250,278
2026-06-28,honkan,,2015,2708,11,4,113,101.4,181,246,677
2026-06-28,honkan,,2016,1504,0,3,-1499,66.8,501,,501
2026-06-28,honkan,,2017,3863,13,12,0,100,155,297,322
2026-06-28,honkan,,2018,1845,4,5,-798,85.6,205,461,369
2026-06-28,honkan,,2019,1132,3,1,-304,91,283,377,1132
2026-06-28,honkan,,2020,6456,27,19,516,102.7,140,239,340
2026-06-28,honkan,,2021,3142,13,6,208,102.2,165,242,524
2026-06-28,honkan,,2022,3809,14,6,-595,94.8,190,272,635
2026-06-28,honkan,,2023,5594,19,16,-298,98.2,160,294,350
2026-06-28,honkan,,2024,3358,7,6,-1603,84.1,258,480,560
2026-06-28,honkan,,2025,3157,11,13,409,104.3,132,287,243
2026-06-28,honkan,,2026,5868,26,13,304,101.7,150,226,451
2026-06-28,honkan,,2027,4706,15,10,-784,94.4,188,314,471
2026-06-28,honkan,,2028,4587,13,10,-788,94.3,199,353,459
2026-06-28,honkan,,2029,2927,11,6,808,109.2,172,266,488
2026-06-28,honkan,,2030,907,7,3,204,107.5,91,130,302
2026-06-28,honkan,,2031,1163,1,3,-1088,68.8,291,1163,388
2026-06-28,honkan,,2032,1380,4,0,-593,85.7,345,345,
2026-06-28,honkan,,2033,3516,16,6,1510,114.3,160,220,586
2026-06-28,honkan,A-SLOT+異世界かるてっとBT,2034,1926,17,14,1395,124.1,62,113,138
2026-06-28,honkan,SHAKE BONUS TRIGGER,2035,1853,7,2,603,110.8,206,265,927
2026-06-28,honkan,,2036,3518,12,8,-1904,82,176,293,440
2026-06-28,honkan,,2037,828,7,3,910,136.6,83,118,276
2026-06-28,honkan,,2038,2462,9,5,-1502,79.7,176,274,492
2026-06-28,honkan,,2039,2914,12,10,-792,90.9,132,243,291
2026-06-28,honkan,,2040,1812,14,2,1610,129.6,113,129,906
2026-06-28,honkan,,2041,1125,6,3,515,115.3,125,188,375
2026-06-28,honkan,,2042,7948,30,24,-904,96.2,147,265,331
2026-06-28,honkan,,2043,3255,13,11,-893,90.9,136,250,296
2026-06-28,honkan,,2044,7300,59,23,12711,158,89,124,317
2026-06-28,honkan,,2045,757,3,0,-102,95.5,252,252,
2026-06-28,honkan,,2046,3319,8,10,-790,92.1,184,415,332
2026-06-28,honkan,,2047,921,3,0,-99,96.4,307,307,
2026-06-28,honkan,,2048,2442,7,8,-395,94.6,163,349,305
2026-06-28,honkan,バーサスリヴァイズ,2049,2362,7,8,-195,97.2,157,337,295
2026-06-28,honkan,,2050,5405,14,10,-1985,87.8,225,386,541
2026-06-28,honkan,,2051,2856,14,5,800,109.3,150,204,571
2026-06-28,honkan,,2052,4354,17,19,715,105.5,121,256,229
2026-06-28,honkan,,2053,792,2,0,-301,87.3,396,396,
2026-06-28,honkan,,2054,6911,29,26,1802,108.7,126,238,266
2026-06-28,honkan,,2055,6305,23,27,713,103.8,126,274,234
2026-06-28,honkan,,2056,7491,30,20,1104,104.9,150,250,375
2026-06-28,honkan,,2057,3040,7,11,-903,90.1,169,434,276
2026-06-28,honkan,,2058,2787,7,8,-794,90.5,186,398,348
2026-06-28,honkan,,2059,5413,23,18,805,105,132,235,301
2026-06-28,honkan,,2060,5059,16,15,-795,94.8,163,316,337
2026-06-28,honkan,,2061,3479,14,15,607,105.8,120,249,232
2026-06-28,honkan,,2062,2259,6,6,-699,89.7,188,377,377
2026-06-28,honkan,,2063,6511,31,18,1601,108.2,133,210,362
2026-06-28,honkan,,2064,2904,13,6,-100,98.9,153,223,484
2026-06-28,honkan,,2065,3531,13,7,-393,96.3,177,272,504
2026-06-28,honkan,,2066,4395,6,16,-2085,84.2,200,733,275
2026-06-28,honkan,,2067,7293,30,30,1910,108.7,122,243,243
2026-06-28,honkan,,2068,3283,12,9,0,100,156,274,365
2026-06-28,honkan,,2069,8671,36,34,1822,107,124,241,255
2026-06-28,honkan,,2070,5928,22,20,799,104.5,141,269,296
2026-06-28,honkan,,2071,8985,39,26,1907,107.1,138,230,346
2026-06-28,honkan,,2072,2019,9,2,116,101.9,184,224,1010
2026-06-28,honkan,,2073,1742,8,2,0,100,174,218,871
2026-06-28,honkan,,2074,1737,3,2,-1193,77.1,347,579,869
2026-06-28,honkan,,2075,2127,4,5,-1197,81.2,236,532,425
2026-06-28,honkan,,2076,3028,11,8,-501,94.5,159,275,379
2026-06-28,honkan,,2077,4401,11,10,-1690,87.2,210,400,440
2026-06-28,honkan,,2078,3104,12,11,-199,97.9,135,259,282
2026-06-28,honkan,,2079,5390,19,10,-1301,92,186,284,539
2026-06-28,honkan,,2080,1599,3,4,-791,83.5,228,533,400
2026-06-28,honkan,,2081,3961,16,10,207,101.7,152,248,396
2026-06-28,honkan,,2082,2114,8,1,-703,88.9,235,264,2114
2026-06-28,honkan,,2083,2849,11,6,-296,96.5,168,259,475
2026-06-28,honkan,,2084,5388,31,12,2102,113,125,174,449
2026-06-28,honkan,,2085,3047,12,8,0,100,152,254,381
2026-06-28,honkan,,2086,5132,21,13,206,101.3,151,244,395
2026-06-28,honkan,,2087,1017,3,2,-398,87,203,339,509
2026-06-28,honkan,,2088,3532,22,17,2710,125.6,91,161,208
2026-06-28,honkan,,2089,880,2,2,-399,84.9,220,440,440
2026-06-28,honkan,,2090,5210,22,15,511,103.3,141,237,347
2026-06-28,honkan,,2091,1154,1,2,-798,76.9,385,1154,577
2026-06-28,honkan,,2092,3046,11,5,-195,97.9,190,277,609
2026-06-28,honkan,,2093,6311,30,17,1612,108.5,134,210,371
2026-06-28,honkan,,2094,7358,30,24,1310,105.9,136,245,307
2026-06-28,honkan,,2095,8163,23,31,-1298,94.7,151,355,263
2026-06-28,honkan,,2096,7669,32,29,1702,107.4,126,240,264
2026-06-28,honkan,,2097,5086,7,10,-2885,81.1,299,727,509
2026-06-28,honkan,,2098,7434,29,24,504,102.3,140,256,310
2026-06-28,honkan,,2099,6376,22,17,-397,97.9,163,290,375
2026-06-28,honkan,,2100,8794,34,31,1295,104.9,135,259,284
2026-06-28,honkan,,2101,7286,33,23,2495,111.4,130,221,317
