date,hall,model,avg_samai,avg_G,win,total_dai,deri
2026-07-15,bigapple,L戦国乙女5 業火を穿つ宿焔の双刃,0,4194,20/37,37,100
2026-07-15,bigapple,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,0,1057,12/30,30,100
2026-07-15,bigapple,スマスロ 甲鉄城のカバネリ 海門決戦,0,1642,11/30,30,100
2026-07-15,bigapple,スロット ソードアート・オンラインⅡ,0,7963,5/18,18,100
2026-07-15,bigapple,L東京喰種,0,1829,6/15,15,100
2026-07-15,bigapple,戦国コレクション6,0,4350,5/15,15,100
2026-07-15,bigapple,スマスロ化物語,0,1196,6/15,15,100
2026-07-15,bigapple,Lパチスロからくりサーカス2,0,3578,4/15,15,100
2026-07-15,bigapple,スマスロ ミリオンゴッド-神々の軌跡-,0,2334,4/13,13,100
2026-07-15,bigapple,Lパチスロうみねこのなく頃に2,-1,5051,2/12,12,100
2026-07-15,bigapple,Lバンドリ！,-1,1574,3/12,12,100
2026-07-15,bigapple,パチスロ戦国恋姫,0,930,5/12,12,100
2026-07-15,bigapple,マイジャグラーV,-1,2785,3/12,12,100
2026-07-15,bigapple,スマスロモンキーターンV,-1,1053,2/10,10,100
2026-07-15,bigapple,スマスロ スーパーリオエース2,-1,1344,2/10,10,100
2026-07-15,bigapple,L少女☆歌劇 レヴュースタァライト -The SLOT-,0,629,2/10,10,100
2026-07-15,bigapple,スマスロ 攻殻機動隊,-1,2175,2/9,9,100
2026-07-15,bigapple,L ToLOVEるダークネス TRANCE ver.8.7,0,1998,3/9,9,100
2026-07-15,bigapple,Lパチスロ炎炎ノ消防隊2,0,2727,3/7,7,100
2026-07-15,bigapple,L虚構推理,0,1215,2/7,7,100
2026-07-15,bigapple,プリズムナナ,0,1182,2/7,7,100
2026-07-15,bigapple,真打 吉宗,-1,1542,1/7,7,100
2026-07-15,bigapple,Lアズールレーン THE ANIMATION,0,1013,2/6,6,100
2026-07-15,bigapple,Lラブ嬢3～Wご指名はいかがですか?～,-1,852,1/6,6,100
2026-07-15,bigapple,A-SLOT+異世界かるてっとBT,-1,2122,0/6,6,100
2026-07-15,bigapple,SHAKE BONUS TRIGGER,0,2314,4/6,6,100
2026-07-15,bigapple,スマスロ ゴッドイーター リザレクション,0,828,2/5,5,100
2026-07-15,bigapple,Lパチスロ革命機ヴァルヴレイヴ2,0,642,3/5,5,100
2026-07-15,bigapple,Lタクトオーパス デスティニー,-1,1539,1/5,5,100
2026-07-15,bigapple,スマスロ ビッグドリーム THE GOLDEN PUSHER,-1,663,0/5,5,100
2026-07-15,bigapple,スマスロとある科学の超電磁砲2,0,689,2/5,5,100
2026-07-15,bigapple,Lソードアート・オンライン,0,681,1/5,5,100
2026-07-15,bigapple,スマスロ バイオハザードRE:3,-1,813,0/5,5,100
2026-07-15,bigapple,L戦国乙女４　戦乱に閃く炯眼の軍師,0,1764,2/5,5,100
2026-07-15,bigapple,スマスロ ハナビ,0,2329,1/5,5,100
2026-07-15,bigapple,スマスロ サンダーV,0,2524,1/5,5,100
2026-07-15,bigapple,アレックス ブライト,-1,1998,0/5,5,100
2026-07-15,bigapple,L南国育ち SPECIAL,-1,2775,1/5,5,100
2026-07-15,bigapple,Lひぐらしのなく頃に業,0,1189,2/5,5,100
2026-07-15,bigapple,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,-1,1715,1/4,4,100
2026-07-15,bigapple,A-SLOT+ この素晴らしい世界に祝福を！,0,1801,2/4,4,100
2026-07-15,bigapple,ミスタージャグラー,1,3736,3/4,4,100
2026-07-15,bigapple,A-SLOT+ ディスクアップ ULTRAREMIX,1,3212,3/4,4,100
2026-07-15,bigapple,Lパチスロガールズ＆パンツァー 最終章,0,601,1/3,3,100
2026-07-15,bigapple,Lアクダマドライブ,1,866,3/3,3,100
2026-07-15,bigapple,Lマジカルハロウィン8,-1,768,0/3,3,100
2026-07-15,bigapple,スマスロBIRDIE WING-Golf Girls’ Story-,0,872,1/3,3,100
2026-07-15,bigapple,この素晴らしい世界に祝福を！,-1,1325,0/3,3,100
2026-07-15,bigapple,パチスロ　ツインエンジェルＰＡＲＴＹ,0,1435,1/3,3,100
2026-07-15,bigapple,クレアの秘宝伝～はじまりの扉と太陽の石～ボーナストリガーver.,1,1903,3/3,3,100
2026-07-15,bigapple,ウルトラミラクルジャグラー,0,2076,1/3,3,100
2026-07-15,bigapple,ネオアイムジャグラーEX,0,3775,1/3,3,100
2026-07-15,bigapple,L D4DJ Pachi-Slot Mix,-1,1521,0/2,2,100
2026-07-15,bigapple,L無職転生～異世界行ったら本気だす～,0,1193,1/2,2,100
2026-07-15,bigapple,L ULTRAMAN 最終決戦,-1,1011,0/2,2,100
2026-07-15,bigapple,スマスロ新鬼武者3,-1,1050,0/2,2,100
2026-07-15,bigapple,回胴式遊技機グランベルム,0,1556,1/2,2,100
2026-07-15,bigapple,ＳＬＯＴまどか前後編,-1,514,0/2,2,100
2026-07-15,bigapple,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,-1,1852,0/2,2,100
2026-07-15,bigapple,スマート沖スロ ダークハイビ,-1,2190,0/2,2,100
2026-07-15,bigapple,ローティス,-1,3991,0/2,2,100
2026-07-15,bigapple,スマスロケロット5BT,0,6032,1/2,2,100
2026-07-15,bigapple,スマスロヨルムンガンド,-1,532,0/2,2,99.9
2026-07-15,bigapple,スロット ゾンビランドサガ,0,1016,1/2,2,100
2026-07-15,bigapple,翔べ！ハーレムエース,1,2723,1/2,2,100
2026-07-15,bigapple,L不二子BT,0,1250,1/2,2,100
2026-07-15,bigapple,ヤバチバ,-1,3720,0/2,2,100
2026-07-15,bigapple,ゴーゴージャグラー３,0,3334,1/2,2,100
2026-07-15,bigapple,アニマルスロット ドッチ,1,1474,2/2,2,100
2026-07-15,bigapple,スマート沖スロ ニューキングハナハナV,-1,3864,0/2,2,100
