date,hall,model,avg_samai,avg_G,win,total_dai,deri
2026-07-21,stardust,Lタクトオーパス デスティニー,2377,1431,2/2,2,155.4
2026-07-21,stardust,スマスロ 攻殻機動隊,1196,1460,2/3,3,127.3
2026-07-21,stardust,Lパチスロ炎炎ノ消防隊2,925,3059,2/4,4,110.1
2026-07-21,stardust,スマスロモンキーターンV,513,4122,3/5,5,104.2
2026-07-21,stardust,Lスマスロ北斗の拳,486,2463,3/6,6,106.6
2026-07-21,stardust,ネオアイムジャグラーEX,320,3264,3/5,5,103.3
2026-07-21,stardust,スマスロ北斗の拳 転生の章2,295,3157,6/12,12,103.1
2026-07-21,stardust,スマスロケロット5BT,256,4867,1/2,2,101.8
2026-07-21,stardust,スロット ソードアート・オンラインⅡ,156,5720,2/5,5,100.9
2026-07-21,stardust,スマスロ ハナビ,135,2216,2/4,4,102
2026-07-21,stardust,ハッピージャグラーＶＩＩＩ,125,1614,2/3,3,102.6
2026-07-21,stardust,マイジャグラーV,57,4346,4/16,16,100.4
2026-07-21,stardust,ゴーゴージャグラー３,55,2385,2/6,6,100.8
2026-07-21,stardust,スマスロヨルムンガンド,3,188,1/4,4,100.4
2026-07-21,stardust,ファンキージャグラー２ＫＴ,-120,2541,3/8,8,98.4
2026-07-21,stardust,ジャグラーガールズSS,-128,2369,1/4,4,98.2
2026-07-21,stardust,スマスロ サンダーV,-183,2236,1/2,2,97.3
2026-07-21,stardust,ウルトラミラクルジャグラー,-206,2248,1/4,4,97
2026-07-21,stardust,スマスロ スーパーリオエース2,-381,2444,0/3,3,94.8
2026-07-21,stardust,戦国コレクション6,-478,5012,1/2,2,96.8
2026-07-21,stardust,スマスロ バイオハザードRE:3,-665,1472,1/3,3,84.9
2026-07-21,stardust,スマスロ 甲鉄城のカバネリ 海門決戦,-676,1731,1/8,8,87
2026-07-21,stardust,ミスタージャグラー,-697,1939,0/4,4,88
2026-07-21,stardust,真打 吉宗,-700,2859,2/5,5,91.8
2026-07-21,stardust,スマスロ ミリオンゴッド-神々の軌跡-,-763,5185,2/5,5,95.1
2026-07-21,stardust,L東京喰種,-770,2324,1/8,8,89
2026-07-21,stardust,Lパチスロからくりサーカス2,-823,3418,3/6,6,92
2026-07-21,stardust,いざ！番長,-834,1685,1/3,3,83.5
2026-07-21,stardust,スマスロ ビッグドリーム THE GOLDEN PUSHER,-969,1074,0/4,4,69.9
2026-07-21,stardust,スマスロ化物語,-974,1880,0/2,2,82.7
2026-07-21,stardust,スマスロBIRDIE WING-Golf Girls’ Story-,-1197,1806,0/2,2,77.9
2026-07-21,stardust,L戦国乙女5 業火を穿つ宿焔の双刃,-1644,3777,1/6,6,85.5
