date,hall,model,avg_samai,avg_G,win,total_dai,deri
2026-07-29,honkan,スマスロ モンスターハンターライズ,1537,3450,2/3,3,114.9
2026-07-29,honkan,Lパチスロ革命機ヴァルヴレイヴ2,1198,3068,2/3,3,113
2026-07-29,honkan,Lパチスロからくりサーカス2,987,1121,7/10,10,129.4
2026-07-29,honkan,スマスロモンキーターンV,986,629,1/7,7,152.3
2026-07-29,honkan,沖ドキ!ゴージャス 30Φ,964,2659,3/7,7,112.1
2026-07-29,honkan,L東京喰種,944,2529,10/17,17,112.4
2026-07-29,honkan,いざ！番長,771,926,2/3,3,127.7
2026-07-29,honkan,スマスロ 甲鉄城のカバネリ 海門決戦,733,1731,6/14,14,114.1
2026-07-29,honkan,スマスロ バイオハザードRE:3,437,1337,1/3,3,110.9
2026-07-29,honkan,スマスロ北斗の拳 転生の章2,422,2263,6/12,12,106.2
2026-07-29,honkan,ハッピージャグラーＶＩＩＩ,357,2252,2/4,4,105.3
2026-07-29,honkan,スマスロ ゴッドイーター リザレクション,343,769,1/3,3,114.9
2026-07-29,honkan,アレックス ブライト,305,1082,2/2,2,109.4
2026-07-29,honkan,Lラブ嬢3～Wご指名はいかがですか?～,302,581,2/2,2,117.3
2026-07-29,honkan,マイジャグラーV,286,5318,23/48,48,101.8
2026-07-29,honkan,ヤバチバ,268,1600,1/3,3,105.6
2026-07-29,honkan,ネオアイムジャグラーEX,264,3910,10/26,26,102.3
2026-07-29,honkan,ファンキージャグラー２ＫＴ,255,3948,5/8,8,102.2
2026-07-29,honkan,スマート沖スロ ニューキングハナハナV,224,2232,2/5,5,103.4
2026-07-29,honkan,スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,179,1785,2/4,4,103.3
2026-07-29,honkan,Lパチスロうみねこのなく頃に2,106,602,1/2,2,105.8
2026-07-29,honkan,ミスタージャグラー,103,4111,1/3,3,100.8
2026-07-29,honkan,スマスロ 攻殻機動隊,52,3858,2/4,4,100.5
2026-07-29,honkan,ゴーゴージャグラー３,34,2877,8/14,14,100.4
2026-07-29,honkan,A-SLOT+ ディスクアップ ULTRAREMIX,6,1001,1/2,2,100.2
2026-07-29,honkan,戦国コレクション6,-64,2914,2/3,3,99.3
2026-07-29,honkan,スマスロ スーパーブラックジャック,-143,813,0/2,2,94.2
2026-07-29,honkan,キングハナハナ-30,-146,1311,3/10,10,96.3
2026-07-29,honkan,ジャグラーガールズSS,-215,1413,1/5,5,94.9
2026-07-29,honkan,Lパチスロ炎炎ノ消防隊2,-229,800,1/6,6,90.5
2026-07-29,honkan,スマスロ スーパーリオエース2,-231,225,0/3,3,65.8
2026-07-29,honkan,スマスロ 沖ドキ!DUO アンコール,-245,1753,2/4,4,95.3
2026-07-29,honkan,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,-249,504,0/2,2,83.6
2026-07-29,honkan,Lスマスロ北斗の拳,-327,1114,0/6,6,90.2
2026-07-29,honkan,ウルトラミラクルジャグラー,-367,2401,1/4,4,94.9
2026-07-29,honkan,スマスロ化物語,-395,620,1/4,4,78.8
2026-07-29,honkan,Lアズールレーン THE ANIMATION,-431,1120,0/3,3,87.2
2026-07-29,honkan,スロット ソードアート・オンラインⅡ,-446,5915,3/8,8,97.5
2026-07-29,honkan,スマスロ ハナビ,-492,1492,0/3,3,89
2026-07-29,honkan,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,-513,1505,1/6,6,88.6
2026-07-29,honkan,沖ドキ！ＧＯＬＤ-30,-533,2080,9/16,16,91.5
2026-07-29,honkan,ローティス,-599,940,0/2,2,78.8
2026-07-29,honkan,真打 吉宗,-811,1426,1/6,6,81
2026-07-29,honkan,スマスロ シャーマンキング,-843,635,0/2,2,55.7
2026-07-29,honkan,スマスロ ビッグドリーム THE GOLDEN PUSHER,-847,1241,1/2,2,77.2
2026-07-29,honkan,ニューキングハナハナV‐30,-932,1648,0/3,3,81.2
2026-07-29,honkan,L ToLOVEるダークネス TRANCE ver.8.7,-1063,1850,0/3,3,80.8
2026-07-29,honkan,L戦国乙女5 業火を穿つ宿焔の双刃,-1134,4480,2/8,8,91.6
2026-07-29,honkan,L主役は銭形5,-1165,1032,1/3,3,62.4
2026-07-29,honkan,チバリヨ2,-1168,929,0/3,3,58.1
2026-07-29,honkan,L南国育ち SPECIAL,-1294,3049,0/3,3,85.9
2026-07-29,honkan,L聖闘士星矢 海皇覚醒 CUSTOM EDITION,-1298,1378,0/3,3,68.6
2026-07-29,honkan,沖ドキ！BLACK,-1345,4085,1/4,4,89
2026-07-29,honkan,スマスロ ミリオンゴッド-神々の軌跡-,-1437,2163,0/10,10,77.9
2026-07-29,honkan,スマスロ 東京リベンジャーズ,-1631,2965,0/3,3,81.7
2026-07-29,honkan,L戦国乙女４　戦乱に閃く炯眼の軍師,0,0,0/4,4,
2026-07-29,honkan,Lパチスロ かぐや様は告らせたい,0,0,0/3,3,
