date,hall,model,daban,G,BB,RB,samai,deri,gousei,bb_bunbo,rb_bunbo
2026-08-02,stardust,マイジャグラーV,343,6560,22,18,,,164,298,364
2026-08-02,stardust,マイジャグラーV,344,4566,16,14,,,152,285,326
2026-08-02,stardust,マイジャグラーV,345,6043,19,13,,,189,318,465
2026-08-02,stardust,マイジャグラーV,346,3658,14,2,,,229,261,1829
2026-08-02,stardust,マイジャグラーV,347,6771,27,14,,,165,251,484
2026-08-02,stardust,マイジャグラーV,348,6902,36,15,1890,109.1,135,192,460
2026-08-02,stardust,マイジャグラーV,349,5496,17,13,,,183,323,423
2026-08-02,stardust,マイジャグラーV,350,4759,20,11,101,100.7,154,238,433
2026-08-02,stardust,マイジャグラーV,351,3461,9,6,,,231,385,577
2026-08-02,stardust,マイジャグラーV,352,6014,21,21,,,143,286,286
2026-08-02,stardust,,353,2157,4,5,,,240,539,431
2026-08-02,stardust,,354,3771,11,15,,,145,343,251
2026-08-02,stardust,,355,4065,12,10,,,185,339,407
2026-08-02,stardust,,356,4522,22,9,870,106.4,146,206,502
2026-08-02,stardust,マイジャグラーV,357,5323,18,13,,,172,296,409
2026-08-02,stardust,マイジャグラーV,358,5459,17,19,,,152,321,287
2026-08-02,stardust,マイジャグラーV,359,4223,14,6,,,211,302,704
2026-08-02,stardust,マイジャグラーV,360,3628,11,11,-598,94.5,165,330,330
2026-08-02,stardust,マイジャグラーV,361,6023,29,23,2291,112.7,116,208,262
2026-08-02,stardust,マイジャグラーV,362,7560,31,28,701,103.1,128,244,270
2026-08-02,stardust,ファンキージャグラー２ＫＴ,363,4945,14,16,,,165,353,309
2026-08-02,stardust,ファンキージャグラー２ＫＴ,364,3329,12,5,,,196,277,666
2026-08-02,stardust,ファンキージャグラー２ＫＴ,365,6310,17,20,,,171,371,316
2026-08-02,stardust,,366,1173,1,1,,,587,1173,1173
2026-08-02,stardust,,367,3181,9,6,,,212,353,530
2026-08-02,stardust,,368,3777,17,14,952,108.4,122,222,270
2026-08-02,stardust,,369,3822,13,8,,,182,294,478
2026-08-02,stardust,,370,2153,7,3,-621,90.4,215,308,718
2026-08-02,stardust,,371,5731,25,15,587,103.4,143,229,382
2026-08-02,stardust,,372,5778,23,16,,,148,251,361
2026-08-02,stardust,ネオアイムジャグラーEX,373,4185,12,8,,,209,349,523
2026-08-02,stardust,ネオアイムジャグラーEX,374,2638,8,5,,,203,330,528
2026-08-02,stardust,ネオアイムジャグラーEX,375,3755,12,8,,,188,313,469
2026-08-02,stardust,ネオアイムジャグラーEX,376,2420,7,6,,,186,346,403
2026-08-02,stardust,ネオアイムジャグラーEX,377,3049,9,8,,,179,339,381
2026-08-02,stardust,ファンキージャグラー２ＫＴ,378,4888,18,12,,,163,272,407
2026-08-02,stardust,ファンキージャグラー２ＫＴ,379,4463,15,10,,,179,298,446
2026-08-02,stardust,ファンキージャグラー２ＫＴ,380,6849,26,22,213,101,143,263,311
2026-08-02,stardust,ファンキージャグラー２ＫＴ,381,3952,9,7,,,247,439,565
2026-08-02,stardust,ファンキージャグラー２ＫＴ,382,4961,22,9,282,101.9,160,226,551
2026-08-02,stardust,ゴーゴージャグラー３,383,4026,9,12,,,192,447,336
2026-08-02,stardust,ゴーゴージャグラー３,384,1771,4,5,,,197,443,354
2026-08-02,stardust,ゴーゴージャグラー３,385,5979,20,19,,,153,299,315
2026-08-02,stardust,ゴーゴージャグラー３,386,1291,4,4,,,161,323,323
2026-08-02,stardust,ゴーゴージャグラー３,387,7744,30,30,372,101.6,129,258,258
2026-08-02,stardust,ゴーゴージャグラー３,388,2986,13,10,337,103.8,130,230,299
2026-08-02,stardust,,389,5797,28,15,1024,105.9,135,207,386
2026-08-02,stardust,,390,6357,21,25,361,101.9,138,303,254
2026-08-02,stardust,,391,1683,5,4,,,187,337,421
2026-08-02,stardust,,392,6771,30,29,2250,111.1,115,226,233
2026-08-02,stardust,,393,6447,50,18,,,95,129,358
2026-08-02,stardust,,394,438,4,2,,,73,110,219
2026-08-02,stardust,,395,7610,39,11,,,152,195,692
2026-08-02,stardust,,396,4485,41,12,490,103.6,85,109,374
2026-08-02,stardust,,397,4813,13,7,,,241,370,688
2026-08-02,stardust,,398,2708,14,6,,,135,193,451
2026-08-02,stardust,,399,5432,36,10,,,118,151,543
2026-08-02,stardust,,400,6806,46,10,-931,95.4,122,148,681
2026-08-02,stardust,,401,5903,36,14,,,118,164,422
2026-08-02,stardust,,402,1597,4,0,,,399,399,
2026-08-02,stardust,Lスマスロ北斗の拳,403,982,2,1,,,327,491,982
2026-08-02,stardust,Lスマスロ北斗の拳,404,2793,9,3,,,233,310,931
2026-08-02,stardust,Lスマスロ北斗の拳,405,1803,5,4,85,101.6,200,361,451
2026-08-02,stardust,Lスマスロ北斗の拳,406,1934,11,23,,,57,176,84
2026-08-02,stardust,Lスマスロ北斗の拳,407,5724,79,73,16709,197.3,38,72,78
2026-08-02,stardust,Lスマスロ北斗の拳,408,1363,4,13,,,80,341,105
2026-08-02,stardust,,409,3843,17,5,,,175,226,769
2026-08-02,stardust,,410,2567,18,8,-179,97.7,99,143,321
2026-08-02,stardust,,411,3548,25,10,3477,132.7,101,142,355
2026-08-02,stardust,,412,5365,32,14,7659,147.6,117,168,383
2026-08-02,stardust,,413,659,2,6,,,82,330,110
2026-08-02,stardust,,414,6757,24,11,530,102.6,193,282,614
2026-08-02,stardust,,415,5101,27,12,,,131,189,425
2026-08-02,stardust,,416,3988,42,8,577,104.8,80,95,499
2026-08-02,stardust,,417,7257,30,11,,,177,242,660
2026-08-02,stardust,,418,7747,55,19,,,105,141,408
2026-08-02,stardust,,419,1444,5,4,,,160,289,361
2026-08-02,stardust,,420,7053,56,14,-1997,90.6,101,126,504
2026-08-02,stardust,,421,1228,7,2,,,136,175,614
2026-08-02,stardust,,422,2786,23,6,,,96,121,464
2026-08-02,stardust,,423,3176,21,7,,,113,151,454
2026-08-02,stardust,,424,3139,15,5,,,157,209,628
2026-08-02,stardust,,425,7396,3,21,,,308,2465,352
2026-08-02,stardust,,426,8311,9,35,,,189,923,237
2026-08-02,stardust,,427,6213,0,29,1839,109.9,214,,214
2026-08-02,stardust,,428,6062,0,16,,,379,,379
2026-08-02,stardust,,429,5290,0,9,,,588,,588
2026-08-02,stardust,,430,6853,52,20,-3912,81,95,132,343
2026-08-02,stardust,,431,2436,14,4,,,135,174,609
2026-08-02,stardust,Lパチスロからくりサーカス2,432,4193,63,9,2815,122.4,58,67,466
2026-08-02,stardust,Lパチスロからくりサーカス2,433,3389,20,8,,,121,169,424
2026-08-02,stardust,Lパチスロからくりサーカス2,434,5796,50,15,425,102.4,89,116,386
2026-08-02,stardust,Lパチスロからくりサーカス2,435,6035,36,12,,,126,168,503
2026-08-02,stardust,Lパチスロからくりサーカス2,436,8361,73,22,9358,137.3,88,115,380
2026-08-02,stardust,Lパチスロからくりサーカス2,437,2892,24,6,3752,143.2,96,121,482
2026-08-02,stardust,,438,6537,34,21,,,119,192,311
2026-08-02,stardust,,439,4871,44,13,5021,134.4,85,111,375
2026-08-02,stardust,,440,7248,52,19,5063,123.3,102,139,381
2026-08-02,stardust,L東京喰種,441,7597,45,21,2973,113,115,169,362
2026-08-02,stardust,L東京喰種,442,4962,28,17,1069,107.2,110,177,292
2026-08-02,stardust,L東京喰種,443,7420,46,20,,,112,161,371
2026-08-02,stardust,L東京喰種,444,4547,17,11,,,162,267,413
2026-08-02,stardust,L東京喰種,445,0,0,0,0,,,,
2026-08-02,stardust,L東京喰種,446,7181,72,17,7556,135.1,81,100,422
2026-08-02,stardust,L東京喰種,447,4719,25,8,,,143,189,590
2026-08-02,stardust,,448,5800,15,14,,,200,387,414
2026-08-02,stardust,,449,3761,10,6,,,235,376,627
2026-08-02,stardust,,450,4183,8,7,-1661,86.8,279,523,598
2026-08-02,stardust,,451,3231,13,6,,,170,249,539
2026-08-02,stardust,,452,6023,53,13,,,91,114,463
2026-08-02,stardust,,453,5796,98,11,8121,146.7,53,59,527
2026-08-02,stardust,,454,4259,30,13,,,99,142,328
2026-08-02,stardust,,455,5778,84,16,5074,129.3,58,69,361
2026-08-02,stardust,,456,6646,35,19,,,123,190,350
2026-08-02,stardust,,457,6859,34,11,,,152,202,624
2026-08-02,stardust,,458,5621,28,6,,,165,201,937
2026-08-02,stardust,,459,3455,20,7,,,128,173,494
2026-08-02,stardust,,460,7692,50,18,3675,115.9,113,154,427
2026-08-02,stardust,,461,3684,20,7,,,136,184,526
2026-08-02,stardust,,462,8155,54,18,,,113,151,453
2026-08-02,stardust,Lパチスロ彼女、お借りします,463,5757,56,24,99,100.6,72,103,240
2026-08-02,stardust,Lパチスロ彼女、お借りします,464,3684,13,10,,,160,283,368
2026-08-02,stardust,Lパチスロ彼女、お借りします,465,4105,44,13,1306,110.6,72,93,316
2026-08-02,stardust,Lパチスロ彼女、お借りします,466,4393,26,15,,,107,169,293
2026-08-02,stardust,Lパチスロ彼女、お借りします,467,3524,11,15,,,136,320,235
2026-08-02,stardust,,468,3090,9,14,,,134,343,221
2026-08-02,stardust,,469,3570,20,8,1235,111.5,128,179,446
2026-08-02,stardust,,470,3737,34,21,2207,119.7,68,110,178
2026-08-02,stardust,,471,6321,43,33,,,83,147,192
2026-08-02,stardust,,472,5337,29,17,,,116,184,314
2026-08-02,stardust,スマスロ化物語,473,4695,28,14,,,112,168,335
2026-08-02,stardust,,474,2653,14,7,,,126,190,379
2026-08-02,stardust,L ULTRAMAN 最終決戦,475,4767,50,15,987,106.9,73,95,318
2026-08-02,stardust,L邪神ちゃんドロップキック,476,4888,32,3,,,140,153,1629
2026-08-02,stardust,戦国コレクション6,477,2337,7,3,,,234,334,779
2026-08-02,stardust,L青春ブタ野郎はバニーガール先輩の夢を見ない,478,1382,3,3,,,230,461,461
2026-08-02,stardust,L青春ブタ野郎はバニーガール先輩の夢を見ない,479,5506,21,13,3704,122.4,162,262,424
2026-08-02,stardust,,480,5136,12,16,-2101,86.4,183,428,321
2026-08-02,stardust,,481,1833,3,5,,,229,611,367
2026-08-02,stardust,,482,1531,5,1,,,255,306,1531
2026-08-02,stardust,,483,674,1,0,,,674,674,
2026-08-02,stardust,,484,420,0,0,,,,,
2026-08-02,stardust,スマスロ タコスロ,485,6966,21,22,,,162,332,317
2026-08-02,stardust,,486,4238,27,20,,,90,157,212
2026-08-02,stardust,,487,6432,52,47,,,65,124,137
2026-08-02,stardust,,488,7685,72,0,1315,105.7,107,107,
2026-08-02,stardust,,489,7700,61,0,6460,128,126,126,
2026-08-02,stardust,,490,8588,73,0,896,103.5,118,118,
2026-08-02,stardust,,491,6457,67,0,11827,161.1,96,96,
2026-08-02,stardust,,492,7811,54,0,,,145,145,
2026-08-02,stardust,,493,5422,73,15,5736,135.3,62,74,361
2026-08-02,stardust,,494,4948,20,16,,,137,247,309
2026-08-02,stardust,,495,1855,9,5,,,133,206,371
2026-08-02,stardust,,496,3793,23,13,,,105,165,292
2026-08-02,stardust,スマスロモンキーターンV,497,6836,42,12,492,102.4,127,163,570
2026-08-02,stardust,スマスロモンキーターンV,498,6648,55,12,4507,122.6,99,121,554
2026-08-02,stardust,スマスロモンキーターンV,499,4606,25,9,,,135,184,512
2026-08-02,stardust,スマスロモンキーターンV,500,6319,46,16,419,102.2,102,137,395
2026-08-02,stardust,スマスロモンキーターンV,501,5882,42,17,,,100,140,346
