date,hall,model,avg_samai,avg_G,win,total_dai,deri
2026-08-04,bigdipper,Lパチスロからくりサーカス,2598,4047,4/5,5,121.4
2026-08-04,bigdipper,スマスロ ストリートファイター6,1891,4986,1/2,2,112.6
2026-08-04,bigdipper,この素晴らしい世界に祝福を！,1371,3988,2/3,3,111.5
2026-08-04,bigdipper,スマスロモンキーターンV,1307,5167,3/5,5,108.4
2026-08-04,bigdipper,Lパチスロ革命機ヴァルヴレイヴ,1111,7232,4/8,8,105.1
2026-08-04,bigdipper,スマスロ化物語,637,2375,2/4,4,108.9
2026-08-04,bigdipper,Lパチスロ炎炎ノ消防隊2,459,6213,1/3,3,102.5
2026-08-04,bigdipper,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,278,3750,1/4,4,102.5
2026-08-04,bigdipper,L戦国乙女5 業火を穿つ宿焔の双刃,246,5165,1/4,4,101.6
2026-08-04,bigdipper,Lゴジラ対エヴァンゲリオン,219,1656,2/2,2,104.4
2026-08-04,bigdipper,Lパチスロ革命機ヴァルヴレイヴ2,-131,1866,4/10,10,97.7
2026-08-04,bigdipper,マイジャグラーV,-147,1824,4/11,11,97.3
2026-08-04,bigdipper,スマスロ北斗の拳 転生の章2,-170,1349,2/4,4,95.8
2026-08-04,bigdipper,ファンキージャグラー２ＫＴ,-235,3519,2/5,5,97.8
2026-08-04,bigdipper,L無職転生～異世界行ったら本気だす～,-254,2877,1/2,2,97.1
2026-08-04,bigdipper,パチスロ　甲鉄城のカバネリ,-368,493,1/3,3,75.1
2026-08-04,bigdipper,スマスロ バイオハザードRE:3,-370,1167,1/3,3,89.4
2026-08-04,bigdipper,ゴーゴージャグラー３,-421,1088,1/7,7,87.1
2026-08-04,bigdipper,L真・一騎当千,-426,2131,1/3,3,93.3
2026-08-04,bigdipper,ウルトラミラクルジャグラー,-608,2727,0/3,3,92.6
2026-08-04,bigdipper,L戦国乙女４　戦乱に閃く炯眼の軍師,-633,548,0/2,2,61.5
2026-08-04,bigdipper,L東京喰種,-740,2292,1/7,7,89.2
2026-08-04,bigdipper,Lソードアート・オンライン,-761,1591,0/2,2,84.1
2026-08-04,bigdipper,スマスロ モンスターハンターライズ,-778,5400,1/3,3,95.2
2026-08-04,bigdipper,スマスロ新鬼武者3,-790,1285,0/3,3,79.5
2026-08-04,bigdipper,スマスロ ゴッドイーター リザレクション,-916,1822,0/4,4,83.2
2026-08-04,bigdipper,スマスロ 攻殻機動隊,-932,2682,1/3,3,88.4
2026-08-04,bigdipper,真打 吉宗,-947,2558,0/2,2,87.7
2026-08-04,bigdipper,スマスロ 甲鉄城のカバネリ 海門決戦,-1015,2895,1/7,7,88.3
2026-08-04,bigdipper,Lパチスロからくりサーカス2,-1076,5971,2/6,6,94
2026-08-04,bigdipper,回胴式遊技機グランベルム,-1280,3127,1/3,3,86.4
2026-08-04,bigdipper,スマスロ 東京リベンジャーズ,-1711,2222,0/3,3,74.3
2026-08-04,bigdipper,スマスロ ミリオンゴッド-神々の軌跡-,-1791,1689,0/3,3,64.7
2026-08-04,bigdipper,スロット ソードアート・オンラインⅡ,-1907,7428,1/3,3,91.4
2026-08-04,bigdipper,スマスロ とある魔術の禁書目録2,-1944,7463,1/3,3,91.3
2026-08-04,bigdipper,スマスロ やじきた道中記参る！,-2023,5783,0/3,3,88.3
2026-08-04,bigdipper,Lパチスロ かぐや様は告らせたい,-3014,3102,0/3,3,67.6
2026-08-04,bigdipper,ヤバチバ,-3837,3141,0/3,3,59.3
2026-08-04,bigdipper,スロット ワールドダイスター,-5271,6826,0/2,2,74.3
