date,hall,model,daban,G,BB,RB,samai,deri,gousei,bb_bunbo,rb_bunbo
2026-08-16,bigdipper,Lパチスロからくりサーカス2,1,2426,14,5,,,128,173,485
2026-08-16,bigdipper,Lパチスロからくりサーカス2,2,3979,24,14,,,105,166,284
2026-08-16,bigdipper,Lパチスロからくりサーカス2,3,1387,8,4,,,116,173,347
2026-08-16,bigdipper,Lパチスロからくりサーカス2,4,5779,68,12,2843,116.4,72,85,482
2026-08-16,bigdipper,Lパチスロからくりサーカス2,5,3084,31,8,208,102.2,79,99,386
2026-08-16,bigdipper,Lパチスロ革命機ヴァルヴレイヴ,6,5088,39,5,,,116,130,1018
2026-08-16,bigdipper,Lパチスロ革命機ヴァルヴレイヴ,7,1773,9,1,0,100,177,197,1773
2026-08-16,bigdipper,Lパチスロ革命機ヴァルヴレイヴ,8,4583,9,6,,,306,509,764
2026-08-16,bigdipper,Lパチスロ革命機ヴァルヴレイヴ,9,2303,10,1,177,102.6,209,230,2303
2026-08-16,bigdipper,Lパチスロ革命機ヴァルヴレイヴ2,10,5168,48,2,270,101.7,103,108,2584
2026-08-16,bigdipper,Lパチスロ革命機ヴァルヴレイヴ2,11,4846,34,4,,,128,143,1212
2026-08-16,bigdipper,Lパチスロ革命機ヴァルヴレイヴ2,12,1593,7,4,,,145,228,398
2026-08-16,bigdipper,Lパチスロ革命機ヴァルヴレイヴ2,13,5327,20,4,,,222,266,1332
2026-08-16,bigdipper,Lパチスロ革命機ヴァルヴレイヴ2,14,2513,6,3,,,279,419,838
2026-08-16,bigdipper,Lパチスロ革命機ヴァルヴレイヴ2,41,4628,33,3,,,129,140,1543
2026-08-16,bigdipper,Lパチスロ革命機ヴァルヴレイヴ2,42,1828,14,2,,,114,131,914
2026-08-16,bigdipper,Lパチスロ革命機ヴァルヴレイヴ2,43,2390,19,2,432,106,114,126,1195
2026-08-16,bigdipper,Lパチスロ革命機ヴァルヴレイヴ2,44,4292,25,3,,,153,172,1431
2026-08-16,bigdipper,Lパチスロ革命機ヴァルヴレイヴ2,45,2886,5,2,,,412,577,1443
2026-08-16,bigdipper,Lパチスロ革命機ヴァルヴレイヴ,46,1593,5,4,,,177,319,398
2026-08-16,bigdipper,Lパチスロ革命機ヴァルヴレイヴ,47,3286,11,2,,,253,299,1643
2026-08-16,bigdipper,Lパチスロ革命機ヴァルヴレイヴ,48,2439,8,2,,,244,305,1220
2026-08-16,bigdipper,Lパチスロ革命機ヴァルヴレイヴ,49,3561,28,7,688,106.4,102,127,509
2026-08-16,bigdipper,Lパチスロからくりサーカス,50,63,0,0,-104,,,,
2026-08-16,bigdipper,Lパチスロからくりサーカス,51,89,0,0,,,,,
2026-08-16,bigdipper,Lパチスロからくりサーカス,52,5220,56,13,2417,115.4,76,93,402
2026-08-16,bigdipper,Lパチスロからくりサーカス,53,63,0,0,,,,,
2026-08-16,bigdipper,Lパチスロからくりサーカス,54,636,7,1,94,104.9,80,91,636
2026-08-16,bigdipper,,55,3314,9,24,2000,120.1,100,368,138
2026-08-16,bigdipper,,56,2644,0,6,,,441,,441
2026-08-16,bigdipper,,57,1526,0,2,,,763,,763
2026-08-16,bigdipper,Lパチスロからくりサーカス2,120,2334,12,1,-2146,69.4,180,195,2334
2026-08-16,bigdipper,マイジャグラーV,401,4178,19,11,625,105,139,220,380
2026-08-16,bigdipper,マイジャグラーV,402,3008,10,6,,,188,301,501
2026-08-16,bigdipper,マイジャグラーV,403,675,2,0,,,338,338,
2026-08-16,bigdipper,マイジャグラーV,404,1112,3,3,,,185,371,371
2026-08-16,bigdipper,マイジャグラーV,405,3758,12,8,,,188,313,470
2026-08-16,bigdipper,ファンキージャグラー２ＫＴ,406,4749,20,10,286,102,158,237,475
2026-08-16,bigdipper,ファンキージャグラー２ＫＴ,407,3338,16,5,265,102.6,159,209,668
2026-08-16,bigdipper,ファンキージャグラー２ＫＴ,408,7653,31,23,1021,104.4,142,247,333
2026-08-16,bigdipper,ファンキージャグラー２ＫＴ,409,3844,15,10,187,101.6,154,256,384
2026-08-16,bigdipper,ファンキージャグラー２ＫＴ,410,4122,18,7,260,102.1,165,229,589
2026-08-16,bigdipper,回胴式遊技機グランベルム,411,244,0,0,,,,,
2026-08-16,bigdipper,回胴式遊技機グランベルム,412,268,0,0,,,,,
2026-08-16,bigdipper,回胴式遊技機グランベルム,413,3445,21,15,,,96,164,230
2026-08-16,bigdipper,この素晴らしい世界に祝福を！,414,646,10,2,,,54,65,323
2026-08-16,bigdipper,この素晴らしい世界に祝福を！,415,2651,61,7,2291,128.8,39,43,379
2026-08-16,bigdipper,パチスロ　甲鉄城のカバネリ,416,2190,43,5,1656,125.2,46,51,438
