date,hall,model,daban,G,BB,RB,samai
2026-08-16,shinkan,Lスマスロ北斗の拳,2154,4801,32,11,
2026-08-16,shinkan,Lスマスロ北斗の拳,2155,6959,94,6,6402
2026-08-16,shinkan,Lスマスロ北斗の拳,2156,1843,10,3,
2026-08-16,shinkan,Lスマスロ北斗の拳,2157,1824,9,3,
2026-08-16,shinkan,Lスマスロ北斗の拳,2158,3538,20,5,
2026-08-16,shinkan,Lスマスロ北斗の拳,2159,2760,14,7,
2026-08-16,shinkan,スマスロ新鬼武者3,2274,4053,0,14,6007
2026-08-16,shinkan,スマスロ新鬼武者3,2275,3207,0,4,
2026-08-16,shinkan,スマスロ新鬼武者3,2276,6375,0,25,1521
2026-08-16,shinkan,Lパチスロ革命機ヴァルヴレイヴ2,2173,6091,89,5,5414
2026-08-16,shinkan,Lパチスロ革命機ヴァルヴレイヴ2,2174,1895,10,2,
2026-08-16,shinkan,Lパチスロ革命機ヴァルヴレイヴ2,2175,3786,37,5,
2026-08-16,shinkan,Lパチスロ革命機ヴァルヴレイヴ2,2176,2025,4,1,
2026-08-16,shinkan,Lパチスロからくりサーカス2,2229,3826,0,8,
2026-08-16,shinkan,Lパチスロからくりサーカス2,2230,2940,0,4,
2026-08-16,shinkan,Lパチスロからくりサーカス2,2231,3215,0,8,
2026-08-16,shinkan,Lパチスロからくりサーカス2,2232,2327,0,7,
2026-08-16,shinkan,Lパチスロからくりサーカス2,2277,521,0,1,0
2026-08-16,shinkan,Lパチスロからくりサーカス2,2278,2033,0,7,3896
2026-08-16,shinkan,Lパチスロからくりサーカス2,2279,452,0,1,
2026-08-16,shinkan,Lパチスロからくりサーカス2,2280,965,0,2,209
2026-08-16,shinkan,Lパチスロからくりサーカス2,2281,2428,0,7,
2026-08-16,shinkan,Lパチスロからくりサーカス2,2282,1456,0,3,1207
2026-08-16,shinkan,L東京喰種,2243,5035,0,19,
2026-08-16,shinkan,L東京喰種,2244,3717,0,13,
2026-08-16,shinkan,L東京喰種,2245,3372,0,7,1702
2026-08-16,shinkan,L東京喰種,2246,7537,0,20,
2026-08-16,shinkan,L東京喰種,2247,3282,0,7,
2026-08-16,shinkan,L東京喰種,2248,4732,0,10,
2026-08-16,shinkan,L東京喰種,2249,4451,0,11,
2026-08-16,shinkan,L東京喰種,2250,3513,0,9,
2026-08-16,shinkan,L東京喰種,2251,6082,0,16,2506
2026-08-16,shinkan,L東京喰種,2252,4370,0,10,1518
2026-08-16,shinkan,L東京喰種,2253,3209,0,9,
2026-08-16,shinkan,L東京喰種,2254,3484,0,13,
2026-08-16,shinkan,L東京喰種,2255,5647,0,11,3507
2026-08-16,shinkan,スマスロモンキーターンV,2256,4802,0,12,
2026-08-16,shinkan,スマスロモンキーターンV,2257,653,0,2,
2026-08-16,shinkan,スマスロモンキーターンV,2258,1798,0,2,210
2026-08-16,shinkan,スマスロモンキーターンV,2259,992,0,2,
2026-08-16,shinkan,スマスロモンキーターンV,2260,3019,0,6,
2026-08-16,shinkan,スマスロモンキーターンV,2261,1821,0,4,
2026-08-16,shinkan,スマスロモンキーターンV,2262,4975,0,9,3207
2026-08-16,shinkan,スマスロモンキーターンV,2263,5689,0,9,
2026-08-16,shinkan,スマスロモンキーターンV,2264,650,0,3,
2026-08-16,shinkan,スマスロモンキーターンV,2265,2298,0,2,2117
2026-08-16,shinkan,スマスロモンキーターンV,2266,536,0,1,
2026-08-16,shinkan,Lパチスロ炎炎ノ消防隊2,2202,2007,0,4,
2026-08-16,shinkan,Lパチスロ炎炎ノ消防隊2,2203,7037,0,13,3113
2026-08-16,shinkan,Lパチスロ炎炎ノ消防隊2,2204,4256,0,12,704
2026-08-16,shinkan,ネオアイムジャグラーEX,2008,7459,29,25,701
2026-08-16,shinkan,ネオアイムジャグラーEX,2009,991,2,0,
2026-08-16,shinkan,ネオアイムジャグラーEX,2010,3380,8,10,
2026-08-16,shinkan,ネオアイムジャグラーEX,2011,1632,7,0,0
2026-08-16,shinkan,ネオアイムジャグラーEX,2012,3727,8,10,
2026-08-16,shinkan,ネオアイムジャグラーEX,2013,5862,21,16,
2026-08-16,shinkan,ネオアイムジャグラーEX,2102,4851,23,8,502
2026-08-16,shinkan,ネオアイムジャグラーEX,2103,2766,16,2,906
2026-08-16,shinkan,ネオアイムジャグラーEX,2104,8079,38,30,2896
2026-08-16,shinkan,ネオアイムジャグラーEX,2105,2139,9,6,404
2026-08-16,shinkan,ネオアイムジャグラーEX,2106,1972,7,3,
2026-08-16,shinkan,ネオアイムジャグラーEX,2107,3136,8,10,
2026-08-16,shinkan,ネオアイムジャグラーEX,2108,2964,9,8,
2026-08-16,shinkan,ネオアイムジャグラーEX,2109,5768,22,13,
2026-08-16,shinkan,ネオアイムジャグラーEX,2110,3670,9,11,
2026-08-16,shinkan,ネオアイムジャグラーEX,2111,4729,15,16,
2026-08-16,shinkan,ネオアイムジャグラーEX,2112,1651,4,6,
2026-08-16,shinkan,ネオアイムジャグラーEX,2113,5452,25,14,609
2026-08-16,shinkan,ネオアイムジャグラーEX,2114,1525,6,2,
2026-08-16,shinkan,ネオアイムジャグラーEX,2115,1988,7,2,
2026-08-16,shinkan,ネオアイムジャグラーEX,2116,7402,29,23,207
2026-08-16,shinkan,ネオアイムジャグラーEX,2117,4314,26,13,2402
2026-08-16,shinkan,ネオアイムジャグラーEX,2118,2552,7,8,
2026-08-16,shinkan,ネオアイムジャグラーEX,2119,1734,6,3,
2026-08-16,shinkan,ネオアイムジャグラーEX,2120,6984,36,18,2007
2026-08-16,shinkan,ネオアイムジャグラーEX,2121,1143,5,0,
2026-08-16,shinkan,ネオアイムジャグラーEX,2122,4641,11,13,
2026-08-16,shinkan,ネオアイムジャグラーEX,2123,3753,12,8,
2026-08-16,shinkan,ネオアイムジャグラーEX,2124,3465,12,7,
2026-08-16,shinkan,ネオアイムジャグラーEX,2125,6481,29,16,605
2026-08-16,shinkan,ネオアイムジャグラーEX,2126,2152,7,3,
2026-08-16,shinkan,ネオアイムジャグラーEX,2127,4335,17,9,0
2026-08-16,shinkan,ネオアイムジャグラーEX,2140,6146,23,14,104
2026-08-16,shinkan,この素晴らしい世界に祝福を！,3041,6162,0,17,2812
2026-08-16,shinkan,この素晴らしい世界に祝福を！,3042,0,0,0,0
2026-08-16,shinkan,この素晴らしい世界に祝福を！,3043,2180,0,5,
2026-08-16,shinkan,マイジャグラーV,2014,2994,6,6,
2026-08-16,shinkan,マイジャグラーV,2015,8142,31,27,709
2026-08-16,shinkan,マイジャグラーV,2016,5651,23,19,605
2026-08-16,shinkan,マイジャグラーV,2017,3141,13,3,
2026-08-16,shinkan,マイジャグラーV,2018,6973,28,18,308
2026-08-16,shinkan,マイジャグラーV,2019,7026,31,20,904
2026-08-16,shinkan,マイジャグラーV,2020,5474,15,12,
2026-08-16,shinkan,マイジャグラーV,2021,6340,25,18,701
2026-08-16,shinkan,マイジャグラーV,2022,6110,24,19,701
2026-08-16,shinkan,マイジャグラーV,2023,1314,2,2,
2026-08-16,shinkan,マイジャグラーV,2024,7883,28,24,
2026-08-16,shinkan,マイジャグラーV,2025,4465,14,10,
2026-08-16,shinkan,マイジャグラーV,2026,4433,16,9,
2026-08-16,shinkan,マイジャグラーV,2027,5843,29,17,1606
2026-08-16,shinkan,マイジャグラーV,2028,1459,3,3,
2026-08-16,shinkan,マイジャグラーV,2029,4818,21,14,903
2026-08-16,shinkan,マイジャグラーV,2030,4511,11,12,
2026-08-16,shinkan,マイジャグラーV,2031,5972,23,11,
2026-08-16,shinkan,マイジャグラーV,2128,8289,38,30,2718
2026-08-16,shinkan,マイジャグラーV,2129,2040,8,3,
2026-08-16,shinkan,マイジャグラーV,2130,9154,27,32,
2026-08-16,shinkan,マイジャグラーV,2131,5413,19,15,
2026-08-16,shinkan,マイジャグラーV,2132,4961,16,12,
2026-08-16,shinkan,マイジャグラーV,2133,7017,24,22,102
2026-08-16,shinkan,マイジャグラーV,2134,5535,17,18,
2026-08-16,shinkan,マイジャグラーV,2135,8354,31,25,
2026-08-16,shinkan,マイジャグラーV,2136,5270,18,14,
2026-08-16,shinkan,マイジャグラーV,2137,5131,18,14,
2026-08-16,shinkan,マイジャグラーV,2138,8539,30,31,406
2026-08-16,shinkan,マイジャグラーV,2139,6164,24,15,
2026-08-16,shinkan,マイジャグラーV,2141,3889,10,5,
2026-08-16,shinkan,マイジャグラーV,2142,5402,24,16,1007
2026-08-16,shinkan,マイジャグラーV,2143,5590,22,12,
2026-08-16,shinkan,マイジャグラーV,2144,2063,7,3,
2026-08-16,shinkan,マイジャグラーV,2145,6333,23,18,
2026-08-16,shinkan,マイジャグラーV,2146,8557,30,33,501
2026-08-16,shinkan,マイジャグラーV,2147,8405,37,24,1716
2026-08-16,shinkan,マイジャグラーV,2148,1523,1,3,
2026-08-16,shinkan,マイジャグラーV,2149,5664,23,11,
2026-08-16,shinkan,マイジャグラーV,2150,5678,23,14,102
2026-08-16,shinkan,マイジャグラーV,2151,6648,22,21,
2026-08-16,shinkan,マイジャグラーV,2152,5656,15,19,
2026-08-16,shinkan,マイジャグラーV,2153,7600,31,25,903
2026-08-16,shinkan,L戦国乙女４　戦乱に閃く炯眼の軍師,2059,2260,10,0,
2026-08-16,shinkan,L戦国乙女４　戦乱に閃く炯眼の軍師,2060,5582,23,0,
2026-08-16,shinkan,L戦国乙女４　戦乱に閃く炯眼の軍師,2061,4418,21,0,2509
2026-08-16,shinkan,沖ドキ！ＧＯＬＤ-30,3152,7369,27,14,
2026-08-16,shinkan,沖ドキ！ＧＯＬＤ-30,3153,4495,14,9,
2026-08-16,shinkan,沖ドキ！ＧＯＬＤ-30,3154,4402,3,5,
2026-08-16,shinkan,沖ドキ！ＧＯＬＤ-30,3155,6436,37,7,2205
2026-08-16,shinkan,沖ドキ！ＧＯＬＤ-30,3156,6487,15,10,
2026-08-16,shinkan,沖ドキ！ＧＯＬＤ-30,3157,1364,7,2,108
2026-08-16,shinkan,沖ドキ！ＧＯＬＤ-30,3158,6359,6,5,
2026-08-16,shinkan,沖ドキ！ＧＯＬＤ-30,3159,3981,7,5,
2026-08-16,shinkan,沖ドキ！ＧＯＬＤ-30,3160,4431,10,7,
2026-08-16,shinkan,ハッピージャグラーＶＩＩＩ,2001,4041,8,5,
2026-08-16,shinkan,ハッピージャグラーＶＩＩＩ,2002,7431,30,24,608
2026-08-16,shinkan,ハッピージャグラーＶＩＩＩ,2003,6599,36,16,2114
2026-08-16,shinkan,ハッピージャグラーＶＩＩＩ,2004,1156,3,0,
2026-08-16,shinkan,ハッピージャグラーＶＩＩＩ,2005,2802,11,7,
2026-08-16,shinkan,ハッピージャグラーＶＩＩＩ,2006,954,2,0,
2026-08-16,shinkan,ハッピージャグラーＶＩＩＩ,2007,5758,23,16,0
2026-08-16,shinkan,L真・一騎当千,3089,3362,0,8,2113
2026-08-16,shinkan,ファンキージャグラー２ＫＴ,2036,3500,11,12,0
2026-08-16,shinkan,ファンキージャグラー２ＫＴ,2037,6608,32,20,2112
2026-08-16,shinkan,ファンキージャグラー２ＫＴ,2038,2172,6,6,
2026-08-16,shinkan,ファンキージャグラー２ＫＴ,2039,2569,5,7,
2026-08-16,shinkan,ファンキージャグラー２ＫＴ,2040,1941,6,3,
2026-08-16,shinkan,ミスタージャグラー,2041,5404,29,12,1716
2026-08-16,shinkan,ミスタージャグラー,2042,1586,4,1,
2026-08-16,shinkan,ミスタージャグラー,2043,4004,14,13,
2026-08-16,shinkan,Lソードアート・オンライン,3052,1875,0,8,
2026-08-16,shinkan,Lソードアート・オンライン,3053,8251,0,35,1514
2026-08-16,shinkan,Lソードアート・オンライン,3054,4445,0,20,
2026-08-16,shinkan,Lソードアート・オンライン,3055,7016,0,29,
2026-08-16,shinkan,Lパチスロうみねこのなく頃に2,3023,4770,17,11,1507
2026-08-16,shinkan,Lパチスロうみねこのなく頃に2,3024,697,0,3,
2026-08-16,shinkan,ゴーゴージャグラー３,2032,4930,20,15,0
2026-08-16,shinkan,ゴーゴージャグラー３,2033,4819,20,16,401
2026-08-16,shinkan,ゴーゴージャグラー３,2034,6965,32,23,1401
2026-08-16,shinkan,ゴーゴージャグラー３,2035,2299,12,4,401
2026-08-16,shinkan,ゴーゴージャグラー３,2052,7095,31,23,508
2026-08-16,shinkan,ゴーゴージャグラー３,2053,1193,1,2,
2026-08-16,shinkan,ゴーゴージャグラー３,2054,2294,6,3,
2026-08-16,shinkan,ゴーゴージャグラー３,2055,2378,6,7,
2026-08-16,shinkan,ゴーゴージャグラー３,2056,6910,28,22,602
2026-08-16,shinkan,ゴーゴージャグラー３,2057,3181,8,7,
2026-08-16,shinkan,Lスマスロとある魔術の禁書目録,3058,4405,0,14,1313
2026-08-16,shinkan,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,3048,2432,13,9,509
2026-08-16,shinkan,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,3049,3703,24,13,1010
2026-08-16,shinkan,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,3050,4633,15,15,
2026-08-16,shinkan,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,3051,5170,23,21,
2026-08-16,shinkan,ジャグラーガールズSS,2047,3592,13,10,
2026-08-16,shinkan,ジャグラーガールズSS,2048,5855,25,18,605
2026-08-16,shinkan,ジャグラーガールズSS,2049,1511,1,2,
2026-08-16,shinkan,ジャグラーガールズSS,2050,2368,13,5,906
2026-08-16,shinkan,ジャグラーガールズSS,2051,1545,6,4,201
2026-08-16,shinkan,戦国コレクション6,2062,5612,0,14,
2026-08-16,shinkan,戦国コレクション6,2063,7568,0,18,
2026-08-16,shinkan,戦国コレクション6,2064,4342,0,8,609
2026-08-16,shinkan,スマスロ化物語,2072,7907,0,20,
2026-08-16,shinkan,スマスロ化物語,2073,7721,0,23,608
2026-08-16,shinkan,スマスロ化物語,2074,3470,0,6,
2026-08-16,shinkan,スマスロ化物語,2075,5181,0,12,
2026-08-16,shinkan,スマスロ化物語,2076,8145,0,28,
2026-08-16,shinkan,スマスロ化物語,2077,5792,0,16,
2026-08-16,shinkan,ウルトラミラクルジャグラー,2044,3188,16,6,604
2026-08-16,shinkan,ウルトラミラクルジャグラー,2045,1791,8,0,103
2026-08-16,shinkan,ウルトラミラクルジャグラー,2046,3775,18,7,503
2026-08-16,shinkan,バーサスリヴァイズ,3033,3468,9,9,
2026-08-16,shinkan,バーサスリヴァイズ,3034,1375,7,1,601
2026-08-16,shinkan,バーサスリヴァイズ,3035,3071,11,6,
2026-08-16,shinkan,L不二子BT,2087,3800,24,20,407
2026-08-16,shinkan,スマスロケロット5BT,2084,3935,18,9,402
2026-08-16,shinkan,A-SLOT+異世界かるてっとBT,2178,1888,4,3,
2026-08-16,shinkan,A-SLOT+異世界かるてっとBT,2179,1841,10,11,0
2026-08-16,shinkan,新ハナビ,3036,1358,2,2,
2026-08-16,shinkan,新ハナビ,3037,2247,8,5,0
2026-08-16,shinkan,パチスロ戦国恋姫,3038,5805,20,15,
2026-08-16,shinkan,回胴式遊技機グランベルム,3040,3493,43,0,
2026-08-16,shinkan,パチスロ　ディスクアップ２,3029,3724,12,6,
2026-08-16,shinkan,パチスロ　ディスクアップ２,3030,1056,1,3,
2026-08-16,shinkan,パチスロ　ディスクアップ２,3031,2881,6,8,
2026-08-16,shinkan,パチスロ　ディスクアップ２,3032,3808,12,4,
2026-08-16,shinkan,L無職転生～異世界行ったら本気だす～,3057,1846,0,11,
2026-08-16,shinkan,Lラブ嬢3～Wご指名はいかがですか?～,3025,2990,0,9,
2026-08-16,shinkan,L虚構推理,2177,6269,0,16,
2026-08-16,shinkan,パチスロ　甲鉄城のカバネリ,3046,2324,0,9,
2026-08-16,shinkan,パチスロ　甲鉄城のカバネリ,3047,1079,0,4,
2026-08-16,shinkan,クレアの秘宝伝～はじまりの扉と太陽の石～ボーナストリガーver.,2085,4429,11,13,
2026-08-16,shinkan,Lバンドリ！,3059,4786,0,15,
2026-08-16,shinkan,L邪神ちゃんドロップキック,2188,6773,0,8,
