date,hall,model,daban,G,BB,RB,samai
2026-08-17,honkan,Lパチスロからくりサーカス2,3103,1594,0,3,
2026-08-17,honkan,Lパチスロからくりサーカス2,3104,2857,0,10,
2026-08-17,honkan,Lパチスロからくりサーカス2,3105,2317,0,3,2205
2026-08-17,honkan,Lパチスロからくりサーカス2,3106,628,0,2,
2026-08-17,honkan,Lパチスロからくりサーカス2,3107,1877,0,4,
2026-08-17,honkan,Lパチスロからくりサーカス2,3108,2301,0,5,
2026-08-17,honkan,Lパチスロからくりサーカス2,3109,2437,0,7,8282
2026-08-17,honkan,Lパチスロからくりサーカス2,3110,2281,0,5,
2026-08-17,honkan,L東京喰種,3012,1766,0,6,
2026-08-17,honkan,L東京喰種,3013,1548,0,5,
2026-08-17,honkan,L東京喰種,3014,3820,0,14,
2026-08-17,honkan,L東京喰種,3015,2040,0,4,2005
2026-08-17,honkan,L東京喰種,3016,5401,0,18,
2026-08-17,honkan,L東京喰種,3123,2927,0,11,
2026-08-17,honkan,L東京喰種,3124,4331,0,15,
2026-08-17,honkan,L東京喰種,3125,3501,0,10,
2026-08-17,honkan,L東京喰種,3126,2131,0,6,2398
2026-08-17,honkan,L東京喰種,3127,4580,0,8,3408
2026-08-17,honkan,L東京喰種,3128,248,0,1,
2026-08-17,honkan,L東京喰種,3129,5312,0,10,
2026-08-17,honkan,L東京喰種,3130,215,0,1,107
2026-08-17,honkan,L東京喰種,3131,4218,0,15,
2026-08-17,honkan,L東京喰種,3132,956,0,3,
2026-08-17,honkan,L東京喰種,3133,3923,0,11,0
2026-08-17,honkan,L東京喰種,3134,1659,0,5,
2026-08-17,honkan,ネオアイムジャグラーEX,2024,5449,21,9,
2026-08-17,honkan,ネオアイムジャグラーEX,2025,3222,6,9,
2026-08-17,honkan,ネオアイムジャグラーEX,2026,2022,7,5,
2026-08-17,honkan,ネオアイムジャグラーEX,2027,7815,37,30,2617
2026-08-17,honkan,ネオアイムジャグラーEX,2050,4586,24,13,1609
2026-08-17,honkan,ネオアイムジャグラーEX,2051,4159,20,13,1407
2026-08-17,honkan,ネオアイムジャグラーEX,2052,5507,27,13,1202
2026-08-17,honkan,ネオアイムジャグラーEX,2053,760,1,0,
2026-08-17,honkan,ネオアイムジャグラーEX,2054,5830,19,22,307
2026-08-17,honkan,ネオアイムジャグラーEX,2055,3469,14,5,
2026-08-17,honkan,ネオアイムジャグラーEX,2056,4032,17,19,1508
2026-08-17,honkan,ネオアイムジャグラーEX,2057,3835,13,11,
2026-08-17,honkan,ネオアイムジャグラーEX,2058,1985,6,3,
2026-08-17,honkan,ネオアイムジャグラーEX,2059,1676,6,0,
2026-08-17,honkan,ネオアイムジャグラーEX,2060,5294,21,12,105
2026-08-17,honkan,ネオアイムジャグラーEX,2061,2902,15,9,1205
2026-08-17,honkan,ネオアイムジャグラーEX,2062,2581,13,6,709
2026-08-17,honkan,ネオアイムジャグラーEX,2063,2010,10,5,808
2026-08-17,honkan,ネオアイムジャグラーEX,2064,4093,23,11,1919
2026-08-17,honkan,ネオアイムジャグラーEX,2065,1617,4,3,
2026-08-17,honkan,ネオアイムジャグラーEX,2066,2370,6,4,
2026-08-17,honkan,ネオアイムジャグラーEX,2067,2739,8,6,
2026-08-17,honkan,ネオアイムジャグラーEX,2068,2068,4,5,
2026-08-17,honkan,ネオアイムジャグラーEX,2069,2148,5,3,
2026-08-17,honkan,ネオアイムジャグラーEX,2070,5112,13,17,
2026-08-17,honkan,ネオアイムジャグラーEX,2177,4265,18,15,808
2026-08-17,honkan,マイジャグラーV,2001,8519,34,32,1403
2026-08-17,honkan,マイジャグラーV,2002,6136,22,20,306
2026-08-17,honkan,マイジャグラーV,2003,4041,17,17,907
2026-08-17,honkan,マイジャグラーV,2004,5792,27,16,1105
2026-08-17,honkan,マイジャグラーV,2005,8171,36,27,1707
2026-08-17,honkan,マイジャグラーV,2006,7379,31,30,1905
2026-08-17,honkan,マイジャグラーV,2007,5914,24,15,505
2026-08-17,honkan,マイジャグラーV,2008,7646,32,26,602
2026-08-17,honkan,マイジャグラーV,2009,7759,26,28,101
2026-08-17,honkan,マイジャグラーV,2010,8090,36,23,901
2026-08-17,honkan,マイジャグラーV,2011,6111,19,23,
2026-08-17,honkan,マイジャグラーV,2012,6838,27,19,506
2026-08-17,honkan,マイジャグラーV,2093,7777,32,31,1206
2026-08-17,honkan,マイジャグラーV,2094,2313,4,6,
2026-08-17,honkan,マイジャグラーV,2095,6132,29,12,1406
2026-08-17,honkan,マイジャグラーV,2096,5340,23,7,308
2026-08-17,honkan,マイジャグラーV,2097,6650,22,13,
2026-08-17,honkan,マイジャグラーV,2098,1895,4,1,
2026-08-17,honkan,マイジャグラーV,2099,6506,21,17,
2026-08-17,honkan,マイジャグラーV,2100,7543,32,25,1103
2026-08-17,honkan,マイジャグラーV,2101,5527,25,17,1103
2026-08-17,honkan,マイジャグラーV,2102,6302,24,16,
2026-08-17,honkan,マイジャグラーV,2103,7443,20,28,
2026-08-17,honkan,マイジャグラーV,2104,7915,31,32,1508
2026-08-17,honkan,マイジャグラーV,2105,3566,14,11,205
2026-08-17,honkan,マイジャグラーV,2106,8944,36,31,1501
2026-08-17,honkan,マイジャグラーV,2107,3392,6,8,
2026-08-17,honkan,マイジャグラーV,2108,8926,37,26,601
2026-08-17,honkan,マイジャグラーV,2109,8654,30,30,605
2026-08-17,honkan,マイジャグラーV,2115,8339,29,28,0
2026-08-17,honkan,マイジャグラーV,2116,2897,9,5,
2026-08-17,honkan,マイジャグラーV,2117,5051,13,14,
2026-08-17,honkan,マイジャグラーV,2118,5916,20,13,
2026-08-17,honkan,マイジャグラーV,2119,5487,25,19,1106
2026-08-17,honkan,マイジャグラーV,2120,5825,20,16,
2026-08-17,honkan,マイジャグラーV,2121,7015,26,26,408
2026-08-17,honkan,マイジャグラーV,2122,5752,17,15,
2026-08-17,honkan,マイジャグラーV,2123,5514,19,15,
2026-08-17,honkan,マイジャグラーV,2124,7312,26,32,802
2026-08-17,honkan,マイジャグラーV,2125,8912,37,34,2408
2026-08-17,honkan,マイジャグラーV,2126,4174,19,17,1403
2026-08-17,honkan,マイジャグラーV,2127,6712,24,18,
2026-08-17,honkan,マイジャグラーV,2128,1940,5,5,
2026-08-17,honkan,マイジャグラーV,2129,6389,24,19,108
2026-08-17,honkan,マイジャグラーV,2130,1446,2,3,
2026-08-17,honkan,マイジャグラーV,2131,6697,21,23,
2026-08-17,honkan,マイジャグラーV,2132,8535,31,30,306
2026-08-17,honkan,マイジャグラーV,2133,1466,3,1,
2026-08-17,honkan,チバリヨ2,2042,4743,25,18,2318
2026-08-17,honkan,チバリヨ2,2043,214,0,1,
2026-08-17,honkan,チバリヨ2,2044,242,1,0,0
2026-08-17,honkan,沖ドキ！BLACK,2137,854,0,1,
2026-08-17,honkan,沖ドキ！BLACK,2138,2538,16,10,2112
2026-08-17,honkan,沖ドキ！BLACK,2139,962,5,2,206
2026-08-17,honkan,沖ドキ！BLACK,2140,5814,22,17,
2026-08-17,honkan,沖ドキ！ＧＯＬＤ-30,2149,4572,17,10,
2026-08-17,honkan,沖ドキ！ＧＯＬＤ-30,2150,3845,21,3,1114
2026-08-17,honkan,沖ドキ！ＧＯＬＤ-30,2151,518,3,1,301
2026-08-17,honkan,沖ドキ！ＧＯＬＤ-30,2152,5159,21,11,
2026-08-17,honkan,沖ドキ！ＧＯＬＤ-30,2153,4255,18,7,
2026-08-17,honkan,沖ドキ！ＧＯＬＤ-30,2154,2294,5,6,
2026-08-17,honkan,沖ドキ！ＧＯＬＤ-30,2155,3986,20,4,505
2026-08-17,honkan,沖ドキ！ＧＯＬＤ-30,2156,3908,15,9,
2026-08-17,honkan,沖ドキ！ＧＯＬＤ-30,2159,3408,16,7,301
2026-08-17,honkan,沖ドキ！ＧＯＬＤ-30,2160,524,2,3,508
2026-08-17,honkan,沖ドキ！ＧＯＬＤ-30,2161,8517,12,17,
2026-08-17,honkan,沖ドキ！ＧＯＬＤ-30,2162,2739,10,6,
2026-08-17,honkan,沖ドキ！ＧＯＬＤ-30,2163,3134,19,6,2007
2026-08-17,honkan,沖ドキ！ＧＯＬＤ-30,2164,2193,5,1,
2026-08-17,honkan,沖ドキ！ＧＯＬＤ-30,2165,1537,6,3,0
2026-08-17,honkan,沖ドキ！ＧＯＬＤ-30,2171,6858,32,14,1401
2026-08-17,honkan,スマスロモンキーターンV,3045,641,0,2,
2026-08-17,honkan,スマスロモンキーターンV,3046,1595,0,5,302
2026-08-17,honkan,スマスロモンキーターンV,3047,214,0,1,
2026-08-17,honkan,スマスロモンキーターンV,3048,874,0,4,0
