date,hall,model,daban,G,BB,RB,samai,deri,gousei,bb_bunbo,rb_bunbo
2026-08-23,espace_akiba,,2001,2066,0,4,-2395,61.4,517,,517
2026-08-23,espace_akiba,,2002,4402,0,17,-3895,70.5,259,,259
2026-08-23,espace_akiba,,2003,952,0,2,-1192,58.3,476,,476
2026-08-23,espace_akiba,,2004,2812,0,10,-3101,63.2,281,,281
2026-08-23,espace_akiba,,2005,1677,0,9,-1499,70.2,186,,186
2026-08-23,espace_akiba,,2006,732,0,3,-91,95.9,244,,244
2026-08-23,espace_akiba,,2007,1592,0,4,-1394,70.8,398,,398
2026-08-23,espace_akiba,,2008,2758,0,9,-2196,73.5,306,,306
2026-08-23,espace_akiba,,2009,5240,0,14,1701,110.8,374,,374
2026-08-23,espace_akiba,,2010,3774,0,7,5914,152.2,539,,539
2026-08-23,espace_akiba,,2011,7904,0,22,1317,105.6,359,,359
2026-08-23,espace_akiba,,2012,8734,0,34,-2797,89.3,257,,257
2026-08-23,espace_akiba,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,2013,1611,6,3,-796,83.5,179,269,537
2026-08-23,espace_akiba,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,2014,2026,5,2,-1696,72.1,289,405,1013
2026-08-23,espace_akiba,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,2015,4884,22,14,-1198,91.8,136,222,349
2026-08-23,espace_akiba,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,2016,4069,14,0,-1693,86.1,291,291,
2026-08-23,espace_akiba,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,2017,3613,15,0,908,108.4,241,241,
2026-08-23,espace_akiba,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,2018,2194,9,0,1003,115.2,244,244,
2026-08-23,espace_akiba,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,2019,4692,18,0,-2999,78.7,261,261,
2026-08-23,espace_akiba,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,2020,5155,21,0,2409,115.6,245,245,
2026-08-23,espace_akiba,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,2021,3666,17,0,403,103.7,216,216,
2026-08-23,espace_akiba,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,2022,4715,23,0,-1494,89.4,205,205,
2026-08-23,espace_akiba,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,2023,3415,15,0,-2879,71.9,228,228,
2026-08-23,espace_akiba,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,2024,3389,14,0,2806,127.6,242,242,
