date,hall,model,daban,G,BB,RB,samai,deri,gousei,bb_bunbo,rb_bunbo
2026-09-02,bigapple,,2001,1554,6,6,,,130,259,259
2026-09-02,bigapple,,2002,772,1,3,,,193,772,257
2026-09-02,bigapple,,2003,225,1,2,,,75,225,113
2026-09-02,bigapple,,2004,3034,13,13,,,117,233,233
2026-09-02,bigapple,,2005,1692,12,9,1,100,81,141,188
2026-09-02,bigapple,,2006,936,3,5,,,117,312,187
2026-09-02,bigapple,,2007,1925,12,8,,,96,160,241
2026-09-02,bigapple,,2008,3583,18,13,,,116,199,276
2026-09-02,bigapple,,2009,2197,5,7,,,183,439,314
2026-09-02,bigapple,,2010,1499,6,6,-1,100,125,250,250
2026-09-02,bigapple,,2011,1319,10,8,1,100,73,132,165
2026-09-02,bigapple,,2012,1041,25,6,1,100,34,42,174
2026-09-02,bigapple,,2013,234,2,2,0,100,59,117,117
2026-09-02,bigapple,,2014,2672,22,12,1,100,79,121,223
2026-09-02,bigapple,,2015,2788,25,10,,,80,112,279
2026-09-02,bigapple,,2016,497,1,0,,,497,497,
2026-09-02,bigapple,,2017,1566,6,10,,,98,261,157
2026-09-02,bigapple,,2018,397,1,0,,,397,397,
2026-09-02,bigapple,,2019,851,4,18,1,100,39,213,47
2026-09-02,bigapple,,2020,397,1,5,0,100,66,397,79
2026-09-02,bigapple,,2021,258,1,2,1,100.1,86,258,129
2026-09-02,bigapple,,2022,446,1,0,,,446,446,
2026-09-02,bigapple,,2023,423,1,5,1,100.1,71,423,85
2026-09-02,bigapple,,2024,1267,6,10,1,100,79,211,127
2026-09-02,bigapple,,2025,0,0,0,0,,,,
2026-09-02,bigapple,,2026,2126,7,3,,,213,304,709
2026-09-02,bigapple,,2027,1333,5,17,1,100,61,267,78
2026-09-02,bigapple,,2028,1132,3,0,,,377,377,
2026-09-02,bigapple,,2029,1221,5,4,,,136,244,305
2026-09-02,bigapple,,2030,1320,4,18,1,100,60,330,73
2026-09-02,bigapple,,2031,2119,6,15,1,100,101,353,141
2026-09-02,bigapple,,2032,1133,5,8,,,87,227,142
2026-09-02,bigapple,,2033,0,0,0,0,,,,
2026-09-02,bigapple,,2034,471,1,2,,,157,471,236
2026-09-02,bigapple,,2035,171,1,0,,,171,171,
2026-09-02,bigapple,,2036,188,1,3,1,100.2,47,188,63
2026-09-02,bigapple,,2037,420,1,0,,,420,420,
2026-09-02,bigapple,,2038,0,0,0,0,,,,
2026-09-02,bigapple,,2039,2173,11,12,,,94,198,181
2026-09-02,bigapple,,2040,983,4,8,1,100,82,246,123
2026-09-02,bigapple,,2041,1537,5,15,1,100,77,307,102
2026-09-02,bigapple,,2042,1651,9,7,,,103,183,236
2026-09-02,bigapple,,2043,3107,9,27,1,100,86,345,115
2026-09-02,bigapple,,2044,351,1,0,,,351,351,
2026-09-02,bigapple,,2045,755,3,13,1,100,47,252,58
2026-09-02,bigapple,,2046,639,4,3,,,91,160,213
2026-09-02,bigapple,,2047,2361,41,9,1,100,47,58,262
2026-09-02,bigapple,,2048,603,4,1,,,121,151,603
2026-09-02,bigapple,,2049,474,2,2,,,119,237,237
2026-09-02,bigapple,,2050,1806,14,8,-1,100,82,129,226
2026-09-02,bigapple,,2051,285,5,2,1,100.1,41,57,143
2026-09-02,bigapple,,2052,2926,50,13,1,100,46,59,225
2026-09-02,bigapple,,2053,712,21,3,1,100,30,34,237
2026-09-02,bigapple,,2054,1324,6,6,,,110,221,221
2026-09-02,bigapple,,2055,1897,19,9,,,68,100,211
2026-09-02,bigapple,,2056,531,3,4,,,76,177,133
2026-09-02,bigapple,,2057,416,5,2,,,59,83,208
2026-09-02,bigapple,,2058,815,5,5,,,82,163,163
2026-09-02,bigapple,,2059,1243,7,4,,,113,178,311
2026-09-02,bigapple,,2060,204,2,2,-1,99.8,51,102,102
2026-09-02,bigapple,,2061,2249,22,6,,,80,102,375
2026-09-02,bigapple,,2062,1858,8,9,,,109,232,206
2026-09-02,bigapple,,2063,1904,14,6,,,95,136,317
2026-09-02,bigapple,,2064,2360,15,9,,,98,157,262
2026-09-02,bigapple,,2065,1127,10,4,,,81,113,282
2026-09-02,bigapple,,2066,1646,20,6,1,100,63,82,274
2026-09-02,bigapple,,2067,750,11,3,1,100,54,68,250
2026-09-02,bigapple,,2068,1213,9,5,,,87,135,243
2026-09-02,bigapple,,2069,594,10,3,1,100.1,46,59,198
2026-09-02,bigapple,,2070,252,5,1,1,100.1,42,50,252
2026-09-02,bigapple,,2071,213,4,1,1,100.2,43,53,213
2026-09-02,bigapple,,2072,2251,36,9,1,100,50,63,250
2026-09-02,bigapple,,2073,987,24,4,1,100,35,41,247
2026-09-02,bigapple,,2074,1451,27,10,1,100,39,54,145
2026-09-02,bigapple,,2075,2081,13,7,,,104,160,297
2026-09-02,bigapple,,2076,2199,10,5,,,147,220,440
2026-09-02,bigapple,,2077,3596,21,9,,,120,171,400
2026-09-02,bigapple,,2078,1182,14,7,1,100,56,84,169
2026-09-02,bigapple,,2079,423,6,2,1,100.1,53,71,212
2026-09-02,bigapple,,2080,420,5,1,1,100.1,70,84,420
2026-09-02,bigapple,,2081,691,12,3,1,100,46,58,230
2026-09-02,bigapple,,2082,1775,10,4,,,127,178,444
2026-09-02,bigapple,,2083,310,1,1,,,155,310,310
2026-09-02,bigapple,,2084,155,2,1,1,100.2,52,78,155
2026-09-02,bigapple,,2085,636,5,3,,,80,127,212
2026-09-02,bigapple,,2086,1982,16,6,,,90,124,330
2026-09-02,bigapple,,2087,1509,4,3,,,216,377,503
2026-09-02,bigapple,,2088,506,9,2,1,100.1,46,56,253
2026-09-02,bigapple,,2089,1550,18,6,1,100,65,86,258
2026-09-02,bigapple,Lパチスロ 機動戦士ガンダムユニコーン 覚醒DRIVE,2090,89,0,0,-1,,,,
2026-09-02,bigapple,,2091,3870,24,19,1,100,90,161,204
2026-09-02,bigapple,,2092,1975,6,8,,,141,329,247
2026-09-02,bigapple,,2093,3387,29,16,1,100,75,117,212
2026-09-02,bigapple,,2094,2475,4,6,,,248,619,413
2026-09-02,bigapple,,2095,3718,14,16,,,124,266,232
2026-09-02,bigapple,,2096,3473,10,13,,,151,347,267
2026-09-02,bigapple,,2097,2235,11,7,1,100,124,203,319
2026-09-02,bigapple,,2098,3276,20,12,1,100,102,164,273
2026-09-02,bigapple,,2099,3802,13,18,,,123,292,211
2026-09-02,bigapple,,2100,1360,3,4,-1,100,194,453,340
2026-09-02,bigapple,,2101,5378,50,27,1,100,70,108,199
2026-09-02,bigapple,,2102,3330,14,14,,,119,238,238
2026-09-02,bigapple,,2103,3482,26,15,1,100,85,134,232
2026-09-02,bigapple,,2104,5434,31,24,,,99,175,226
2026-09-02,bigapple,,2105,2238,13,9,1,100,102,172,249
2026-09-02,bigapple,,2106,3204,23,10,,,97,139,320
2026-09-02,bigapple,,2107,493,0,2,,,247,,247
2026-09-02,bigapple,,2108,579,4,1,,,116,145,579
2026-09-02,bigapple,,2109,294,0,1,,,294,,294
2026-09-02,bigapple,,2110,184,0,1,-1,99.8,184,,184
2026-09-02,bigapple,,2111,2216,13,4,,,130,170,554
2026-09-02,bigapple,,2112,559,1,2,,,186,559,280
2026-09-02,bigapple,,2113,442,3,1,,,111,147,442
2026-09-02,bigapple,,2114,1618,12,4,,,101,135,405
2026-09-02,bigapple,,2115,167,0,1,,,167,,167
2026-09-02,bigapple,,2116,396,19,3,1,100.1,18,21,132
2026-09-02,bigapple,,2117,82,3,1,1,,21,27,82
2026-09-02,bigapple,,2118,51,4,1,1,,10,13,51
2026-09-02,bigapple,,2119,1010,12,2,,,72,84,505
2026-09-02,bigapple,,2120,285,2,1,-1,99.9,95,143,285
2026-09-02,bigapple,,2121,334,1,2,,,111,334,167
2026-09-02,bigapple,,2122,536,4,3,,,77,134,179
2026-09-02,bigapple,,2123,748,1,2,,,249,748,374
2026-09-02,bigapple,,2124,605,4,2,,,101,151,303
2026-09-02,bigapple,,2125,1305,16,5,1,100,62,82,261
2026-09-02,bigapple,,2126,96,0,1,,,96,,96
2026-09-02,bigapple,,2127,523,3,2,,,105,174,262
2026-09-02,bigapple,,2128,57,0,1,,,57,,57
2026-09-02,bigapple,,2129,541,2,2,,,135,271,271
2026-09-02,bigapple,,2130,2331,22,10,-1,100,73,106,233
2026-09-02,bigapple,,2131,1918,17,7,,,80,113,274
2026-09-02,bigapple,,2132,1480,15,8,1,100,64,99,185
2026-09-02,bigapple,,2133,611,2,1,,,204,306,611
2026-09-02,bigapple,,2134,240,1,1,,,120,240,240
2026-09-02,bigapple,,2135,1277,4,3,,,182,319,426
2026-09-02,bigapple,,2136,291,1,1,,,146,291,291
2026-09-02,bigapple,,2137,973,3,2,,,195,324,487
2026-09-02,bigapple,,2138,2210,41,9,1,100,44,54,246
2026-09-02,bigapple,,2139,3329,19,10,,,115,175,333
2026-09-02,bigapple,,2140,2148,8,15,-1,100,93,269,143
2026-09-02,bigapple,,2141,678,0,3,,,226,,226
2026-09-02,bigapple,,2142,664,0,11,1,100.1,60,,60
2026-09-02,bigapple,,2143,1255,5,17,1,100,57,251,74
2026-09-02,bigapple,,2144,323,3,4,1,100.1,46,108,81
2026-09-02,bigapple,,2145,2914,6,15,,,139,486,194
2026-09-02,bigapple,,2146,4644,29,7,,,129,160,663
2026-09-02,bigapple,,2147,2704,28,6,,,80,97,451
2026-09-02,bigapple,,2148,3830,70,25,1,100,40,55,153
2026-09-02,bigapple,,2149,4649,23,5,,,166,202,930
2026-09-02,bigapple,,2150,3126,25,9,-1,100,92,125,347
2026-09-02,bigapple,,2151,2218,11,4,,,148,202,555
2026-09-02,bigapple,,2152,1678,8,2,,,168,210,839
2026-09-02,bigapple,,2153,4883,44,14,1,100,84,111,349
2026-09-02,bigapple,,2154,5369,39,16,,,98,138,336
2026-09-02,bigapple,,2155,3822,118,38,1,100,25,32,101
2026-09-02,bigapple,,2156,4275,53,18,1,100,60,81,238
2026-09-02,bigapple,,2157,2397,17,3,,,120,141,799
2026-09-02,bigapple,,2158,4250,42,10,,,82,101,425
2026-09-02,bigapple,,2159,2057,19,9,0,100,73,108,229
2026-09-02,bigapple,,2160,2182,26,11,1,100,59,84,198
2026-09-02,bigapple,,2161,5325,52,16,,,78,102,333
2026-09-02,bigapple,,2162,4062,39,14,1,100,77,104,290
2026-09-02,bigapple,,2163,1781,4,0,,,445,445,
2026-09-02,bigapple,,2164,3969,52,18,1,100,57,76,221
2026-09-02,bigapple,,2165,3749,53,16,1,100,54,71,234
2026-09-02,bigapple,,2166,3403,23,7,,,113,148,486
2026-09-02,bigapple,,2167,805,1,0,,,805,805,
2026-09-02,bigapple,,2168,3807,51,23,1,100,51,75,166
2026-09-02,bigapple,,2169,3087,18,4,,,140,172,772
2026-09-02,bigapple,,2170,3487,26,7,-1,100,106,134,498
2026-09-02,bigapple,,2171,3899,55,21,1,100,51,71,186
2026-09-02,bigapple,,2172,4225,47,21,1,100,62,90,201
2026-09-02,bigapple,,2173,3216,32,10,1,100,77,101,322
2026-09-02,bigapple,,2174,3579,43,14,1,100,63,83,256
2026-09-02,bigapple,,2175,1474,13,2,,,98,113,737
2026-09-02,bigapple,,2176,1151,12,3,,,77,96,384
2026-09-02,bigapple,,2177,874,1,0,,,874,874,
2026-09-02,bigapple,,2178,1738,23,10,1,100,53,76,174
2026-09-02,bigapple,,2179,3599,27,7,,,106,133,514
2026-09-02,bigapple,,2180,1371,22,8,1,100,46,62,171
2026-09-02,bigapple,,2181,4518,48,21,1,100,65,94,215
2026-09-02,bigapple,,2182,3571,33,12,1,100,79,108,298
2026-09-02,bigapple,,2183,6927,62,0,1,100,112,112,
2026-09-02,bigapple,,2184,4595,35,0,,,131,131,
2026-09-02,bigapple,,2185,6130,61,0,1,100,100,100,
2026-09-02,bigapple,,2186,7062,71,0,1,100,99,99,
2026-09-02,bigapple,,2187,2883,19,0,,,152,152,
2026-09-02,bigapple,,2188,9232,82,0,,,113,113,
2026-09-02,bigapple,,2189,2447,19,0,,,129,129,
2026-09-02,bigapple,,2190,6939,71,0,1,100,98,98,
2026-09-02,bigapple,,2191,7209,76,0,,,95,95,
2026-09-02,bigapple,,2192,6365,51,0,,,125,125,
2026-09-02,bigapple,,2193,2927,28,0,,,105,105,
2026-09-02,bigapple,,2194,6492,58,0,,,112,112,
2026-09-02,bigapple,,2195,6551,56,0,1,100,117,117,
2026-09-02,bigapple,,2196,8428,61,0,1,100,138,138,
2026-09-02,bigapple,,2197,8330,77,0,1,100,108,108,
2026-09-02,bigapple,,2198,2537,27,0,1,100,94,94,
2026-09-02,bigapple,,2199,8162,60,0,,,136,136,
2026-09-02,bigapple,,2200,4799,47,0,-1,100,102,102,
2026-09-02,bigapple,,2201,0,0,0,0,,,,
2026-09-02,bigapple,,2202,0,0,0,0,,,,
2026-09-02,bigapple,,2203,0,0,0,0,,,,
2026-09-02,bigapple,,2204,860,7,2,1,100,96,123,430
2026-09-02,bigapple,,2205,0,0,0,0,,,,
2026-09-02,bigapple,,2206,0,0,0,0,,,,
2026-09-02,bigapple,,2207,2787,45,10,1,100,51,62,279
2026-09-02,bigapple,,2208,0,0,0,0,,,,
2026-09-02,bigapple,,2209,0,0,0,0,,,,
2026-09-02,bigapple,,2210,490,4,3,-1,99.9,70,123,163
2026-09-02,bigapple,,2211,1482,10,6,1,100,93,148,247
2026-09-02,bigapple,,2212,409,1,0,,,409,409,
2026-09-02,bigapple,,2213,186,1,0,,,186,186,
2026-09-02,bigapple,,2214,1893,24,20,1,100,43,79,95
2026-09-02,bigapple,,2215,0,0,0,0,,,,
2026-09-02,bigapple,,2216,1532,8,7,,,102,192,219
2026-09-02,bigapple,,2217,2140,52,2,1,100,40,41,1070
2026-09-02,bigapple,,2218,1403,2,2,,,351,702,702
2026-09-02,bigapple,,2219,5,0,0,,,,,
2026-09-02,bigapple,,2220,1315,4,1,-1,100,263,329,1315
2026-09-02,bigapple,,2221,538,0,1,,,538,,538
2026-09-02,bigapple,,2222,1126,4,6,,,113,282,188
2026-09-02,bigapple,,2223,253,2,2,,,63,127,127
2026-09-02,bigapple,,2224,934,6,8,0,100,67,156,117
2026-09-02,bigapple,,2225,1161,9,5,1,100,83,129,232
2026-09-02,bigapple,,2226,960,1,4,,,192,960,240
2026-09-02,bigapple,,2227,832,4,5,,,92,208,166
2026-09-02,bigapple,,2228,304,0,1,,,304,,304
2026-09-02,bigapple,,2229,388,0,1,,,388,,388
2026-09-02,bigapple,,2230,2089,7,9,-1,100,131,298,232
2026-09-02,bigapple,,2231,340,15,2,1,100.1,20,23,170
2026-09-02,bigapple,,2232,2262,0,11,1,100,206,,206
2026-09-02,bigapple,,2233,841,0,2,,,421,,421
2026-09-02,bigapple,,2234,1646,0,11,1,100,150,,150
2026-09-02,bigapple,,2235,6439,0,16,,,402,,402
2026-09-02,bigapple,,2236,1240,0,3,,,413,,413
2026-09-02,bigapple,,2237,871,0,1,,,871,,871
2026-09-02,bigapple,,2238,1029,2,5,,,147,515,206
2026-09-02,bigapple,,2239,2122,3,7,,,212,707,303
2026-09-02,bigapple,,2240,1506,4,8,1,100,126,377,188
2026-09-02,bigapple,,2241,1661,3,7,,,166,554,237
2026-09-02,bigapple,,2242,1128,2,3,,,226,564,376
2026-09-02,bigapple,,2243,1394,2,6,,,174,697,232
2026-09-02,bigapple,,2244,2433,6,10,1,100,152,406,243
2026-09-02,bigapple,,2245,4707,14,6,,,235,336,785
2026-09-02,bigapple,,2246,3497,15,10,,,140,233,350
2026-09-02,bigapple,,2247,7330,38,18,,,131,193,407
2026-09-02,bigapple,,2248,1453,7,1,,,182,208,1453
2026-09-02,bigapple,,2249,3760,8,13,1,100,179,470,289
2026-09-02,bigapple,,2250,6620,41,17,1,100,114,161,389
2026-09-02,bigapple,,2251,5811,27,19,1,100,126,215,306
2026-09-02,bigapple,,2252,1542,17,4,1,100,73,91,386
2026-09-02,bigapple,,2253,1673,5,3,,,209,335,558
2026-09-02,bigapple,,2254,384,2,1,,,128,192,384
2026-09-02,bigapple,,2255,532,0,2,,,266,,266
2026-09-02,bigapple,,2256,772,3,1,,,193,257,772
2026-09-02,bigapple,,2257,920,0,1,,,920,,920
2026-09-02,bigapple,,3001,1236,3,2,,,247,412,618
2026-09-02,bigapple,,3002,2659,7,5,,,222,380,532
2026-09-02,bigapple,,3003,790,4,3,1,100,113,198,263
2026-09-02,bigapple,,3004,911,1,0,,,911,911,
2026-09-02,bigapple,,3005,2230,2,5,,,319,1115,446
2026-09-02,bigapple,,3006,1487,6,6,1,100,124,248,248
2026-09-02,bigapple,,3007,1504,1,6,,,215,1504,251
2026-09-02,bigapple,,3008,817,1,2,,,272,817,409
2026-09-02,bigapple,,3009,7767,25,22,1,100,165,311,353
2026-09-02,bigapple,,3010,0,0,0,0,,,,
2026-09-02,bigapple,,3011,1303,3,2,,,261,434,652
2026-09-02,bigapple,,3012,3505,10,9,1,100,184,351,389
2026-09-02,bigapple,,3013,381,6,2,1,100.1,48,64,191
2026-09-02,bigapple,,3014,210,2,1,,,70,105,210
2026-09-02,bigapple,,3015,270,1,1,,,135,270,270
2026-09-02,bigapple,,3016,85,2,1,0,,28,43,85
2026-09-02,bigapple,,3017,185,1,1,,,93,185,185
2026-09-02,bigapple,,3018,1341,21,6,1,100,50,64,224
2026-09-02,bigapple,,3019,63,0,0,,,,,
2026-09-02,bigapple,,3020,392,4,0,-1,99.9,98,98,
2026-09-02,bigapple,,3021,553,2,1,,,184,277,553
2026-09-02,bigapple,,3022,1790,12,12,1,100,75,149,149
2026-09-02,bigapple,,3023,2714,10,19,1,100,94,271,143
2026-09-02,bigapple,,3024,3260,27,16,0,100,76,121,204
2026-09-02,bigapple,,3025,925,4,5,,,103,231,185
2026-09-02,bigapple,,3026,440,1,1,,,220,440,440
2026-09-02,bigapple,,3027,339,0,2,,,170,,170
2026-09-02,bigapple,,3028,670,4,2,,,112,168,335
