daban,model,日数,平均差枚,プラス率%,最大差枚,最新差枚,スコア
2001,,21,1,100.0,1,,0.5
2009,,25,1,100.0,1,,0.5
2015,,27,1,100.0,1,,0.5
2047,,21,1,100.0,1,,0.5
2068,,26,1,100.0,1,1,0.5
2125,,24,1,100.0,1,,0.5
2126,,28,1,100.0,1,1,0.5
2127,,18,1,100.0,1,1,0.5
2129,,21,1,100.0,1,1,0.5
2137,,11,1,100.0,1,1,0.5
2139,,30,1,100.0,1,,0.5
2146,,24,1,100.0,1,,0.5
2147,,29,1,100.0,1,1,0.5
2148,,29,1,100.0,1,1,0.5
2151,,29,1,100.0,1,,0.5
2155,,30,1,100.0,1,1,0.5
2156,,38,1,100.0,1,,0.5
2157,,27,1,100.0,1,,0.5
2164,,25,1,100.0,1,,0.5
2165,,29,1,100.0,1,,0.5
2169,,27,1,100.0,1,1,0.5
2172,,25,1,100.0,1,1,0.5
2174,,19,1,100.0,1,,0.5
2175,,23,1,100.0,1,,0.5
2178,,33,1,100.0,1,1,0.5
2179,,25,1,100.0,1,,0.5
2184,,22,1,100.0,1,1,0.5
2185,,34,1,100.0,1,,0.5
2186,,29,1,100.0,1,1,0.5
2189,,32,1,100.0,1,1,0.5
2193,,23,1,100.0,1,,0.5
2195,,22,1,100.0,1,1,0.5
2196,,24,1,100.0,1,1,0.5
2198,,28,1,100.0,1,1,0.5
2199,,21,1,100.0,1,,0.5
2226,,23,1,100.0,1,,0.5
2237,,18,1,100.0,1,1,0.5
2238,,15,1,100.0,1,,0.5
2241,,19,1,100.0,1,,0.5
2244,,22,1,100.0,1,,0.5
3008,,35,1,100.0,1,1,0.5
3019,,23,1,100.0,1,,0.5
3032,,22,1,100.0,1,,0.5
3036,,22,1,100.0,1,,0.5
3068,,23,1,100.0,1,1,0.5
3072,,25,1,100.0,1,,0.5
3108,,32,1,100.0,1,,0.5
3156,,25,1,100.0,1,,0.5
3157,,19,1,100.0,1,,0.5
3161,,25,1,100.0,1,,0.5
3169,,16,1,100.0,1,,0.5
3188,,22,1,100.0,1,,0.5
3205,,21,1,100.0,1,,0.5
2158,,22,1,100.0,1,1,0.5
3203,,40,0.9,97.5,1,1,0.488
2012,,34,1.0,97.1,1,,0.486
3001,,36,1.0,97.2,1,,0.486
2152,,33,1.0,97.0,1,,0.485
2153,,33,1.0,97.0,1,1,0.485
2171,,32,1.0,96.9,1,,0.485
2257,,33,1.0,97.0,1,,0.485
3006,,32,1.0,96.9,1,,0.485
3181,,32,1.0,96.9,1,,0.485
2161,,30,1.0,96.7,1,1,0.484
2167,,31,1.0,96.8,1,,0.484
2183,,30,0.9,96.7,1,,0.484
2197,,31,1.0,96.8,1,1,0.484
3002,,31,0.9,96.8,1,,0.484
3075,,31,1.0,96.8,1,1,0.484
3098,,31,1.0,96.8,1,1,0.484
3167,,30,1.0,96.7,1,1,0.484
2162,,29,1.0,96.6,1,,0.483
2176,,29,1.0,96.6,1,1,0.483
3076,,29,1.0,96.6,1,,0.483
3141,,29,0.9,96.6,1,1,0.483
3193,,29,0.9,96.6,1,,0.483
2046,,27,1.0,96.3,1,1,0.482
2076,,27,1.0,96.3,1,,0.482
2163,,27,1.0,96.3,1,,0.482
2168,,28,1.0,96.4,1,,0.482
2232,,27,1.0,96.3,1,1,0.482
3012,,27,1.0,96.3,1,,0.482
3073,,27,0.9,96.3,1,,0.482
3074,,28,1.0,96.4,1,,0.482
3122,,28,1.0,96.4,1,,0.482
2008,,26,1.0,96.2,1,,0.481
2117,,26,1.0,96.2,1,1,0.481
2188,,26,1.0,96.2,1,,0.481
3007,,26,1.0,96.2,1,,0.481
3049,,26,1.0,96.2,1,,0.481
2003,,25,1.0,96.0,1,,0.48
2007,,25,1.0,96.0,1,1,0.48
2062,,25,1.0,96.0,1,1,0.48
2078,,25,1.0,96.0,1,1,0.48
2092,,25,0.9,96.0,1,1,0.48
2105,,25,1.0,96.0,1,,0.48
2159,,25,1.0,96.0,1,,0.48
2255,,25,1.0,96.0,1,1,0.48
3069,,25,1.0,96.0,1,1,0.48
3158,,25,1.0,96.0,1,,0.48
3171,,25,0.9,96.0,1,,0.48
2054,,23,1.0,95.7,1,,0.479
2106,,23,1.0,95.7,1,,0.479
2115,,24,1.0,95.8,1,,0.479
2119,,23,1.0,95.7,1,,0.479
