daban,model,日数,平均差枚,プラス率%,最大差枚,最新差枚,スコア
1,Lパチスロからくりサーカス2,29,3797.5,100.0,14583,,1.0
2,Lパチスロからくりサーカス2,26,3901,100.0,13611,,1.0
4,Lパチスロからくりサーカス2,29,3531,100.0,12777,,1.0
6,Lパチスロ革命機ヴァルヴレイヴ,30,4458.7,100.0,15902,,1.0
8,Lパチスロ革命機ヴァルヴレイヴ,34,4825.7,100.0,14583,,1.0
9,Lパチスロ革命機ヴァルヴレイヴ,21,3565.6,100.0,18888,,1.0
11,Lパチスロ革命機ヴァルヴレイヴ2,16,2448.3,100.0,7281,,1.0
12,Lパチスロ革命機ヴァルヴレイヴ2,24,3111.8,100.0,12777,,1.0
14,Lパチスロ革命機ヴァルヴレイヴ2,26,3154.6,100.0,7687,,1.0
46,Lパチスロ革命機ヴァルヴレイヴ,27,3939.5,100.0,16458,6281,1.0
47,Lパチスロ革命機ヴァルヴレイヴ,30,3920.3,100.0,15138,,1.0
48,Lパチスロ革命機ヴァルヴレイヴ,30,5369.5,100.0,19375,,1.0
49,Lパチスロ革命機ヴァルヴレイヴ,27,4067.5,100.0,15625,281,1.0
51,Lパチスロからくりサーカス,23,3796.5,100.0,11334,1847,1.0
52,Lパチスロからくりサーカス,28,2972.0,100.0,9625,812,1.0
53,Lパチスロからくりサーカス,20,3014,100.0,11736,,1.0
54,Lパチスロからくりサーカス,34,3308,100.0,13819,625,1.0
55,,23,3764.9,100.0,11125,3445,1.0
56,,19,2701,100.0,9834,882,1.0
57,,26,4704.5,100.0,14444,14444,1.0
432,,18,3528.6,100.0,9375,,1.0
433,,29,3258.9,100.0,14722,875,1.0
434,,20,2233.5,100.0,9417,,1.0
436,,23,2714.1,100.0,14791,1343,1.0
437,スマスロ新鬼武者3,19,2680.3,100.0,9250,,1.0
439,スマスロ新鬼武者3,25,2143.0,100.0,6344,,1.0
446,,22,2036.6,100.0,9219,,1.0
464,,30,3831.3,100.0,13819,,1.0
465,,19,3057.8,100.0,9584,,1.0
466,,26,2897.3,100.0,10417,3000,1.0
467,,28,3072.7,100.0,14583,2198,1.0
469,,40,3281.2,100.0,15069,,1.0
472,,29,3678.4,100.0,12291,1948,1.0
473,L東京喰種,25,3049.3,100.0,8125,,1.0
474,L東京喰種,22,3934.8,100.0,10542,4250,1.0
