daban,model,日数,平均差枚,プラス率%,最大差枚,最新差枚,スコア
3077,L ToLOVEるダークネス TRANCE ver.8.7,200,1334.0,50.0,18830,,0.583
3165,L ToLOVEるダークネス TRANCE ver.8.7,148,1190.4,52.7,18782,,0.561
3161,L ToLOVEるダークネス TRANCE ver.8.7,200,1117.7,51.5,16421,,0.537
3078,L ToLOVEるダークネス TRANCE ver.8.7,198,856.1,51.0,16420,1905,0.469
2127,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,197,788.4,50.8,12440,,0.451
3155,L ToLOVEるダークネス TRANCE ver.8.7,196,719.1,52.6,17779,,0.443
2105,L戦国乙女４　戦乱に閃く炯眼の軍師,198,760.0,48.5,13092,,0.432
3084,L ToLOVEるダークネス TRANCE ver.8.7,200,736.5,49.5,12177,,0.432
3166,L ToLOVEるダークネス TRANCE ver.8.7,145,670.1,51.0,17057,,0.423
4006,スマスロ 甲鉄城のカバネリ 海門決戦,199,628.5,51.8,11493,,0.416
4077,L東京喰種,199,740.3,46.2,13465,1113,0.416
2001,,197,630.3,51.3,11778,,0.414
2125,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,197,667.7,48.7,11479,,0.411
3163,L ToLOVEるダークネス TRANCE ver.8.7,200,692.1,47.5,18715,15215,0.411
2122,L戦国乙女5 業火を穿つ宿焔の双刃,200,689.5,47.5,18342,5112,0.41
4163,L東京喰種,200,558.2,53.5,10381,4714,0.407
3086,L ToLOVEるダークネス TRANCE ver.8.7,201,637.3,48.8,18834,1001,0.403
2047,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,198,659.3,47.0,13769,408,0.4
2129,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,200,667.3,46.5,10805,,0.399
4169,L東京喰種,199,656.2,46.7,12775,5491,0.398
2124,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,200,588.1,48.0,10099,6492,0.387
2025,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,199,586.0,47.7,12766,,0.385
2058,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,202,645.5,44.1,15906,1114,0.382
3082,L ToLOVEるダークネス TRANCE ver.8.7,200,592.7,46.5,16099,,0.381
4171,L東京喰種,200,583.8,47.0,12193,1119,0.381
3136,,197,431.0,54.3,16097,804,0.379
3157,L ToLOVEるダークネス TRANCE ver.8.7,199,504.6,50.3,14502,,0.377
2044,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,199,538.4,47.7,13501,2801,0.373
4170,L東京喰種,204,539.1,47.5,16006,3112,0.373
2126,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,199,604.1,44.2,12608,,0.372
2174,,200,558.1,46.5,14783,5801,0.372
2026,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,199,547.6,46.7,9902,4505,0.371
3148,,198,497.6,49.0,15605,,0.369
4158,L東京喰種,201,540.5,46.8,13331,5299,0.369
2063,スマスロ ゴッドイーター リザレクション,199,518.6,47.7,12686,1802,0.368
4078,L東京喰種,197,590.4,44.2,12443,,0.368
3088,,201,470.1,49.8,13251,1404,0.366
4080,L東京喰種,204,472.9,48.5,15510,-1493,0.361
