daban,model,日数,平均差枚,プラス率%,最大差枚,最新差枚,スコア
2125,,191,416.4,57.1,4206,-598,0.389
2115,,191,367.6,58.1,6401,1509,0.382
2116,,191,338.2,55.0,4003,2205,0.359
2098,,191,336.7,53.4,3993,2919,0.351
2097,,191,331.5,53.4,4591,907,0.35
2101,,190,368.1,51.6,4984,-1092,0.35
2108,,191,357.6,51.3,5397,509,0.346
2008,,191,321.1,52.4,3800,805,0.342
2094,,191,281.6,52.9,4823,-597,0.335
3046,,191,455.1,44.0,13593,-1096,0.334
2028,,191,314.0,50.3,7104,-797,0.33
2063,,191,336.9,49.2,4915,-797,0.33
2054,,191,320.1,49.7,5397,-1599,0.329
2117,,191,296.9,50.8,4610,404,0.328
2127,,191,252.6,52.9,4417,-695,0.328
2118,,191,283.7,51.3,4420,-599,0.327
2009,,191,219.8,53.9,3927,1007,0.325
2088,,191,284.6,50.3,3803,-999,0.322
2109,,191,283.6,50.3,4102,709,0.322
2012,,191,233.0,52.4,3917,908,0.32
2122,,191,269.6,50.3,5220,-95,0.319
2005,,191,265.3,50.3,4417,-1291,0.318
2055,,191,271.3,49.7,3918,-1194,0.317
2056,,191,324.2,47.1,5692,306,0.317
2100,,191,254.9,50.3,4422,1502,0.315
2060,,191,235.8,50.8,3716,-2108,0.313
2061,,190,258.3,49.5,4594,-898,0.312
2128,,191,272.9,48.7,5109,1705,0.312
2011,,190,264.7,48.9,5607,-94,0.311
2026,,191,296.4,47.1,4003,-590,0.31
2096,,191,251.6,49.2,4006,-695,0.309
2126,,191,264.7,48.2,5528,701,0.307
2129,,191,285.6,47.1,6995,2615,0.307
2102,,191,207.7,50.8,4702,-3106,0.306
2095,,191,300.0,46.1,4801,3195,0.305
2004,,191,237.8,48.7,4807,2721,0.303
2064,,191,259.9,47.1,4913,603,0.301
2119,,191,168.1,51.8,3800,710,0.301
2003,,191,243.8,47.6,3591,608,0.299
3049,,191,391.2,40.3,18825,-996,0.299
2093,,191,188.7,50.3,4806,3510,0.298
2123,,191,204.3,49.2,4421,1310,0.297
2147,,191,244.5,47.1,4302,-791,0.297
3126,,191,412.4,38.7,14030,-97,0.297
2006,,191,229.8,47.6,6021,0,0.296
2052,,191,221.6,48.2,3714,104,0.296
2057,,191,261.4,46.1,3919,705,0.296
2010,,191,143.4,51.8,3302,401,0.295
3117,,191,323.4,42.4,14596,-898,0.293
3108,,191,339.1,41.4,12272,303,0.292
3122,,191,330.0,41.9,15809,-1990,0.292
2103,,191,178.7,49.2,4313,410,0.291
2083,,191,259.1,45.0,4591,1310,0.29
3013,,191,393.5,38.2,17553,8287,0.289
3115,,191,275.2,44.0,12115,-1198,0.289
2124,,191,163.7,49.2,5191,904,0.287
3093,,191,296.3,41.9,8889,2313,0.284
2120,,191,170.6,48.2,4210,1202,0.283
2018,,191,163.1,48.2,4101,-1397,0.282
2085,,191,228.1,45.0,5189,-1495,0.282
3147,,191,432.2,34.6,12769,-598,0.281
2029,,191,165.9,47.6,6405,104,0.28
3002,,191,365.7,37.7,12913,6090,0.28
3107,,191,406.3,35.6,13343,803,0.28
2104,,191,130.1,49.2,4596,1008,0.279
2002,,191,192.4,46.1,4803,1404,0.278
3026,,191,324.9,39.3,16313,-496,0.278
