daban,model,日数,平均差枚,プラス率%,最大差枚,最新差枚,スコア
1287,L ToLOVEるダークネス,204,1360.4,49.0,17581,,0.585
1181,,204,966.5,52.5,16953,,0.504
1031,L戦国乙女5 業火を穿つ宿焔の双刃,201,935.8,51.7,10744,5581,0.493
1273,L ToLOVEるダークネス,203,1010.6,47.8,15906,,0.492
1280,L ToLOVEるダークネス,207,883.7,52.7,16116,465,0.484
1235,L ToLOVEるダークネス,201,974.3,46.8,14697,,0.477
778,L東京喰種,199,903.7,49.7,15255,,0.475
1236,L ToLOVEるダークネス,201,895.3,49.3,14883,,0.47
782,L東京喰種,201,804.5,50.7,12046,5441,0.455
1286,L ToLOVEるダークネス,201,752.9,51.7,14139,1674,0.447
1277,L ToLOVEるダークネス,200,879.7,44.5,18604,9302,0.442
753,,203,763.8,49.8,14000,151,0.44
1278,L ToLOVEるダークネス,203,729.3,50.7,14139,,0.436
1262,L ToLOVEるダークネス,200,756.1,48.5,19069,,0.432
1211,スマスロ 甲鉄城のカバネリ 海門決戦,202,728.1,49.5,13837,,0.43
1032,L戦国乙女5 業火を穿つ宿焔の双刃,203,698.6,50.7,18604,,0.428
603,Lバンドリ！,200,795.8,45.5,19069,2558,0.426
1255,L ToLOVEるダークネス,199,757.9,47.2,14511,,0.426
887,L無職転生～異世界行ったら本気だす～,199,803.6,44.2,18604,,0.422
1002,L戦国乙女5 業火を穿つ宿焔の双刃,201,790.7,44.8,14883,1069,0.422
1006,L戦国乙女5 業火を穿つ宿焔の双刃,201,654.9,51.2,17581,3162,0.42
752,,201,606.4,53.2,14325,930,0.418
1111,,199,704.0,47.7,13023,,0.415
788,L東京喰種,193,591.8,52.3,13953,5581,0.41
1033,L戦国乙女5 業火を穿つ宿焔の双刃,200,691.3,47.5,17906,,0.41
816,スマスロモンキーターンV,202,657.0,49.0,12860,302,0.409
1138,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,202,645.2,49.5,13395,,0.409
1228,L ToLOVEるダークネス,200,757.5,44.0,18000,,0.409
1088,Lソードアート・オンライン,200,675.4,47.5,18000,,0.406
1213,スマスロ 甲鉄城のカバネリ 海門決戦,199,637,49.2,9906,,0.405
1028,L戦国乙女5 業火を穿つ宿焔の双刃,204,622.1,49.0,14697,8255,0.401
1266,L ToLOVEるダークネス,200,693.4,45.5,16534,,0.401
1153,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,201,590.2,50.2,11441,,0.399
1272,L ToLOVEるダークネス,201,692.4,45.3,14000,4255,0.399
1133,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,201,600.7,49.3,11441,,0.396
1270,L ToLOVEるダークネス,207,720.6,43.0,18837,6000,0.395
618,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,200,635.8,47.0,14697,4395,0.394
1038,,200,661.6,45.5,17162,,0.393
653,スマスロ 攻殻機動隊,204,637.9,46.6,18372,,0.392
865,,205,637.7,46.3,15441,,0.391
1125,,200,612.4,47.5,11883,465,0.391
1022,L戦国乙女5 業火を穿つ宿焔の双刃,204,570.8,49.0,14139,,0.388
1161,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,202,582.9,48.5,10883,3767,0.388
1303,Lパチスロ革命機ヴァルヴレイヴ2,204,624.6,46.1,14511,604,0.387
1056,,198,615.4,46.0,18604,,0.384
1222,スマスロ 甲鉄城のカバネリ 海門決戦,201,580.8,47.8,13511,,0.384
1027,L戦国乙女5 業火を穿つ宿焔の双刃,200,576.2,47.5,16953,,0.382
1187,,202,586.3,47.0,18372,906,0.382
783,L東京喰種,201,494.4,51.2,9627,,0.38
605,Lバンドリ！,198,602.5,45.5,15627,,0.378
1267,L ToLOVEるダークネス,201,571.5,46.8,15441,,0.377
621,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,199,578.4,46.2,13023,,0.376
811,L東京喰種,202,574.3,46.5,13674,,0.376
1105,Lソードアート・オンライン,201,536.2,47.8,10186,,0.373
803,L東京喰種,200,462.2,51.0,10186,,0.371
1015,L戦国乙女5 業火を穿つ宿焔の双刃,198,540.1,47.0,13674,,0.37
1162,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,203,575.2,45.3,10744,,0.37
1188,,202,560.2,46.0,15627,,0.37
1155,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,198,485.1,49.5,11302,,0.369
1276,L ToLOVEるダークネス,198,550.9,45.5,18372,,0.365
1282,L ToLOVEるダークネス,202,638.9,41.1,19069,,0.365
1178,,201,590.5,43.3,18000,3906,0.364
1076,Lソードアート・オンライン,203,602.2,42.4,16116,302,0.362
823,スマスロ スーパーリオエース2,203,586.5,42.9,18604,18604,0.361
1238,L ToLOVEるダークネス,201,602.2,41.8,18837,3023,0.36
1023,L戦国乙女5 業火を穿つ宿焔の双刃,203,546.8,43.8,12534,1372,0.356
1167,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,201,466.8,47.8,10000,1372,0.356
1260,L ToLOVEるダークネス,207,588.0,41.5,18604,-559,0.355
837,Lパチスロ炎炎ノ消防隊2,202,457.6,48.0,13186,4813,0.354
1075,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,198,484.7,46.5,10883,,0.354
732,スマスロ やじきた道中記参る！,200,449.4,48.0,9906,,0.352
1053,,201,591.8,40.8,13837,,0.352
1118,,200,539.9,43.5,14883,,0.352
1016,L戦国乙女5 業火を穿つ宿焔の双刃,199,490.3,45.7,13511,,0.351
1115,,201,515.9,44.3,13348,,0.35
787,L東京喰種,203,439.6,47.8,11162,,0.349
1117,,202,454.9,47.0,14697,,0.349
1218,スマスロ 甲鉄城のカバネリ 海門決戦,200,466.9,46.5,12534,2744,0.349
1166,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,201,487.7,45.3,10465,,0.348
807,L東京喰種,199,445.0,47.2,15069,,0.347
862,,200,527.8,43.0,15697,,0.347
867,,200,499.5,44.5,18604,3023,0.347
876,,201,513.2,43.8,12651,,0.347
813,L東京喰種,201,410.5,48.8,15906,6046,0.346
1037,,200,534.4,42.5,18604,,0.346
