daban,model,日数,平均差枚,プラス率%,最大差枚,最新差枚,スコア
2215,,19,2038.4,47.4,12996,5485,0.737
2200,,19,1436.8,63.2,10604,7390,0.675
2165,,19,1740.6,36.8,15682,2008,0.619
2119,ネオアイムジャグラーEX,20,796.5,75.0,3116,607,0.574
2233,,19,1005.2,63.2,5104,2001,0.567
2019,マイジャグラーV,22,962.9,63.6,4402,0,0.559
2171,,19,1284.4,47.4,12921,913,0.558
2174,Lパチスロ革命機ヴァルヴレイヴ2,20,1102.0,55.0,9004,-3693,0.55
2217,,19,1105.6,52.6,12685,1312,0.54
2177,Lパチスロ喰霊-零-Re,19,966.6,57.9,9238,2209,0.531
3058,Lスマスロとある魔術の禁書目録,20,878.0,60.0,4908,-1694,0.52
2137,マイジャグラーV,20,665.8,70.0,4808,-690,0.516
2231,Lパチスロからくりサーカス2,20,1040.7,50.0,9001,9001,0.51
2225,,19,799.5,57.9,8780,4809,0.489
3023,Lパチスロうみねこのなく頃に2,22,667.3,63.6,3695,1302,0.485
3110,,19,884.9,52.6,8225,2816,0.484
2006,ハッピージャグラーＶＩＩＩ,19,764.7,57.9,3316,3316,0.481
2149,マイジャグラーV,20,706.5,60.0,3312,-493,0.477
2026,マイジャグラーV,19,747.2,57.9,4901,3507,0.476
2133,マイジャグラーV,20,696.4,60.0,3119,809,0.474
2152,マイジャグラーV,19,737,57.9,3621,-393,0.474
3051,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,20,761.4,55.0,7304,7304,0.465
3157,沖ドキ！ＧＯＬＤ-30,21,615.3,61.9,4598,1002,0.463
2140,ネオアイムジャグラーEX,21,507.8,66.7,3814,1716,0.46
2008,ネオアイムジャグラーEX,21,649.0,57.1,3614,1102,0.448
2022,マイジャグラーV,22,506.7,63.6,3509,106,0.445
2104,ネオアイムジャグラーEX,21,538.8,61.9,2896,-798,0.444
2161,,19,929.4,42.1,9724,2313,0.443
2180,,19,823.4,47.4,8614,-1199,0.443
2007,ハッピージャグラーＶＩＩＩ,22,488.1,63.6,2603,1706,0.44
2016,マイジャグラーV,22,459.9,63.6,2719,1705,0.433
2096,,19,780.4,47.4,10542,-2993,0.432
3031,パチスロ　ディスクアップ２,21,478.8,61.9,3814,1102,0.429
2236,,19,857.9,42.1,17843,5915,0.425
3041,この素晴らしい世界に祝福を！,21,553.1,57.1,3315,303,0.424
2281,Lパチスロからくりサーカス2,20,872.6,40.0,9292,9292,0.418
2247,L東京喰種,19,712.4,47.4,5213,-3298,0.415
3088,Lラブ嬢3～Wご指名はいかがですか?～,19,784.4,42.1,11922,-1709,0.407
3097,,19,784.1,42.1,15304,-397,0.407
2080,Lバンドリ！,19,569.8,52.6,9296,-4797,0.406
2010,ネオアイムジャグラーEX,21,281.5,66.7,2406,1704,0.404
2088,A-SLOT+異世界かるてっとBT,19,458.3,57.9,3009,401,0.404
2141,マイジャグラーV,19,458.5,57.9,2916,0,0.404
2091,,19,243.2,68.4,2801,804,0.403
2115,ネオアイムジャグラーEX,21,276.8,66.7,1605,-690,0.403
3139,,19,453,57.9,3899,2518,0.403
2042,ミスタージャグラー,21,368.7,61.9,4308,-1391,0.402
2036,ファンキージャグラー２ＫＴ,20,505.2,55.0,4105,4105,0.401
2173,Lパチスロ革命機ヴァルヴレイヴ2,20,800.1,40.0,8393,-1998,0.4
2178,Lパチスロ喰霊-零-Re,19,441.6,57.9,5799,-4792,0.4
2076,スマスロ化物語,21,740.3,42.9,6607,-4198,0.399
2220,,19,642.3,47.4,8621,-2993,0.397
