daban,model,日数,平均差枚,プラス率%,最大差枚,最新差枚,スコア
393,,27,2726.5,100.0,11322,,1.0
395,,29,2613.6,100.0,11020,170,1.0
396,,23,2412.1,100.0,11200,495,1.0
397,,25,2633.3,100.0,13060,,1.0
418,,28,2432.5,100.0,11705,,1.0
419,,21,3021.5,100.0,11996,3307,1.0
422,,27,2286.1,100.0,11202,,1.0
424,,29,2482.2,100.0,11132,,1.0
425,,20,3697.3,100.0,10911,2893,1.0
426,,20,2987.6,100.0,10873,,1.0
427,,22,3633.5,100.0,11824,,1.0
428,,21,4178.1,100.0,13839,,1.0
429,,21,2684.4,100.0,7807,3406,1.0
436,Lパチスロからくりサーカス2,31,4499.3,100.0,18671,,1.0
438,,30,3665.9,100.0,13254,10334,1.0
439,,20,2409.1,100.0,8560,,1.0
441,L東京喰種,29,3980.7,100.0,12368,,1.0
444,L東京喰種,31,3793.6,100.0,13171,,1.0
446,L東京喰種,35,3487.2,100.0,12363,1936,1.0
447,L東京喰種,29,2479.6,100.0,6939,,1.0
448,,28,2315.0,100.0,11203,,1.0
451,,22,2239.6,100.0,9296,,1.0
452,,25,2789.8,100.0,7903,3229,1.0
455,,25,2625,100.0,7724,,1.0
456,,26,2869.4,100.0,7005,,1.0
457,,34,2365.8,100.0,6410,1973,1.0
462,,25,3160,100.0,6990,,1.0
467,Lパチスロ彼女、お借りします,20,2259.1,100.0,8226,,1.0
468,,30,2489.0,100.0,11277,768,1.0
469,,31,2499,100.0,8062,,1.0
472,,20,2896.7,100.0,9414,,1.0
486,,27,5117.4,100.0,14671,6710,1.0
488,,23,5324.1,100.0,14363,6758,1.0
489,,28,3704.1,100.0,10695,,1.0
492,,28,2631,100.0,9666,,1.0
415,,30,1942.8,100.0,8993,,0.986
421,,37,2618.2,97.3,10100,2274,0.986
465,Lパチスロ彼女、お借りします,28,2858.4,96.4,8113,,0.982
417,,26,2544.0,96.2,10207,,0.981
437,Lパチスロからくりサーカス2,25,2689.3,96.0,14672,,0.98
459,,25,3152.2,96.0,10625,3176,0.98
487,,24,3762.0,95.8,11272,,0.979
434,Lパチスロからくりサーカス2,23,3111.1,95.7,9966,,0.978
442,L東京喰種,23,2907.3,95.7,8732,,0.978
474,,23,2147.1,95.7,9538,,0.978
475,L ULTRAMAN 最終決戦,23,3116.4,95.7,14222,74,0.978
409,,21,2921,95.2,11774,,0.976
454,,21,2461.8,95.2,8990,,0.976
394,,20,2010.9,95.0,6051,4670,0.975
499,スマスロモンキーターンV,27,1886.1,100.0,5059,158,0.972
476,L邪神ちゃんドロップキック,30,3042.3,93.3,9604,9604,0.967
453,,26,3880.7,92.3,13075,,0.962
435,Lパチスロからくりサーカス2,25,3021.2,92.0,12523,3481,0.96
458,,25,2453.6,92.0,11341,107,0.96
491,,23,2390.5,91.3,11827,,0.957
423,,25,1824.1,100.0,6359,,0.956
461,,33,2519.3,90.9,11705,,0.955
478,L青春ブタ野郎はバニーガール先輩の夢を見ない,30,1879.3,96.7,12593,,0.953
466,Lパチスロ彼女、お借りします,30,2826.0,90.0,11132,543,0.95
493,,30,1968.4,90.0,6494,,0.942
445,L東京喰種,34,2883.6,88.2,13585,,0.941
399,,32,1815.3,96.9,6851,,0.938
432,Lパチスロからくりサーカス2,34,2436.1,85.3,12060,237,0.926
414,,32,1677.8,100.0,7004,,0.919
398,,31,1729.9,96.8,9110,2700,0.916
416,,35,1716.2,97.1,13510,495,0.915
401,,32,1646.1,100.0,7066,65,0.912
413,,16,2567.9,81.2,6953,,0.906
408,Lスマスロ北斗の拳,17,1947.4,82.4,6358,170,0.899
498,スマスロモンキーターンV,28,1666.6,96.4,8170,,0.899
443,L東京喰種,21,1592.1,100.0,7854,,0.898
407,Lスマスロ北斗の拳,30,1756.2,90.0,16709,826,0.889
501,スマスロモンキーターンV,31,1561.5,96.8,5295,,0.874
431,,25,1970.9,72.0,6402,,0.853
359,マイジャグラーV,28,1384.4,100.0,3641,,0.846
463,Lパチスロ彼女、お借りします,36,1523.2,88.9,6804,2296,0.825
348,マイジャグラーV,25,1351.6,96.0,5848,368,0.818
479,L青春ブタ野郎はバニーガール先輩の夢を見ない,31,1245.4,100.0,4907,2374,0.811
473,スマスロ化物語,29,1182.8,100.0,8952,,0.796
347,マイジャグラーV,30,1162.1,100.0,5333,1106,0.791
412,,31,1483.9,83.9,7659,0,0.79
381,ファンキージャグラー２ＫＴ,27,1157.0,100.0,4909,119,0.789
