日付タイプ,model,延べ台日,平均差枚,勝率%
ゾロ目/0,攻殻機動隊,9,924.0,77.8
ゾロ目/0,マギアレコード 魔法少女まどか☆マギカ外伝,30,1397.0,63.3
ゾロ目/0,ソードアート・オンラインII,18,2053.0,61.1
ゾロ目/0,ヤバチバ,12,321.3,58.3
ゾロ目/0,虚構推理,12,1081.5,58.3
ゾロ目/0,ミリオンゴッド‐神々の軌跡‐,12,1035.0,58.3
ゾロ目/0,L邪神ちゃんドロップキック,25,0.0,56.0
ゾロ目/0,Lパチスロ彼女、お借りします,9,0.0,55.6
ゾロ目/0,ネオアイムジャグラーEX,24,29.9,54.2
ゾロ目/0,スロット ワールドダイスター,32,0.2,53.1
ゾロ目/0,うみねこのなく頃に2,36,269.3,52.8
ゾロ目/0,パチスロ戦国恋姫,84,0.1,52.4
ゾロ目/0,L ULTRAMAN 最終決戦,8,0.0,50.0
ゾロ目/0,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,14,0.1,50.0
ゾロ目/0,翔べ！ハーレムエース,14,0.0,50.0
ゾロ目/0,アズールレーン THE ANIMATION,10,2394.5,50.0
ゾロ目/0,少女☆歌劇 レヴュースタァライト ‐The SLOT‐,30,679.7,50.0
ゾロ目/0,痛いのは嫌なので防御力に極振りしたいと思います。,8,1086.0,50.0
ゾロ目/0,戦国乙女5 業火を穿つ宿焔の双刃,111,569.7,49.5
ゾロ目/0,スマスロ リコリス・リコイル,90,0.0,48.9
ゾロ目/0,L南国育ち SPECIAL,31,109.0,48.4
ゾロ目/0,Lマジカルハロウィン8,21,0.0,47.6
ゾロ目/0,とある魔術の禁書目録2,30,1123.0,46.7
ゾロ目/0,スマスロ タコスロ,9,0.0,44.4
ゾロ目/0,L戦国乙女5 業火を穿つ宿焔の双刃,258,0.0,43.8
ゾロ目/0,モンキーターンV,30,402.0,43.3
ゾロ目/0,ミスタージャグラー,28,-0.1,42.9
ゾロ目/0,L青春ブタ野郎はバニーガール先輩の夢を見ない,54,0.0,42.6
ゾロ目/0,パチスロ　ツインエンジェルＰＡＲＴＹ,12,0.0,41.7
ゾロ目/0,A-SLOT+異世界かるてっとBT,39,-0.2,41.0
