日付タイプ,model,延べ台日,平均差枚,勝率%
ゾロ目/0,パチスロ頭文字Ｄ,10,1649.6,80.0
ゾロ目/0,この素晴らしい世界に祝福を！,34,640.6,67.6
ゾロ目/0,ウルトラミラクルジャグラー,36,429.6,61.1
ゾロ目/0,パチスロ　甲鉄城のカバネリ,38,383.7,50.0
ゾロ目/0,L戦国乙女４　戦乱に閃く炯眼の軍師,24,721.5,50.0
ゾロ目/0,スマスロ やじきた道中記参る！,21,89.4,47.6
ゾロ目/0,Lパチスロ革命機ヴァルヴレイヴ,91,1203.4,47.3
ゾロ目/0,スマスロ ミリオンゴッド-神々の軌跡-,36,751.2,47.2
ゾロ目/0,L東京喰種,84,663.2,45.2
ゾロ目/0,いざ！番長,9,444.7,44.4
ゾロ目/0,スマスロ ストリートファイター6,14,-427.9,42.9
ゾロ目/0,スマスロ とある魔術の禁書目録2,21,237.9,42.9
ゾロ目/0,Lパチスロからくりサーカス2,67,683.8,41.8
ゾロ目/0,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,48,227.2,41.7
ゾロ目/0,真打 吉宗,24,198.1,41.7
ゾロ目/0,スマスロ 甲鉄城のカバネリ 海門決戦,84,102.1,40.5
ゾロ目/0,ゴーゴージャグラー３,84,177.1,40.5
ゾロ目/0,ファンキージャグラー２ＫＴ,60,125.1,40.0
ゾロ目/0,L戦国乙女5 業火を穿つ宿焔の双刃,48,488.8,39.6
ゾロ目/0,スマスロ 攻殻機動隊,36,274.0,38.9
ゾロ目/0,回胴式遊技機グランベルム,36,-88.9,38.9
ゾロ目/0,Lソードアート・オンライン,24,-269.7,37.5
ゾロ目/0,マイジャグラーV,132,-159.5,37.1
ゾロ目/0,Lゴジラ対エヴァンゲリオン,19,505.6,36.8
ゾロ目/0,スマスロ モンスターハンターライズ,41,-32.9,36.6
ゾロ目/0,スマスロ 東京リベンジャーズ,36,1141.8,36.1
ゾロ目/0,Lパチスロ炎炎ノ消防隊2,36,-92.8,36.1
ゾロ目/0,スロット ソードアート・オンラインⅡ,36,-733.4,36.1
ゾロ目/0,スマスロ化物語,43,79.9,34.9
ゾロ目/0,Lパチスロからくりサーカス,55,-61.6,34.5
ゾロ目/0,スマスロモンキーターンV,55,219.8,34.5
ゾロ目/0,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,15,-100.8,33.3
ゾロ目/0,L真・一騎当千,30,41.4,30.0
ゾロ目/0,ヤバチバ,30,-734.1,30.0
ゾロ目/0,スマスロ リコリス・リコイル,10,-823.5,30.0
ゾロ目/0,スマスロ新鬼武者3,41,-522.2,29.3
ゾロ目/0,Lパチスロ革命機ヴァルヴレイヴ2,120,-719.9,29.2
