日付タイプ,model,延べ台日,平均差枚,勝率%
ゾロ目/0,スロット ワールドダイスター,8,446.5,62.5
ゾロ目/0,沖ドキ！ＧＯＬＤ,21,147.7,52.4
ゾロ目/0,マイジャグラーV,768,286.6,50.4
ゾロ目/0,A-SLOT+ ディスクアップ ULTRAREMIX,24,540.5,50.0
ゾロ目/0,アレックス ブライト,24,195.0,50.0
ゾロ目/0,スマスロ ストリートファイター6,16,640.0,50.0
ゾロ目/0,スマスロ 甲鉄城のカバネリ 海門決戦,224,595.8,47.8
ゾロ目/0,沖ドキ！BLACK,64,-386.8,46.9
ゾロ目/0,Lパチスロからくりサーカス2,82,115.2,46.3
ゾロ目/0,ファンキージャグラー２ＫＴ,126,101.7,46.0
ゾロ目/0,Lアズールレーン THE ANIMATION,44,268.5,45.5
ゾロ目/0,ネオアイムジャグラーEX,416,161.3,43.8
ゾロ目/0,L ToLOVEるダークネス TRANCE ver.8.7,48,613.6,43.8
ゾロ目/0,沖ドキ！ＧＯＬＤ-30,256,-394.1,43.0
ゾロ目/0,Lパチスロからくりサーカス,21,328.6,42.9
ゾロ目/0,Lスマスロ北斗の拳,100,208.7,42.0
ゾロ目/0,Lパチスロうみねこのなく頃に2,24,-95.6,41.7
ゾロ目/0,ニューキングハナハナV‐30,48,-40.7,41.7
ゾロ目/0,スマスロ ゴッドイーター リザレクション,48,699.9,41.7
ゾロ目/0,キングハナハナ-30,160,47.9,40.0
ゾロ目/0,スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,58,382.1,39.7
ゾロ目/0,スロット ソードアート・オンラインⅡ,104,-278.6,39.4
ゾロ目/0,ゴーゴージャグラー３,224,4.9,38.8
ゾロ目/0,L戦国乙女5 業火を穿つ宿焔の双刃,112,-195.9,38.4
ゾロ目/0,スマスロ ハナビ,55,-102.0,38.2
ゾロ目/0,スマスロモンキーターンV,122,133.4,37.7
ゾロ目/0,スマスロ 攻殻機動隊,64,243.5,35.9
ゾロ目/0,沖ドキ!ゴージャス 30Φ,112,-390.1,35.7
ゾロ目/0,L東京喰種,279,51.6,35.5
ゾロ目/0,スマスロ とある魔術の禁書目録2,20,-474.8,35.0
ゾロ目/0,スマスロ北斗の拳 転生の章2,201,-135.2,34.8
ゾロ目/0,ハッピージャグラーＶＩＩＩ,66,69.6,34.8
ゾロ目/0,スマスロ化物語,75,531.8,34.7
ゾロ目/0,スマスロ 沖ドキ!DUO アンコール,58,-284.6,34.5
ゾロ目/0,スマスロ 東京リベンジャーズ,48,18.9,33.3
ゾロ目/0,チバリヨ2,48,-52.8,33.3
ゾロ目/0,ヤバチバ,27,-436.4,33.3
ゾロ目/0,ジャグラーガールズSS,80,-249.9,32.5
ゾロ目/0,スマスロ ビッグドリーム THE GOLDEN PUSHER,31,-531.1,32.3
ゾロ目/0,スマート沖スロ ニューキングハナハナV,78,-199.3,32.1
ゾロ目/0,真打 吉宗,96,-383.1,31.2
ゾロ目/0,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,96,-91.6,31.2
ゾロ目/0,スマスロ モンスターハンターライズ,48,-246.2,31.2
ゾロ目/0,ミスタージャグラー,48,-201.2,31.2
ゾロ目/0,Lパチスロ炎炎ノ消防隊2,96,-43.9,31.2
ゾロ目/0,スマスロBIRDIE WING-Golf Girls’ Story-,16,-155.4,31.2
ゾロ目/0,スマスロ スーパーリオエース2,62,64.4,30.6
ゾロ目/0,Lソードアート・オンライン,10,-346.5,30.0
ゾロ目/0,ローティス,10,-874.8,30.0
ゾロ目/0,戦国コレクション6,27,-773.6,29.6
ゾロ目/0,ウルトラミラクルジャグラー,64,-196.9,28.1
ゾロ目/0,スマスロ ミリオンゴッド-神々の軌跡-,160,-489.8,28.1
ゾロ目/0,Lパチスロ革命機ヴァルヴレイヴ2,55,-535.0,27.3
ゾロ目/0,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,22,-386.3,27.3
ゾロ目/0,いざ！番長,48,306.4,27.1
ゾロ目/0,L戦国乙女４　戦乱に閃く炯眼の軍師,58,87.4,25.9
ゾロ目/0,L南国育ち SPECIAL,27,-533.7,25.9
ゾロ目/0,スマスロ鉄拳6,8,883.5,25.0
ゾロ目/0,L主役は銭形5,36,115.2,25.0
ゾロ目/0,スマスロ バイオハザードRE:3,60,-239.9,25.0
ゾロ目/0,スマスロ スーパーブラックジャック,32,55.6,25.0
ゾロ目/0,スマスロ やじきた道中記参る！,16,-87.0,25.0
ゾロ目/0,L聖闘士星矢 海皇覚醒 CUSTOM EDITION,48,-485.2,22.9
ゾロ目/0,スマスロヨルムンガンド,14,567.3,21.4
ゾロ目/0,スマスロ シャーマンキング,20,-614.1,20.0
ゾロ目/0,Lラブ嬢3～Wご指名はいかがですか?～,32,-630.9,18.8
