日付タイプ,model,延べ台日,平均差枚,勝率%
ゾロ目/0,L南国育ち SPECIAL,10,2597.4,60.0
ゾロ目/0,スマスロ スーパーブラックジャック,238,546.4,50.8
ゾロ目/0,スマスロ スーパーリオエース2,210,659.6,48.1
ゾロ目/0,ネオアイムジャグラーEX,25,256.0,48.0
ゾロ目/0,L東京喰種,391,302.4,45.8
ゾロ目/0,スマスロ 攻殻機動隊,96,548.3,45.8
ゾロ目/0,L無職転生～異世界行ったら本気だす～,119,719.6,45.4
ゾロ目/0,L戦国乙女5 業火を穿つ宿焔の双刃,435,220.7,45.3
ゾロ目/0,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,40,211.3,45.0
ゾロ目/0,スマスロ 甲鉄城のカバネリ 海門決戦,251,136.9,45.0
ゾロ目/0,スマスロ シャーマンキング,34,1357.2,44.1
ゾロ目/0,L ToLOVEるダークネス,714,475.5,44.1
ゾロ目/0,Lソードアート・オンライン,272,198.8,43.8
ゾロ目/0,スマスロ とある魔術の禁書目録2,85,29.6,43.5
ゾロ目/0,マイジャグラーV,145,-108.9,43.4
ゾロ目/0,Lパチスロ革命機ヴァルヴレイヴ2,231,153.5,43.3
ゾロ目/0,L邪神ちゃんドロップキック,30,561.4,43.3
ゾロ目/0,スマスロ とんでもスキルで異世界放浪メシ,30,715.0,43.3
ゾロ目/0,Lパチスロうみねこのなく頃に2,58,-28.6,43.1
ゾロ目/0,L少女☆歌劇 レヴュースタァライト -The SLOT-,106,395.5,42.5
ゾロ目/0,スマスロモンキーターンV,104,302.2,42.3
ゾロ目/0,真打 吉宗,130,61.9,42.3
ゾロ目/0,スマスロ化物語,289,461.6,42.2
ゾロ目/0,Lパチスロガールズ＆パンツァー 最終章,119,141.7,42.0
ゾロ目/0,スマスロ ミリオンゴッド-神々の軌跡-,150,893.3,42.0
ゾロ目/0,Lアズールレーン THE ANIMATION,136,453.9,41.2
ゾロ目/0,回胴式遊技機グランベルム,34,-37.5,41.2
ゾロ目/0,Lバンドリ！,170,194.1,40.6
ゾロ目/0,L虚構推理,109,81.7,40.4
ゾロ目/0,スロット ゾンビランドサガ,102,-144.4,40.2
ゾロ目/0,スマスロ やじきた道中記参る！,10,99.6,40.0
ゾロ目/0,スマスロ ストリートファイター6,10,-544.8,40.0
ゾロ目/0,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,731,107.2,39.8
ゾロ目/0,スロット ソードアート・オンラインⅡ,265,-191.7,39.6
ゾロ目/0,スマスロBIRDIE WING-Golf Girls’ Story-,18,245.0,38.9
ゾロ目/0,スマスロ ゴッドイーター リザレクション,8,66.5,37.5
ゾロ目/0,Lパチスロ炎炎ノ消防隊2,208,-73.3,36.1
ゾロ目/0,スマスロ 七つの魔剣が支配する,34,333.9,35.3
ゾロ目/0,スロット ワールドダイスター,20,-283.0,35.0
ゾロ目/0,スマスロとある科学の超電磁砲2,84,-174.6,33.3
ゾロ目/0,L戦国乙女４　戦乱に閃く炯眼の軍師,63,-104.5,33.3
ゾロ目/0,戦国コレクション6,100,-211.4,33.0
ゾロ目/0,アニマルスロット ドッチ,34,146.5,32.4
ゾロ目/0,スマスロ バイオハザードRE:3,60,-173.8,31.7
ゾロ目/0,スマスロヨルムンガンド,16,-30.0,31.2
ゾロ目/0,Lタクトオーパス デスティニー,34,97.2,29.4
ゾロ目/0,Lパチスロ かぐや様は告らせたい,37,-612.7,27.0
曜:土,スマスロBIRDIE WING-Golf Girls’ Story-,14,1675.7,71.4
曜:土,スマスロ やじきた道中記参る！,8,3043.2,62.5
曜:土,ネオアイムジャグラーEX,25,813.6,60.0
曜:土,スロット ゾンビランドサガ,90,297.1,52.2
曜:土,L東京喰種,345,484.2,51.0
