日付タイプ,model,延べ台日,平均差枚,勝率%
ゾロ目/0,プリズムナナ,42,1426.2,54.8
ゾロ目/0,マジカルハロウィン　～Trick or Treat!～,67,313.1,52.2
ゾロ目/0,マイジャグラーV,1419,288.6,51.0
ゾロ目/0,Lパチスロうみねこのなく頃に2,62,339.5,50.0
ゾロ目/0,交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,66,324.8,50.0
ゾロ目/0,スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,257,1126.5,49.4
ゾロ目/0,スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,150,808.5,47.3
ゾロ目/0,A-SLOT+ ディスクアップ ULTRAREMIX,98,370.2,46.9
ゾロ目/0,沖ドキ！ＧＯＬＤ-30,297,-62.4,46.8
ゾロ目/0,ミスタージャグラー,99,88.6,46.5
ゾロ目/0,スマスロ ビッグドリーム THE GOLDEN PUSHER,54,179.9,46.3
ゾロ目/0,A-SLOT+異世界かるてっとBT,50,187.6,46.0
ゾロ目/0,バーサスリヴァイズ,99,264.1,45.5
ゾロ目/0,L東京喰種,499,270.5,45.3
ゾロ目/0,スマスロ サンダーV,64,97.1,45.3
ゾロ目/0,クレアの秘宝伝～はじまりの扉と太陽の石～ボーナストリガーver.,20,311.5,45.0
ゾロ目/0,スマスロBIRDIE WING-Golf Girls’ Story-,20,-211.7,45.0
ゾロ目/0,Lソードアート・オンライン,134,524.3,44.0
ゾロ目/0,この素晴らしい世界に祝福を！,98,232.9,43.9
ゾロ目/0,L戦国乙女5 業火を穿つ宿焔の双刃,146,174.9,43.8
ゾロ目/0,ジャグラーガールズSS,165,184.0,43.6
ゾロ目/0,ファンキージャグラー２ＫＴ,165,106.8,43.0
ゾロ目/0,スロット ソードアート・オンラインⅡ,166,72.3,42.8
ゾロ目/0,スマスロ 甲鉄城のカバネリ 海門決戦,482,54.8,42.1
ゾロ目/0,ハッピージャグラーＶＩＩＩ,231,61.8,42.0
ゾロ目/0,スマスロ スーパーブラックジャック,93,715.0,41.9
ゾロ目/0,ネオアイムジャグラーEX,1089,70.7,41.9
ゾロ目/0,パチスロ　甲鉄城のカバネリ,67,255.6,41.8
ゾロ目/0,パチスロ　ディスクアップ２,158,57.0,41.8
ゾロ目/0,L ToLOVEるダークネス,12,187.7,41.7
ゾロ目/0,戦国コレクション6,36,597.6,41.7
ゾロ目/0,アレックス ブライト,121,66.8,41.3
ゾロ目/0,沖ドキ!ゴージャス 30Φ,99,-330.8,40.4
ゾロ目/0,ゴーゴージャグラー３,330,115.5,40.3
ゾロ目/0,L主役は銭形5,35,450.1,40.0
ゾロ目/0,L ＨＥＹ！エリートサラリーマン鏡,50,3.4,40.0
ゾロ目/0,スマスロ とある魔術の禁書目録2,35,-232.9,40.0
ゾロ目/0,Lパチスロ喰霊-零-Re,15,-556.0,40.0
ゾロ目/0,Lパチスロ革命機ヴァルヴレイヴ2,184,134.8,39.1
ゾロ目/0,L戦国乙女４　戦乱に閃く炯眼の軍師,133,357.3,39.1
ゾロ目/0,クランキークレスト,52,50.0,38.5
ゾロ目/0,ウルトラミラクルジャグラー,99,129.9,38.4
