日付タイプ,model,延べ台日,平均差枚,勝率%
ゾロ目/0,ウルトラミラクルジャグラー,56,201.1,51.8
ゾロ目/0,ジャグラーガールズSS,56,-13.6,46.4
ゾロ目/0,スマスロBIRDIE WING-Golf Girls’ Story-,20,40.1,45.0
ゾロ目/0,戦国コレクション6,20,-163.3,45.0
ゾロ目/0,Lパチスロ彼女、お借りします,20,-119.8,45.0
ゾロ目/0,L東京喰種,108,619.4,44.4
ゾロ目/0,スマスロ とある魔術の禁書目録2,45,-123.4,40.0
ゾロ目/0,ファンキージャグラー２ＫＴ,112,-160.4,39.3
ゾロ目/0,スマスロ 甲鉄城のカバネリ 海門決戦,90,-17.1,38.9
ゾロ目/0,ネオアイムジャグラーEX,70,-44.6,38.6
ゾロ目/0,スロット ソードアート・オンラインⅡ,70,-284.3,37.1
ゾロ目/0,マイジャグラーV,224,-202.8,36.2
ゾロ目/0,ミスタージャグラー,56,-11.1,35.7
ゾロ目/0,スマスロケロット5BT,20,-88.8,35.0
ゾロ目/0,スマスロ ハナビ,52,-42.3,34.6
ゾロ目/0,Lパチスロ炎炎ノ消防隊2,47,-49.0,34.0
ゾロ目/0,スマスロ北斗の拳 転生の章2,160,-122.6,33.8
ゾロ目/0,L戦国乙女5 業火を穿つ宿焔の双刃,84,-328.9,33.3
ゾロ目/0,スマスロ 攻殻機動隊,15,-490.6,33.3
ゾロ目/0,スマスロ ストリートファイター6,36,-307.4,33.3
ゾロ目/0,Lパチスロからくりサーカス2,84,-390.9,32.1
ゾロ目/0,スマスロ リコリス・リコイル,32,0.0,31.2
ゾロ目/0,Lスマスロ北斗の拳,84,-349.5,31.0
ゾロ目/0,ハッピージャグラーＶＩＩＩ,42,-294.9,31.0
ゾロ目/0,スマスロ化物語,20,-368.2,30.0
ゾロ目/0,スマスロ やじきた道中記参る！,27,-1007.0,29.6
ゾロ目/0,スロット ワールドダイスター,18,-1133.0,27.8
ゾロ目/0,ゴーゴージャグラー３,84,-158.6,27.4
ゾロ目/0,スマスロモンキーターンV,70,-148.6,27.1
ゾロ目/0,スマスロ スーパーリオエース2,42,-235.6,26.2
ゾロ目/0,いざ！番長,42,-384.9,26.2
ゾロ目/0,スマスロ サンダーV,28,-330.6,25.0
ゾロ目/0,L青春ブタ野郎はバニーガール先輩の夢を見ない,8,-1444.5,25.0
ゾロ目/0,スマスロ ミリオンゴッド-神々の軌跡-,88,-572.0,23.9
