model,設置台数,延べ台日,日数,平均差枚,勝率%,勝,全,平均出率
無職転生 ～異世界行ったら本気だす～,2,20,10,2521.9,60.0,12,20,
ゾンビランドサガ,2,16,8,2442.1,81.2,13,16,
青春ブタ野郎はバニーガール先輩の夢を見ない,18,18,1,2048.0,72.2,13,18,
グランベルム,2,10,5,2019.8,70.0,7,10,
ダークハイビ,2,10,5,2008.4,60.0,6,10,
彼女、お借りします,3,6,2,1971.5,66.7,4,6,
劇場版 魔法少女まどか☆マギカ[前編]始まりの物語/[後編]永遠の物語,2,6,3,1639.7,66.7,4,6,
ULTRAMAN 最終決戦,2,14,7,1586.0,57.1,8,14,
ワールドダイスター,8,96,12,1498.2,61.5,59,96,
アズールレーン THE ANIMATION,4,19,4,1489.1,42.1,8,19,
革命機ヴァルヴレイヴ2,5,55,11,1447.4,47.3,26,55,
ドッチ,3,24,8,1441.1,75.0,18,24,
痛いのは嫌なので防御力に極振りしたいと思います。,4,28,7,1407.7,67.9,19,28,
タクトオーパス デスティニー,5,50,10,1243.8,52.0,26,50,
ガールズ&パンツァー 最終章,3,24,8,1225.9,79.2,19,24,
ディスクアップ ULTRAREMIX,2,18,9,1212.7,72.2,13,18,
D4DJ Pachi‐Slot Mix,2,8,4,1191.2,87.5,7,8,
BIRDIE WING ‐Golf Girls' Story‐,3,12,4,1099.0,83.3,10,12,
邪神ちゃんドロップキック,6,94,15,1063.9,43.6,41,94,
ケロット5,2,10,5,1032.0,70.0,7,10,
とんでもスキルで異世界放浪メシ,3,12,4,1008.8,41.7,5,12,
A‐SLOT+ この素晴らしい世界に祝福を！,2,12,6,1008.0,58.3,7,12,
タコスロ,3,6,2,990.0,50.0,3,6,
交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE‐ART,2,10,5,986.0,70.0,7,10,
攻殻機動隊,9,63,7,979.1,47.6,30,63,
マジカルハロウィン8,3,6,2,968.0,66.7,4,6,
やじきた道中記参る！,7,63,9,965.6,46.0,29,63,
ToLOVEるダークネス TRANCE ver.8.7,9,117,13,930.3,45.3,53,117,
喰霊‐零‐Re,7,42,6,926.8,59.5,25,42,
ストリートファイター6,7,77,11,917.4,50.6,39,77,
ソードアート・オンラインII,18,252,14,909.6,44.0,111,252,
クレアの秘宝伝 ～はじまりの扉と太陽の石～ ボーナストリガーver.,2,4,2,838.5,75.0,3,4,
スマスロ炎炎ノ消防隊2,6,63,10,826.7,49.2,31,63,
ひぐらしのなく頃に 業,5,20,4,819.5,60.0,12,20,
ゴーゴージャグラー3,2,8,4,813.5,75.0,6,8,
ソードアート・オンライン,5,35,7,793.4,57.1,20,35,
虚構推理,6,54,9,767.0,48.1,26,54,
とある魔術の禁書目録2,15,255,17,734.6,47.8,122,255,
見える子ちゃん,2,2,1,724.0,50.0,1,2,
バンドリ！,12,144,12,718.8,42.4,61,144,
ラブ嬢3～Wご指名はいかがですか?～,3,9,3,697.7,33.3,3,9,
ミリオンゴッド‐神々の軌跡‐,12,96,8,682.0,40.6,39,96,
化物語,5,86,10,655.0,37.2,32,86,
からくりサーカス2,9,234,16,653.7,37.2,87,234,
少女☆歌劇 レヴュースタァライト ‐The SLOT‐,10,110,11,630.8,42.7,47,110,
戦国乙女4 戦乱に閃く炯眼の軍師,5,25,5,611.2,44.0,11,25,
A‐SLOT+ 異世界かるてっと,6,42,7,607.0,61.9,26,42,
スーパーリオエース2,9,81,9,600.1,38.3,31,81,
ヤバチバ,2,82,41,583.4,40.2,33,82,100.0
ツインエンジェルPARTY,3,9,3,583.3,55.6,5,9,
戦国乙女5 業火を穿つ宿焔の双刃,37,666,18,555.8,44.3,295,666,
東京喰種,15,195,13,493.5,42.1,82,195,
戦国†恋姫,12,192,16,475.0,51.6,99,192,
モンキーターンV,10,150,15,466.8,46.0,69,150,
甲鉄城のカバネリ 海門(うなと)決戦,21,441,15,446.0,42.4,187,441,
マギアレコード 魔法少女まどか☆マギカ外伝,30,510,17,444.1,41.6,212,510,
うみねこのなく頃に2,12,228,19,423.4,50.4,115,228,
リコリス・リコイル,30,30,1,185.0,43.3,13,30,
プリズムナナ,7,371,52,177.4,35.8,133,371,100.0
真打 吉宗,4,258,48,163.1,35.3,91,258,100.0
翔べ！ハーレムエース,2,88,44,126.8,42.0,37,88,100.0
アレックス ブライト,3,237,51,125.4,39.7,94,237,100.0
戦国コレクション6,14,794,54,122.7,40.2,319,794,100.0
この素晴らしい世界に祝福を！,3,138,46,113.9,34.1,47,138,100.0
ウルトラミラクルジャグラー,3,141,47,111.8,36.9,52,141,100.0
SHAKE BONUS TRIGGER,5,262,48,109.1,46.2,121,262,100.0
スマスロ ハナビ,5,235,47,92.0,39.1,92,235,100.0
L南国育ち SPECIAL,2,185,43,71.5,37.8,70,185,100.0
スマスロ サンダーV,5,220,44,48.1,37.3,82,220,100.0
スマート沖スロ ニューキングハナハナV,2,86,43,45.9,32.6,28,86,100.0
ミスタージャグラー,4,176,44,39.4,41.5,73,176,100.0
マイジャグラーV,12,576,48,35.1,34.2,197,576,100.0
ネオアイムジャグラーEX,3,126,42,16.1,38.9,49,126,100.0
Lパチスロうみねこのなく頃に2,12,480,40,0.1,49.4,237,480,100.0
L青春ブタ野郎はバニーガール先輩の夢を見ない,18,162,9,0.1,42.6,69,162,100.0
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,30,1200,40,-0.1,30.8,369,1200,100.0
スロット ソードアート・オンラインⅡ,18,720,40,-0.1,36.2,261,720,100.0
パチスロ戦国恋姫,12,480,40,-0.1,45.8,220,480,100.0
Lひぐらしのなく頃に業,5,200,40,-0.1,34.5,69,200,100.0
Lパチスロガールズ＆パンツァー 最終章,3,120,40,-0.1,31.7,38,120,100.0
