model,設置台数,延べ台日,日数,平均差枚,勝率%,勝,全,平均出率
Lバンドリ！,3,39,13,565.5,46.2,18,39,101.6
Lパチスロ革命機ヴァルヴレイヴ,8,541,71,544.8,40.7,220,541,102.5
Lゴジラ対エヴァンゲリオン,2,109,41,391.0,36.7,40,109,102.5
パチスロ　甲鉄城のカバネリ,4,223,71,338.8,44.4,99,223,101.4
ウルトラミラクルジャグラー,3,213,71,192.2,47.4,101,213,99.9
Lパチスロからくりサーカス,5,328,71,174.3,34.5,113,328,99.5
真打 吉宗,2,142,71,158.3,45.8,65,142,99.4
この素晴らしい世界に祝福を！,2,203,71,156.2,45.8,93,203,100.0
スマスロモンキーターンV,5,328,71,148.2,39.0,128,328,99.2
L東京喰種,7,497,71,143.4,38.4,191,497,99.1
Lパチスロからくりサーカス2,6,399,71,116.0,39.1,156,399,100.8
スマスロ 東京リベンジャーズ,3,213,71,99.6,29.6,63,213,98.0
ゴーゴージャグラー３,7,497,71,91.8,41.4,206,497,100.1
パチスロ頭文字Ｄ,2,54,27,82.9,40.7,22,54,94.4
スマスロ北斗の拳 転生の章2,3,301,71,76.8,32.6,98,301,99.2
回胴式遊技機グランベルム,3,213,71,74.1,38.5,82,213,96.5
スマスロ化物語,4,257,71,73.1,32.7,84,257,96.8
スマスロ ゴッドイーター リザレクション,4,284,71,61.9,33.1,94,284,99.0
スマスロ モンスターハンターライズ,3,240,71,52.0,38.3,92,240,98.8
ファンキージャグラー２ＫＴ,5,355,71,38.2,37.7,134,355,99.1
スマスロ 甲鉄城のカバネリ 海門決戦,7,497,71,27.5,42.3,210,497,99.6
スマスロ新鬼武者3,3,240,71,24.1,34.2,82,240,97.9
Lスマスロ北斗の拳,3,42,14,22.4,47.6,20,42,98.1
L戦国乙女5 業火を穿つ宿焔の双刃,4,284,71,-34.1,39.1,111,284,98.0
マイジャグラーV,11,781,71,-41.2,37.6,294,781,98.5
いざ！番長,3,42,14,-63.6,33.3,14,42,93.8
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,4,284,71,-86.7,32.7,93,284,98.1
スマスロ 攻殻機動隊,3,213,71,-98.4,35.7,76,213,97.9
L真・一騎当千,3,183,61,-101.7,38.3,70,183,96.6
Lパチスロ炎炎ノ消防隊2,3,213,71,-119.1,36.6,78,213,96.5
Lパチスロ彼女、お借りします,3,30,10,-141.9,33.3,10,30,98.0
スマスロ リコリス・リコイル,5,50,10,-149.7,42.0,21,50,99.0
Lパチスロ革命機ヴァルヴレイヴ2,10,710,71,-151.1,33.7,239,710,97.8
Lソードアート・オンライン,2,142,71,-158.6,33.1,47,142,95.3
L戦国乙女４　戦乱に閃く炯眼の軍師,2,142,71,-161.2,30.3,43,142,95.5
忍魂参～奥義皆伝ノ章～,3,81,27,-167.3,24.7,20,81,92.9
交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,3,81,27,-169.9,37.0,30,81,95.4
スマスロ バイオハザードRE:3,3,210,61,-210.3,27.1,57,210,92.5
スマスロ とある魔術の禁書目録2,3,132,44,-218.1,37.1,49,132,97.7
Lパチスロ かぐや様は告らせたい,3,240,71,-266.9,28.8,69,240,94.0
スマスロ やじきた道中記参る！,3,132,44,-341.1,37.1,49,132,95.3
スマスロ ミリオンゴッド-神々の軌跡-,3,213,71,-357.4,32.4,69,213,95.1
L無職転生～異世界行ったら本気だす～,2,114,57,-390.7,29.8,34,114,94.0
ヤバチバ,3,183,61,-450.8,30.6,56,183,90.3
スマスロ ストリートファイター6,2,88,44,-545.7,34.1,30,88,93.6
スマスロ ビッグドリーム THE GOLDEN PUSHER,2,60,30,-655.3,8.3,5,60,79.5
スロット ワールドダイスター,2,88,44,-760.5,28.4,25,88,93.3
モグモグ風林火山 大海戦の巻,3,30,10,-1064.0,36.7,11,30,91.4
スロット ソードアート・オンラインⅡ,3,213,71,-1087.8,32.4,69,213,94.3
L青春ブタ野郎はバニーガール先輩の夢を見ない,2,20,10,-1678.7,20.0,4,20,89.7
