model,設置台数,延べ台日,日数,平均差枚,勝率%,勝,全,平均出率
スマスロ 沖ドキ!DUO アンコール,3,6,2,2293.5,50.0,3,6,125.9
スマスロ頭文字D 2nd,2,80,33,613.5,50.0,40,80,103.7
アレックス ブライト,2,16,8,468.1,62.5,10,16,102.1
Lパチスロ マクロスフロンティア4,3,147,49,380.1,40.1,59,147,101.1
スマスロ コードギアス 反逆のルルーシュ 復活のルルーシュ,3,126,42,359.3,34.1,43,126,100.5
Lパチスロ戦姫絶唱シンフォギア 正義の歌,2,266,77,357.1,39.5,105,266,100.1
L ToLOVEるダークネス TRANCE ver.8.7,30,6478,216,340.3,43.6,2826,6478,101.8
L ToLOVEるダークネス,6,342,57,337.3,41.5,142,342,102.0
いざ！番長,2,134,67,278.4,32.8,44,134,99.0
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,50,10635,216,265.3,42.4,4510,10635,102.2
忍魂参～奥義皆伝ノ章～,3,78,26,255.4,38.5,30,78,100.2
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,3,972,216,249.1,42.5,413,972,101.0
L東京喰種,28,5755,216,248.3,43.5,2505,5755,101.2
L戦国乙女４　戦乱に閃く炯眼の軍師,3,4346,216,208.1,36.7,1594,4346,101.6
Lソードアート・オンライン,5,2899,216,205.5,41.8,1211,2899,101.2
Lバンドリ！,8,1990,216,188.6,39.1,779,1990,101.2
Lパチスロガールズ＆パンツァー 最終章,3,1134,216,185.8,40.4,458,1134,100.8
Lアズールレーン THE ANIMATION,3,1805,216,185.6,35.6,642,1805,99.9
スマスロとある科学の超電磁砲2,3,995,197,182.2,38.0,378,995,99.9
スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,2,101,40,175.8,31.7,32,101,98.9
スマスロ化物語,4,4607,216,162.7,38.8,1788,4607,100.3
パチスロひぐらしのなく頃に祭２,2,324,85,158.0,46.6,151,324,101.2
スマスロモンキーターンV,11,2547,216,154.0,38.0,968,2547,101.4
パチスロ　甲鉄城のカバネリ,2,396,106,140.1,43.7,173,396,100.0
Lスマスロとある魔術の禁書目録,4,864,216,139.1,39.5,341,864,99.9
パチスロ　マクロスデルタ,2,432,216,134.9,47.2,204,432,99.8
パチスロ　戦姫絶唱シンフォギア　勇気の歌,2,432,216,134.4,43.8,189,432,99.4
パチスロ戦国恋姫,3,847,216,125.0,45.5,385,847,100.4
スマスロ 攻殻機動隊,4,1363,216,123.5,38.1,519,1363,100.8
ジャグラーガールズSS,4,864,216,115.2,46.1,398,864,100.3
Lダーリン・イン・ザ・フランキス,2,86,43,109.3,43.0,37,86,102.6
スマスロ サンダーV,2,416,208,99.2,47.6,198,416,100.3
ゴーゴージャグラー３,6,1296,216,99.1,46.1,598,1296,100.4
L戦国乙女5 業火を穿つ宿焔の双刃,32,3450,110,95.8,44.4,1533,3450,100.4
L少女☆歌劇 レヴュースタァライト -The SLOT-,3,1198,216,93.1,36.9,442,1198,99.2
ファンキージャグラー２ＫＴ,9,2073,216,84.7,45.2,938,2073,100.3
スマスロ ゴッドイーター リザレクション,3,961,197,84.5,36.1,347,961,100.7
スマスロ 甲鉄城のカバネリ 海門決戦,25,4598,208,83.0,44.8,2060,4598,100.6
マイジャグラーV,27,5546,216,82.0,45.2,2506,5546,100.4
ハッピージャグラーＶＩＩＩ,2,432,216,80.4,45.4,196,432,99.9
この素晴らしい世界に祝福を！,4,1061,216,78.5,40.3,428,1061,99.8
回胴式遊技機グランベルム,5,1474,216,75.3,39.3,580,1474,99.5
A-SLOT+ ディスクアップ ULTRAREMIX,3,472,216,68.7,48.1,227,472,100.2
A-SLOT+異世界かるてっとBT,3,673,173,67.2,47.0,316,673,100.3
ネオアイムジャグラーEX,5,1080,216,59.3,44.3,478,1080,100.1
スマスロ モンスターハンターライズ,3,487,153,46.6,36.1,176,487,98.9
Lパチスロ革命機ヴァルヴレイヴ2,5,2293,216,44.8,38.4,881,2293,100.0
スマスロ デビルメイクライ5 スタイリッシュトライブ,2,86,43,42.7,37.2,32,86,98.3
スマスロ シャーマンキング,3,648,216,40.5,36.1,234,648,98.9
Lパチスロうみねこのなく頃に2,4,1187,216,40.0,47.4,563,1187,100.2
スマスロ ハナビ,2,826,216,38.5,42.9,354,826,99.8
Lパチスロ炎炎ノ消防隊2,6,2459,216,33.4,39.0,960,2459,100.0
スマスロ鉄拳6,4,397,57,12.2,38.5,153,397,99.8
ウルトラミラクルジャグラー,2,432,216,4.9,40.3,174,432,99.3
プリズムナナ,3,726,162,3.9,36.4,264,726,99.0
Lスマスロ北斗の拳,3,129,43,3.4,40.3,52,129,98.8
L不二子BT,2,58,29,0.5,39.7,23,58,98.6
スロット ゾンビランドサガ,2,730,216,-1.2,37.8,276,730,99.4
Lパチスロ革命機ヴァルヴレイヴ,3,140,28,-4.3,36.4,51,140,99.5
L無職転生～異世界行ったら本気だす～,2,1104,216,-20.9,33.2,367,1104,98.4
戦国コレクション6,10,820,82,-25.4,41.5,340,820,99.7
Lパチスロ かぐや様は告らせたい,6,640,78,-31.4,31.2,200,640,98.8
L虚構推理,4,790,173,-31.8,38.1,301,790,98.7
スマスロ北斗の拳 転生の章2,3,1766,141,-32.0,34.5,609,1766,99.7
Lスマスロ転生したらスライムだった件,3,168,56,-41.3,41.7,70,168,98.8
Lストライクウィッチーズ2,2,84,42,-57.4,32.1,27,84,99.1
スロット ソードアート・オンラインⅡ,24,2287,110,-57.9,43.3,990,2287,99.8
L邪神ちゃんドロップキック,4,216,54,-86.5,36.6,79,216,99.8
スマスロ 東京リベンジャーズ,2,289,78,-99.8,31.8,92,289,99.7
LBパチスロ ヱヴァンゲリヲン～約束の扉～,2,58,29,-104.1,34.5,20,58,97.5
真打 吉宗,7,1673,173,-110.5,41.4,692,1673,98.9
L範馬刃牙,2,115,43,-115.0,32.2,37,115,97.3
L主役は銭形5,3,171,57,-115.2,33.9,58,171,98.1
Lアクダマドライブ,2,182,91,-123.0,38.5,70,182,98.1
バーニングエクスプレス,2,58,29,-134.8,39.7,23,58,97.6
Lパチスロ喰霊-零-Re,5,200,40,-139.2,41.0,82,200,99.1
スマスロ ギルティクラウン2,2,98,49,-144.1,37.8,37,98,97.4
Sky Love,3,42,14,-158.0,38.1,16,42,97.6
スマスロ タコスロ,3,57,19,-159.9,35.1,20,57,98.2
Lパチスロからくりサーカス2,5,991,82,-165.8,35.7,354,991,98.4
スマスロBIRDIE WING-Golf Girls’ Story-,3,168,56,-170.9,35.7,60,168,96.9
Sister Quest,3,105,35,-177.7,32.4,34,105,95.2
スマスロ とある魔術の禁書目録2,20,1080,54,-184.8,41.6,449,1080,99.2
スマスロ スーパーリオエース2,4,786,119,-186.7,37.7,296,786,98.3
スマスロ とんでもスキルで異世界放浪メシ,6,324,54,-208.2,35.2,114,324,98.1
スロット Re:ゼロから始める異世界生活 season2,2,206,103,-209.4,35.9,74,206,98.0
スマスロ やじきた道中記参る！,4,251,54,-222.4,30.3,76,251,97.0
スロット ワールドダイスター,4,216,54,-241.4,41.7,90,216,99.0
L南国育ち SPECIAL,2,126,63,-249.7,34.9,44,126,97.6
スマスロ ミリオンゴッド-神々の軌跡-,9,2509,159,-258.2,33.7,846,2509,98.6
クレアの秘宝伝～はじまりの扉と太陽の石～ボーナストリガーver.,2,143,57,-265.8,34.3,49,143,96.4
スマスロ バイオハザードRE:3,3,490,56,-266.2,33.1,162,490,96.7
ヤバチバ,3,84,28,-272.6,47.6,40,84,96.1
スマスロ秘宝伝,4,94,22,-277.4,33.0,31,94,94.1
L青春ブタ野郎はバニーガール先輩の夢を見ない,18,342,19,-295.2,42.1,144,342,98.5
Lタクトオーパス デスティニー,2,196,98,-304.2,31.6,62,196,97.7
Lパチスロ 機動戦士ガンダムユニコーン 覚醒DRIVE,3,273,35,-353.3,34.4,94,273,96.3
スマスロ ゴブリンスレイヤーⅡ,3,293,43,-357.2,32.1,94,293,97.8
スマスロ リコリス・リコイル,32,608,19,-367.5,38.3,233,608,98.3
スマスロ スーパーブラックジャック,3,277,78,-369.6,33.6,93,277,94.9
スマスロ ストリートファイター6,3,232,54,-402.6,33.2,77,232,94.0
Lパチスロ彼女、お借りします,10,190,19,-403.7,35.8,68,190,98.3
スマスロヨルムンガンド,3,371,63,-417.8,29.9,111,371,96.1
スマスロ ビッグドリーム THE GOLDEN PUSHER,3,189,63,-428.8,39.7,75,189,95.4
Lパチスロからくりサーカス,3,402,134,-485.1,29.4,118,402,94.4
スマスロ新鬼武者3,2,18,8,-735.3,22.2,4,18,89.3
