model,設置台数,延べ台日,日数,平均差枚,勝率%,勝,全,平均出率
スマスロ真・北斗無双,2,88,44,377.8,30.7,27,88,100.3
A-SLOT+ ディスクアップ ULTRAREMIX,2,326,163,310.3,50.9,166,326,101.7
スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,3,668,204,271.0,32.0,214,668,99.4
Lアズールレーン THE ANIMATION,2,571,204,267.1,34.3,196,571,99.7
マイジャグラーV,48,9572,204,250.4,50.2,4804,9572,101.3
スマスロモンキーターンV,7,1963,204,232.8,38.9,763,1963,102.7
スマスロ北斗の拳 転生の章2,6,2812,204,220.1,36.4,1023,2812,101.6
ネオアイムジャグラーEX,26,5392,204,180.1,45.0,2428,5392,100.9
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,6,1224,204,177.5,33.1,405,1224,99.9
L戦国乙女４　戦乱に閃く炯眼の軍師,3,650,198,169.5,26.9,175,650,99.9
Lパチスロ炎炎ノ消防隊,2,88,44,154.3,27.3,24,88,95.0
スマスロ 攻殻機動隊,4,816,204,149.2,35.9,293,816,99.4
新ハナビ,2,116,58,148.8,45.7,53,116,101.2
スマスロ モンスターハンターライズ,3,728,204,148.0,31.6,230,728,99.8
スマスロ スーパーブラックジャック,2,475,198,144.4,30.7,146,475,102.7
ゴーゴージャグラー３,14,2856,204,133.2,43.1,1231,2856,100.2
L ToLOVEるダークネス TRANCE ver.8.7,3,612,204,132.5,39.7,243,612,103.4
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,2,419,170,123.7,31.0,130,419,106.0
L無職転生～異世界行ったら本気だす～,2,214,107,101.4,27.6,59,214,96.2
ハッピージャグラーＶＩＩＩ,4,916,204,94.7,39.8,365,916,99.6
スマスロ 東京リベンジャーズ,3,755,204,83.1,29.0,219,755,97.3
ファンキージャグラー２ＫＴ,8,1664,204,82.8,42.1,701,1664,100.0
キングハナハナ-30,10,2040,204,76.3,39.4,803,2040,99.9
ミスタージャグラー,3,612,204,69.9,43.6,267,612,99.9
Lスマスロ北斗の拳,7,1570,204,66.9,38.5,605,1570,99.6
L東京喰種,17,3216,204,63.9,38.7,1243,3216,100.2
スマスロ化物語,2,1095,204,57.2,30.3,332,1095,98.0
バーニングエクスプレス,2,18,9,53.9,33.3,6,18,106.1
ニューキングハナハナV‐30,3,612,204,50.1,42.2,258,612,99.5
ジャグラーガールズSS,5,1020,204,48.7,38.7,395,1020,99.3
スマスロ秘宝伝,2,167,79,44.5,32.3,54,167,99.7
Lパチスロうみねこのなく頃に2,2,326,163,39.9,42.0,137,326,100.0
Lパチスロ炎炎ノ消防隊2,3,1206,204,38.5,35.2,425,1206,100.6
スマスロ鉄拳6,4,428,107,36.0,30.8,132,428,99.7
Lパチスロ かぐや様は告らせたい,2,435,150,30.3,27.4,119,435,98.2
スマスロ ハナビ,3,747,204,22.4,38.0,284,747,99.2
スマスロ ゴッドイーター リザレクション,3,639,204,18.9,32.1,205,639,99.4
ウルトラミラクルジャグラー,4,816,204,18.6,39.3,321,816,99.2
スマスロヨルムンガンド,2,182,91,3.7,31.3,57,182,97.5
スマート沖スロ ニューキングハナハナV,5,839,204,2.6,37.9,318,839,99.1
いざ！番長,3,670,204,2.2,29.6,198,670,97.6
プリズムナナ,2,256,128,-0.1,29.7,76,256,96.4
LBパチスロ ヱヴァンゲリヲン～約束の扉～,2,160,58,-1.5,29.4,47,160,95.2
スマスロ新鬼武者3,3,453,135,-9.1,28.7,130,453,97.2
Lパチスロからくりサーカス,3,405,135,-16.6,29.1,118,405,96.7
スマスロとある科学の超電磁砲2,2,335,128,-38.9,20.9,70,335,95.3
Lパチスロ革命機ヴァルヴレイヴ2,3,1069,204,-40.0,32.4,346,1069,99.8
L主役は銭形5,3,489,163,-42.1,28.2,138,489,96.6
L聖闘士星矢 海皇覚醒 CUSTOM EDITION,3,612,204,-45.5,32.5,199,612,97.8
Lソードアート・オンライン,5,70,14,-49.4,32.9,23,70,103.2
アレックス ブライト,2,326,163,-61.2,37.7,123,326,98.0
スマスロ タコスロ,2,12,6,-87.2,41.7,5,12,99.5
クレアの秘宝伝～はじまりの扉と太陽の石～ボーナストリガーver.,2,116,58,-96.6,26.7,31,116,93.7
吉宗,3,174,58,-97.5,29.3,51,174,92.8
スマート沖スロ ドラゴンハナハナ～閃光～,2,139,58,-99.2,30.9,43,139,96.2
L南国育ち SPECIAL,3,207,69,-119.3,33.8,70,207,98.9
スマスロ シャーマンキング,3,158,76,-123.1,19.0,30,158,89.0
スマスロ 甲鉄城のカバネリ 海門決戦,15,2575,195,-125.6,38.4,988,2575,99.0
スマスロ 沖ドキ!DUO アンコール,4,790,204,-126.5,34.6,273,790,97.5
チバリヨ2,3,612,204,-132.0,29.9,183,612,95.7
スマスロ やじきた道中記参る！,4,164,41,-137.5,31.7,52,164,96.9
スマスロ スーパーリオエース2,3,469,119,-173.8,26.4,124,469,95.8
L戦国乙女5 業火を穿つ宿焔の双刃,8,776,97,-185.3,39.6,307,776,98.7
L ToLOVEるダークネス,2,130,65,-188.3,25.4,33,130,94.6
スマスロネオプラネット,2,88,44,-190.7,29.5,26,88,97.3
スマスロBIRDIE WING-Golf Girls’ Story-,2,86,43,-208.3,26.7,23,86,91.0
Lパチスロからくりサーカス2,3,578,69,-215.4,35.3,204,578,99.2
沖ドキ！ＧＯＬＤ,3,463,135,-217.6,45.4,210,463,98.8
ローティス,2,56,28,-222.2,30.4,17,56,96.8
Lラブ嬢3～Wご指名はいかがですか?～,2,408,204,-225.1,33.6,137,408,95.3
L不二子BT,2,42,21,-227.7,31.0,13,42,95.1
ヤバチバ,3,189,63,-245.1,34.9,66,189,98.6
沖ドキ！ＧＯＬＤ-30,16,3213,204,-261.7,45.3,1456,3213,98.0
スマスロ ゴブリンスレイヤーⅡ,2,255,79,-266.2,27.8,71,255,96.9
戦国コレクション6,3,207,69,-269.2,38.2,79,207,100.4
真打 吉宗,6,960,160,-274.5,32.8,315,960,96.3
沖ドキ!ゴージャス 30Φ,7,1363,204,-310.3,43.0,586,1363,98.2
スロット ソードアート・オンラインⅡ,10,772,97,-320.7,35.4,273,772,98.8
L青春ブタ野郎はバニーガール先輩の夢を見ない,4,24,6,-337.7,33.3,8,24,96.6
スマスロ バイオハザードRE:3,3,525,119,-343.8,24.4,128,525,89.6
スマスロ ストリートファイター6,2,152,41,-353.1,34.9,53,152,95.2
Lパチスロ革命機ヴァルヴレイヴ,2,116,58,-381.8,25.9,30,116,108.7
沖ドキ！BLACK,4,816,204,-385.1,41.9,342,816,97.8
Lパチスロ 機動戦士ガンダムユニコーン 覚醒DRIVE,3,189,49,-395.4,29.1,55,189,96.6
スマスロ とある魔術の禁書目録2,5,205,41,-578.7,33.7,69,205,93.6
スロット ワールドダイスター,2,82,41,-622.6,34.1,28,82,95.5
Lパチスロ喰霊-零-Re,2,52,26,-670.9,30.8,16,52,94.3
スマスロ ビッグドリーム THE GOLDEN PUSHER,2,224,84,-692.4,32.6,73,224,93.9
スマスロ ミリオンゴッド-神々の軌跡-,10,1460,146,-705.8,26.9,393,1460,94.6
スマスロ リコリス・リコイル,13,78,6,-867.3,30.8,24,78,95.0
モグモグ風林火山 大海戦の巻,3,18,6,-883.3,27.8,5,18,94.6
Lパチスロ彼女、お借りします,3,18,6,-1090.0,33.3,6,18,93.4
