model,設置台数,延べ台日,日数,平均差枚,勝率%,勝,全,平均出率
L青春ブタ野郎はバニーガール先輩の夢を見ない,17,204,12,522.9,49.0,100,204,101.9
L ToLOVEるダークネス,42,8820,210,458.1,43.0,3790,8820,102.3
L東京喰種,23,4481,210,357.3,46.8,2099,4481,101.3
Lアズールレーン THE ANIMATION,6,1663,210,356.0,39.6,658,1663,101.7
スマスロ スーパーブラックジャック,6,2844,210,331.2,44.6,1268,2844,101.3
L無職転生～異世界行ったら本気だす～,6,1535,210,326.9,40.6,623,1535,101.3
スマスロBIRDIE WING-Golf Girls’ Story-,2,98,49,323.7,41.8,41,98,100.9
スマスロとある科学の超電磁砲2,5,1906,163,318.5,41.3,787,1906,100.9
Lパチスロ革命機ヴァルヴレイヴ2,10,3159,210,316.1,41.3,1306,3159,101.5
Lバンドリ！,7,2122,210,305.5,40.0,848,2122,101.5
Lソードアート・オンライン,14,3568,210,290.0,42.8,1526,3568,101.5
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,42,9018,210,287.9,42.9,3871,9018,101.2
スマスロ化物語,14,3446,210,264.7,41.1,1416,3446,101.1
スロット ゾンビランドサガ,4,1236,210,258.6,42.0,519,1236,101.7
スマスロ シャーマンキング,2,420,210,246.2,37.1,156,420,100.1
パチスロ　ツインエンジェルＰＡＲＴＹ,2,88,44,245.9,47.7,42,88,100.3
スロット ソードアート・オンラインⅡ,19,1845,103,231.9,43.5,802,1845,100.9
L邪神ちゃんドロップキック,7,287,47,224.2,42.2,121,287,100.9
スマスロ 攻殻機動隊,6,1132,210,210.5,39.2,444,1132,100.7
スマスロ とんでもスキルで異世界放浪メシ,6,282,47,200.1,37.6,106,282,100.7
Lパチスロガールズ＆パンツァー 最終章,5,1604,210,198.6,41.0,657,1604,101.2
Lパチスロ炎炎ノ消防隊2,6,2662,210,194.5,41.4,1101,2662,100.9
戦国コレクション6,8,726,75,191.5,43.1,313,726,100.6
L戦国乙女４　戦乱に閃く炯眼の軍師,5,2700,149,185.2,37.0,998,2700,100.9
L虚構推理,2,948,166,180.7,42.8,406,948,100.5
スマスロ 甲鉄城のカバネリ 海門決戦,15,2910,201,174.1,46.6,1357,2910,100.5
L少女☆歌劇 レヴュースタァライト -The SLOT-,2,1412,210,148.1,40.9,578,1412,100.3
回胴式遊技機グランベルム,2,420,210,147.8,44.8,188,420,100.2
スマスロ 七つの魔剣が支配する,2,396,198,142.8,36.4,144,396,99.2
スマスロ とある魔術の禁書目録2,17,799,47,129.6,44.6,356,799,100.5
マイジャグラーV,10,1785,210,125.5,45.9,819,1785,100.6
スマスロ スーパーリオエース2,6,1470,119,119.1,41.0,603,1470,100.6
L戦国乙女5 業火を穿つ宿焔の双刃,29,2987,103,112.1,44.4,1326,2987,100.4
スマスロモンキーターンV,6,1367,210,102.7,39.5,540,1367,100.3
スマスロ やじきた道中記参る！,2,94,47,87.5,36.2,34,94,99.2
スマスロ鉄拳6,2,275,58,63.2,38.9,107,275,100.0
ネオアイムジャグラーEX,5,605,121,54.0,41.5,251,605,100.0
スマスロ新鬼武者3,4,39,9,53.7,38.5,15,39,98.1
スマスロ ハナビ,2,18,9,48.2,44.4,8,18,100.0
Lパチスロ かぐや様は告らせたい,2,1453,142,43.0,36.1,524,1453,99.6
Lパチスロうみねこのなく頃に2,2,746,210,36.3,46.2,345,746,99.9
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,2,741,210,16.8,38.2,283,741,99.9
スマスロ リコリス・リコイル,26,312,12,12.2,43.3,135,312,100.1
スロット ワールドダイスター,4,188,47,4.7,43.1,81,188,100.0
スマスロ ゴブリンスレイヤーⅡ,14,616,44,-4.0,33.4,206,616,101.0
スマスロヨルムンガンド,8,504,63,-7.0,37.9,191,504,99.5
L南国育ち SPECIAL,2,56,28,-12.6,39.3,22,56,100.1
スマスロ ゴッドイーター リザレクション,4,492,107,-18.7,36.4,179,492,99.8
スマスロ ストリートファイター6,2,70,35,-30.3,42.9,30,70,98.6
真打 吉宗,2,1312,166,-36.8,40.7,534,1312,99.2
スマスロ ミリオンゴッド-神々の軌跡-,6,1332,152,-44.0,36.9,492,1332,99.8
Lダーリン・イン・ザ・フランキス,2,116,58,-55.8,38.8,45,116,98.5
アニマルスロット ドッチ,2,280,140,-59.5,34.3,96,280,99.4
スマスロ バイオハザードRE:3,5,490,56,-128.8,31.8,156,490,98.0
Lタクトオーパス デスティニー,2,238,119,-156.1,30.7,73,238,98.3
Lパチスロ 機動戦士ガンダムユニコーン 覚醒DRIVE,2,98,49,-170.7,37.8,37,98,97.7
スマスロ サンダーV,2,70,35,-184.3,40.0,28,70,97.9
Lパチスロ戦姫絶唱シンフォギア 正義の歌,2,158,79,-188.6,35.4,56,158,97.8
スマスロ北斗の拳 転生の章2,5,458,79,-224.5,28.4,130,458,98.1
L範馬刃牙,2,88,44,-406.9,29.5,26,88,96.1
Lパチスロ彼女、お借りします,10,120,12,-447.1,33.3,40,120,98.2
スマスロ タコスロ,2,24,12,-509.7,29.2,7,24,96.0
