model,設置台数,延べ台日,日数,平均差枚,勝率%,勝,全,平均出率
スマスロ バイオハザード5,2,28,14,1470.3,46.4,13,28,110.2
プリズムナナ,2,270,135,335.5,40.0,108,270,100.0
スマスロ痛いのは嫌なので防御力に極振りしたいと思います。,4,922,202,332.4,40.9,377,922,101.0
L無職転生～異世界行ったら本気だす～,2,353,135,316.0,34.6,122,353,100.5
スマスロ マギアレコード 魔法少女まどか☆マギカ外伝,8,1574,202,315.1,38.8,610,1574,100.6
Lソードアート・オンライン,4,815,202,311.7,35.1,286,815,100.0
L ToLOVEるダークネス,2,88,44,250.2,38.6,34,88,100.7
マイジャグラーV,43,8686,202,247.3,48.4,4202,8686,101.3
Lパチスロうみねこのなく頃に2,2,396,198,245.2,48.2,191,396,100.6
マジカルハロウィン　～Trick or Treat!～,2,400,165,241.4,43.8,175,400,102.1
A-SLOT+ ディスクアップ ULTRAREMIX,2,618,202,239.8,46.9,290,618,101.1
Lアズールレーン THE ANIMATION,3,573,202,237.9,35.4,203,573,98.9
この素晴らしい世界に祝福を！,3,590,202,226.6,43.1,254,590,99.6
バーサスリヴァイズ,3,606,202,219.0,44.4,269,606,101.0
L戦国乙女４　戦乱に閃く炯眼の軍師,6,808,202,197.8,34.3,277,808,98.9
L少女☆歌劇 レヴュースタァライト -The SLOT-,2,214,107,189.7,39.3,84,214,102.2
回胴式遊技機グランベルム,2,41,16,179.7,29.3,12,41,93.6
L ToLOVEるダークネス TRANCE ver.8.7,2,18,9,162.2,44.4,8,18,103.6
交響詩篇エウレカセブン HI-EVOLUTION ZERO TYPE-ART,2,404,202,149.2,41.8,169,404,99.2
スマスロ化物語,6,1212,202,149.0,36.0,436,1212,99.3
Lパチスロ革命機ヴァルヴレイヴ2,2,1183,202,130.3,34.2,404,1183,98.7
スマスロ スーパーブラックジャック,2,603,198,123.8,30.2,182,603,98.5
スマスロ 東京リベンジャーズ,3,1008,202,108.9,30.2,304,1008,100.4
Lパチスロ戦姫絶唱シンフォギア 正義の歌,2,137,48,108.6,30.7,42,137,94.6
ファンキージャグラー２ＫＴ,5,1010,202,103.8,38.5,389,1010,99.7
スマスロモンキーターンV,11,2338,202,99.9,36.1,845,2338,100.3
Lスマスロ北斗の拳,6,1744,202,96.2,39.4,688,1744,100.5
パチスロ　甲鉄城のカバネリ,2,413,202,94.5,38.0,157,413,98.3
スマスロ ゴブリンスレイヤーⅡ,3,178,44,89.9,36.5,65,178,103.2
スマスロバジリスク～甲賀忍法帖～絆2 天膳 BLACK EDITION,2,621,198,89.8,27.5,171,621,96.4
スマスロ北斗の拳 転生の章2,7,2676,202,87.0,35.8,959,2676,100.8
パチスロ　ディスクアップ２,4,971,202,83.9,43.4,421,971,100.5
スマスロ サンダーV,2,386,193,82.5,45.1,174,386,100.2
新ハナビ,2,343,167,74.2,42.0,144,343,99.9
スマスロ 甲鉄城のカバネリ 海門決戦,14,2910,193,66.3,41.0,1194,2910,100.5
ミスタージャグラー,3,606,202,59.8,38.8,235,606,98.8
スマスロBIRDIE WING-Golf Girls’ Story-,2,112,56,54.8,36.6,41,112,102.6
ウルトラミラクルジャグラー,3,606,202,50.5,40.9,248,606,99.2
スロット ワールドダイスター,3,117,39,47.6,41.9,49,117,100.9
ネオアイムジャグラーEX,33,6666,202,43.9,40.4,2695,6666,99.9
スマート沖スロ ニューキングハナハナV,3,596,163,32.8,33.2,198,596,98.4
ゴーゴージャグラー３,10,2020,202,18.7,38.2,772,2020,99.4
Lタクトオーパス デスティニー,2,246,123,14.7,30.9,76,246,98.5
ジャグラーガールズSS,5,1010,202,11.2,37.3,377,1010,98.9
L南国育ち SPECIAL,2,134,67,10.9,36.6,49,134,99.0
アレックス ブライト,2,744,202,8.5,39.9,297,744,99.2
ハッピージャグラーＶＩＩＩ,7,1414,202,-0.3,36.0,509,1414,99.0
クランキークレスト,2,326,163,-2.8,36.5,119,326,98.3
スマスロ秘宝伝,2,274,79,-3.2,31.4,86,274,97.9
スマスロネオプラネット,2,18,9,-5.1,33.3,6,18,93.9
A-SLOT+異世界かるてっとBT,2,308,154,-13.3,39.3,121,308,98.6
スマスロ やじきた道中記参る！,4,191,39,-14.4,40.3,77,191,99.5
Lパチスロ炎炎ノ消防隊2,3,1421,202,-29.5,36.7,521,1421,99.8
L ＨＥＹ！エリートサラリーマン鏡,3,306,109,-35.4,36.3,111,306,96.4
スマスロとある科学の超電磁砲2,2,356,156,-38.1,29.8,106,356,95.9
スマスロ スーパーリオエース2,2,533,123,-49.0,32.8,175,533,95.0
スマスロ ゴッドイーター リザレクション,2,800,202,-55.3,36.4,291,800,100.2
L主役は銭形5,3,228,79,-57.1,33.8,77,228,98.0
スマスロ ハナビ,4,880,202,-62.3,36.0,317,880,98.2
スマスロ鉄拳6,2,551,135,-66.3,31.8,175,551,98.1
スマスロ とある魔術の禁書目録2,5,195,39,-71.5,40.0,78,195,97.7
L戦国乙女5 業火を穿つ宿焔の双刃,9,820,95,-73.9,39.3,322,820,98.9
クレアの秘宝伝～はじまりの扉と太陽の石～ボーナストリガーver.,2,130,65,-74.4,29.2,38,130,95.5
スマスロ モンスターハンターライズ,2,714,202,-79.7,34.0,243,714,97.6
Lパチスロからくりサーカス2,6,654,67,-83.8,36.9,241,654,99.4
戦国コレクション6,3,201,67,-85.9,36.8,74,201,100.3
いざ！番長,3,391,135,-86.3,28.1,110,391,95.1
スマスロ 攻殻機動隊,4,808,202,-109.0,33.2,268,808,99.2
L東京喰種,13,3049,202,-118.5,37.2,1134,3049,98.5
沖ドキ！ＧＯＬＤ-30,9,1818,202,-135.2,45.9,834,1818,98.9
スマスロ シャーマンキング,2,403,198,-154.0,26.1,105,403,93.8
Lパチスロ 機動戦士ガンダムユニコーン 覚醒DRIVE,4,154,28,-169.4,35.1,54,154,99.6
Lパチスロからくりサーカス,2,46,23,-176.0,26.1,12,46,90.0
Lパチスロ かぐや様は告らせたい,2,318,86,-189.4,23.9,76,318,94.5
スマスロ新鬼武者3,3,705,202,-194.1,28.2,199,705,95.0
沖ドキ!ゴージャス 30Φ,3,606,202,-213.8,40.9,248,606,98.7
L範馬刃牙,2,116,58,-270.2,28.4,33,116,91.6
スロット ソードアート・オンラインⅡ,12,929,95,-292.3,36.6,340,929,98.6
真打 吉宗,6,948,158,-304.4,36.1,342,948,97.3
スマスロ 沖ドキ!DUO アンコール,4,1144,202,-305.9,34.2,391,1144,97.2
スマスロ バイオハザードRE:3,2,637,119,-309.2,23.9,152,637,96.3
スマスロ ビッグドリーム THE GOLDEN PUSHER,3,315,105,-317.8,33.0,104,315,100.1
スマスロヨルムンガンド,2,182,91,-329.1,28.6,52,182,97.2
スマスロ タコスロ,2,8,4,-343.8,25.0,2,8,98.0
ローティス,2,30,15,-422.5,33.3,10,30,96.9
スマスロ ストリートファイター6,4,191,39,-433.7,29.8,57,191,94.3
Lパチスロ喰霊-零-Re,3,72,24,-525.2,30.6,22,72,95.1
Lパチスロ彼女、お借りします,3,12,4,-750.2,16.7,2,12,94.0
スマスロ 七つの魔剣が支配する,2,18,9,-752.0,11.1,2,18,85.1
スマスロ リコリス・リコイル,15,60,4,-753.0,20.0,12,60,97.1
L青春ブタ野郎はバニーガール先輩の夢を見ない,4,16,4,-796.8,31.2,5,16,96.7
モグモグ風林火山　大海戦の巻,3,3,1,-797.0,33.3,1,3,91.0
スマスロ ミリオンゴッド-神々の軌跡-,10,1440,144,-957.0,28.1,404,1440,94.0
モグモグ風林火山 大海戦の巻,3,9,3,-1716.3,22.2,2,9,85.8
Ｌパチスロ　喰霊－零－Ｒｅ,3,3,1,-2095.0,0.0,0,3,90.2
