model,設置台数,延べ台日,日数,平均差枚,勝率%,勝,全,平均出率
スマスロ リコリス・リコイル,8,40,5,449.8,35.0,14,40,101.7
Lパチスロ彼女、お借りします,5,25,5,116.6,48.0,12,25,101.2
スマスロ北斗の拳 転生の章2,10,770,65,114.9,35.6,274,770,100.9
Lスマスロ北斗の拳,6,390,65,63.8,41.3,161,390,100.7
Lタクトオーパス デスティニー,2,52,26,50.0,21.2,11,52,96.3
L東京喰種,7,515,65,46.6,38.6,199,515,100.3
Lパチスロからくりサーカス2,6,390,65,11.8,36.9,144,390,100.3
L青春ブタ野郎はバニーガール先輩の夢を見ない,2,10,5,11.6,30.0,3,10,98.1
ネオアイムジャグラーEX,5,325,65,9.3,41.8,136,325,99.7
スマスロ 攻殻機動隊,3,78,26,-16.6,33.3,26,78,99.4
ウルトラミラクルジャグラー,4,260,65,-16.8,43.1,112,260,99.4
スマスロBIRDIE WING-Golf Girls’ Story-,2,120,60,-24.1,32.5,39,120,98.8
スマスロ 甲鉄城のカバネリ 海門決戦,5,437,65,-44.1,37.5,164,437,98.3
スマスロ ハナビ,3,255,65,-44.8,36.5,93,255,98.7
ゴーゴージャグラー３,6,390,65,-51.9,37.2,145,390,99.1
ハッピージャグラーＶＩＩＩ,3,195,65,-53.9,40.5,79,195,98.3
ファンキージャグラー２ＫＴ,8,520,65,-71.8,40.0,208,520,98.8
マイジャグラーV,16,1040,65,-72.1,37.7,392,1040,99.3
Lパチスロ炎炎ノ消防隊2,3,221,65,-75.0,37.6,83,221,98.8
ジャグラーガールズSS,4,260,65,-76.3,35.8,93,260,98.8
スマスロモンキーターンV,5,325,65,-87.0,35.4,115,325,98.0
ミスタージャグラー,4,260,65,-96.3,32.3,84,260,98.2
スマスロケロット5BT,2,120,60,-98.2,36.7,44,120,98.4
戦国コレクション6,2,120,60,-99.1,40.8,49,120,97.9
スマスロ とある魔術の禁書目録2,5,195,39,-104.9,41.0,80,195,98.3
スマスロ バイオハザードRE:3,3,180,60,-115.3,25.0,45,180,94.5
スマスロ サンダーV,2,130,65,-120.3,40.8,53,130,97.3
スマスロヨルムンガンド,4,104,26,-133.4,16.3,17,104,90.4
スマスロ スーパーリオエース2,3,195,65,-165.9,27.7,54,195,96.2
いざ！番長,3,195,65,-189.1,29.2,57,195,96.3
L戦国乙女5 業火を穿つ宿焔の双刃,6,390,65,-254.5,34.1,133,390,97.6
スマスロ やじきた道中記参る！,3,117,39,-258.2,33.3,39,117,98.1
スマスロ化物語,2,120,60,-303.1,33.3,40,120,94.7
スマスロ ビッグドリーム THE GOLDEN PUSHER,4,104,26,-322.8,16.3,17,104,88.3
スロット ソードアート・オンラインⅡ,5,325,65,-412.9,33.5,109,325,97.1
真打 吉宗,5,325,65,-512.1,31.7,103,325,95.5
スマスロ ミリオンゴッド-神々の軌跡-,7,403,65,-522.6,29.0,117,403,95.5
スマスロ ストリートファイター6,4,156,39,-561.6,31.4,49,156,95.1
スロット ワールドダイスター,2,78,39,-884.1,26.9,21,78,91.5
