date,hall,島的中,島数,台的中,台数,狙い台平均差枚,全台平均差枚,エッジ
2026-08-10,shinkan,2,3,2,5,-216,-85,-131
2026-08-10,honkan,2,3,3,5,365,12,353
2026-08-10,island_akiba,1,3,4,5,460,224,236
2026-08-10,espace_akiba,1,3,2,5,-1576,-85,-1491
2026-08-11,shinkan,3,3,1,5,-540,59,-599
2026-08-11,honkan,3,3,2,5,666,158,508
2026-08-11,island_akiba,1,3,4,5,1269,139,1130
2026-08-11,espace_akiba,2,3,1,5,-1757,-92,-1665
2026-08-12,shinkan,2,3,3,5,423,85,338
2026-08-12,honkan,3,3,4,5,505,-234,739
2026-08-12,island_akiba,0,3,2,5,-368,-17,-351
2026-08-12,espace_akiba,1,3,1,5,-1195,221,-1416
2026-08-13,shinkan,2,3,3,5,1943,-40,1983
2026-08-13,honkan,1,3,1,5,-295,-155,-140
2026-08-13,island_akiba,2,3,2,5,-163,115,-278
2026-08-13,espace_akiba,2,3,0,5,-2315,-79,-2236
2026-08-14,shinkan,3,3,3,5,-533,-71,-461
2026-08-14,honkan,1,3,3,5,185,-260,446
2026-08-14,island_akiba,1,3,2,5,-186,462,-649
2026-08-14,espace_akiba,1,3,0,5,-2793,-78,-2715
2026-08-15,shinkan,1,3,2,5,86,148,-62
2026-08-15,honkan,0,3,2,5,-454,98,-552
2026-08-15,island_akiba,1,3,1,5,-1805,177,-1982
2026-08-15,espace_akiba,2,3,2,5,189,-95,284
2026-08-16,island_akiba,1,3,3,5,-559,52,-610
2026-08-16,espace_akiba,1,3,2,5,-1590,296,-1886
2026-08-17,island_akiba,2,3,3,5,4227,507,3721
2026-08-17,espace_akiba,2,3,2,5,-643,29,-672
2026-08-18,island_akiba,0,3,2,5,1758,256,1502
2026-08-18,espace_akiba,2,3,2,5,-631,268,-899
2026-08-19,shinkan,1,3,3,5,47,-90,137
2026-08-19,honkan,1,3,1,5,-356,56,-412
2026-08-19,island_akiba,1,3,0,5,-3247,385,-3632
2026-08-19,espace_akiba,2,3,2,5,-518,129,-648
2026-08-20,shinkan,1,3,0,5,-635,-48,-587
2026-08-20,honkan,2,3,3,5,368,22,346
2026-08-20,island_akiba,2,3,2,5,-89,340,-429
2026-08-20,espace_akiba,0,3,5,5,1384,-77,1462
2026-08-21,shinkan,1,3,2,5,44,-191,235
2026-08-21,honkan,0,3,4,5,1165,242,923
2026-08-21,island_akiba,0,3,3,5,1772,222,1550
2026-08-21,espace_akiba,2,3,4,5,1503,374,1129
2026-08-22,shinkan,1,3,2,5,6,63,-57
2026-08-22,honkan,1,3,0,5,-454,137,-591
2026-08-22,island_akiba,2,3,2,5,-1238,199,-1437
2026-08-22,espace_akiba,1,3,2,5,-1134,85,-1219
